arm,kind,alpha,omega,solver,steps,samples,fid,sfid,inception_score,baseline,delta_fid,relative_fid_percent,full_calls_per_output,seconds
strong_e64,baseline,0.0,0.0,euler,64,1000,87.9414059351704,221.04035630675457,28.901880264282227,strong_e64,0.0,0.0,64,41.11142485588789
strong_sg_w1,sg,0.0,1.0,euler,64,1000,89.54321266597299,225.7181586545555,27.766536712646484,strong_e64,1.6018067308025934,1.8214477171122676,127,66.38972048088908
strong_sg_w3,sg,0.0,3.0,euler,64,1000,90.87451506882468,232.62176808841957,26.288677215576172,strong_e64,2.933109133654284,3.335299342173976,127,66.22572711575776
strong_sg_prev_w1,sg_prev,0.0,1.0,euler,64,1000,89.66545501646476,225.27418626264557,27.46973991394043,strong_e64,1.7240490812943676,1.9604520338977989,64,40.590992668643594
strong_sg_prev_w3,sg_prev,0.0,3.0,euler,64,1000,96.32305009175383,234.97229891460938,24.1269474029541,strong_e64,8.381644156583434,9.530941730408887,64,41.045433761086315
cfg_e64,baseline,1.25,0.0,euler,64,1000,44.88354631667903,206.87611697641796,60.99239730834961,cfg_e64,0.0,0.0,112,60.249028951860964
cfg_sg_w1,sg,1.25,1.0,euler,64,1000,44.536284941075735,209.54886743378233,62.0862922668457,cfg_e64,-0.3472613756032956,-0.7736941576611804,175,85.41854254668579
cfg_sg_w3,sg,1.25,3.0,euler,64,1000,44.5356205279985,214.98071431968424,60.55900192260742,cfg_e64,-0.34792578868052715,-0.7751744619859406,175,85.43808437511325
cfg_sg_prev_w1,sg_prev,1.25,1.0,euler,64,1000,44.81742693294058,208.70525213876476,60.6365852355957,cfg_e64,-0.06611938373845305,-0.1473131897197763,112,60.74678612453863
cfg_sg_prev_w3,sg_prev,1.25,3.0,euler,64,1000,45.97616877544016,213.46004646400434,58.8319206237793,cfg_e64,1.0926224587611273,2.434349663576163,112,60.215333389583975
cfg_e100,baseline,1.25,0.0,euler,100,1000,44.8323638640839,206.9165617782828,61.77252960205078,cfg_e64,-0.051182452595128325,-0.11403388723789096,175,85.57637716969475
cfg_h64,baseline,1.25,0.0,heun,64,1000,44.76310951786206,207.10428255853094,62.008392333984375,cfg_e64,-0.1204367988169679,-0.26833173557012974,224,105.21384186949581
