seed,condition,fid,inception_score,total_full_model_calls,total_base_prefix_calls,sample_sha256
20260903,ordinary_ig,38.91930943452252,59.68351669311524,12800,0,d0e423b60f2f2cb2820d1ac2400ce1fb33561a92f5645af3528cbfaf9b3700f0
20260903,raw_pfr,38.41692166915993,63.17433471679688,12800,12672,641a05d4c609bafb1a3f6a5527b474726c8b07fc43fe8ac0543ec228b271431d
20260903,ou_common,38.60782575272856,62.01373443603516,22144,12672,e113dd302b944bafec2f673faa958c861623f559a93256e298aab6c1451cb065
20260903,ou_polar,38.696530983738,63.021232986450194,22144,12672,8c8b73eaea0ba58922475a7dc6be6ffc7acefb178f48314a59912fbf3cf4f017
20260904,ordinary_ig,38.39737831188438,57.71609230041504,12800,0,57172eb750df845e9bfca509ab78e4625c4873bcbf3960434a8271dec05cc526
20260904,raw_pfr,37.89002155363602,61.97040939331055,12800,12672,5b3b750f299d0d70400522ff2ec2404c8a23c75ace0aa6b7bf3492dfda4ba121
20260904,ou_common,38.11218809629827,61.30568389892578,22144,12672,cf9db5654a390fee5a0cfe94f08ca4d4916e4fcc68ced85cb2358d9f7e42d977
20260904,ou_polar,37.96141820640031,61.40271835327148,22144,12672,c4927bdf95cf6e8fb885231e9310b46af240268ebb94ab4c962d74591b666394
