weak,t,model,id,split,squared_residual,squared_gap
depth4,0.15,score_scale_radial,769,fit,2.17520107370097e-05,2.3027994035207183e-05
depth4,0.15,score_scale_radial,3769,fit,1.1825449066757776e-05,1.4797025971154463e-05
depth4,0.15,score_scale_radial,1780,fit,2.3737162567521253e-05,2.7819166101106216e-05
depth4,0.15,score_scale_radial,2797,test,1.8313778368117446e-05,2.1303135352610483e-05
depth4,0.15,score_scale_radial,2744,test,1.743723041577475e-05,1.7879417234784892e-05
depth4,0.15,score_scale_radial,2114,test,1.171635949989295e-05,9.433437340106173e-06
depth4,0.15,score_scale_radial,843,test,1.7509994907359772e-05,1.7493141720583782e-05
depth4,0.15,score_scale_radial,3732,test,1.9844880552834853e-05,2.2022737157250928e-05
depth4,0.15,score_scale_radial,3823,test,2.2518358392659303e-05,2.282204282528569e-05
depth4,0.15,score_scale_radial,2922,test,1.2463479443971976e-05,1.0962878626122006e-05
depth4,0.15,score_scale_radial,1517,test,1.706836013041743e-05,1.674576638466745e-05
depth4,0.15,score_scale_radial,1686,test,1.090376220211738e-05,9.55937914311851e-06
depth4,0.15,score_scale_radial,4998,test,1.13312123251846e-05,1.3487786395283678e-05
depth4,0.15,score_scale_radial,151,test,8.816743624575933e-06,7.879338698634633e-06
depth4,0.15,score_scale_radial,3630,test,1.2393493186664059e-05,1.5221850618042944e-05
depth4,0.15,score_scale_radial,1841,test,2.1808730579312398e-05,2.5127343563170343e-05
depth4,0.15,score_scale_radial,3028,test,3.743488944683372e-05,5.22328685785162e-05
depth4,0.15,score_scale_radial,2347,test,1.1493166049957367e-05,1.0793919207157839e-05
depth4,0.15,score_scale_radial,4021,test,1.896416998578279e-05,1.4926762339910402e-05
depth6,0.15,score_scale,713,fit,1.0023817541365401e-05,9.837187884100102e-06
depth6,0.15,score_scale,3623,fit,1.0196950590224364e-05,1.0506334384264395e-05
depth6,0.15,score_scale,3296,fit,2.471040736474283e-05,2.5112766159472856e-05
depth6,0.15,score_scale,4345,fit,1.1978340602158983e-05,1.2320176392052988e-05
depth6,0.15,score_scale,2364,fit,1.662456660083577e-05,1.7149371365192637e-05
depth6,0.15,score_scale,3510,fit,4.389327480233032e-05,4.355388618787266e-05
depth6,0.15,score_scale,4640,fit,1.7432221197704845e-05,1.6956444214918526e-05
depth6,0.15,score_scale,1298,fit,1.2417084025749246e-05,1.2610373741275412e-05
depth6,0.15,score_scale,708,fit,9.23674350075626e-06,9.177444545461867e-06
depth6,0.15,score_scale,1505,fit,6.302103610046895e-05,6.383023127249317e-05
depth6,0.15,score_scale,2304,fit,1.6049400710010043e-05,1.5821942867893038e-05
depth6,0.15,score_scale,307,fit,1.2577105591611426e-05,1.243592437775732e-05
depth6,0.15,score_scale,4093,fit,1.2016695326179997e-05,1.1746172999271554e-05
depth6,0.15,score_scale,769,fit,2.2949543916441028e-05,2.3313809909910458e-05
depth6,0.15,score_scale,3769,fit,1.0696025737050346e-05,1.0691619203359864e-05
depth6,0.15,score_scale,1780,fit,2.558376216970973e-05,2.5296236365774836e-05
depth6,0.15,score_scale,2797,test,1.90144987791505e-05,1.8767383751234378e-05
depth6,0.15,score_scale,2744,test,1.7505308669356116e-05,1.7600675850337755e-05
depth6,0.15,score_scale,2114,test,1.0532406322202836e-05,1.0213275730859249e-05
depth6,0.15,score_scale,843,test,1.691299943772498e-05,1.712447956761374e-05
depth6,0.15,score_scale,3732,test,2.1231744152977893e-05,2.1060958008471135e-05
depth6,0.15,score_scale,3823,test,2.1803289596147624e-05,2.149332308314243e-05
depth6,0.15,score_scale,2922,test,1.3247183351725225e-05,1.2769713639561402e-05
