t,id,class_index,weight
0.15,713,0,6.026785334374406e-18
0.15,713,1,0.01869633323480808
0.15,713,2,0.06742645349157367
0.15,713,3,0.0
0.15,713,4,0.006813485979879311
0.15,713,5,0.0
0.15,713,6,0.0
0.15,713,7,0.04252566674679855
0.15,713,8,0.07013658613759839
0.15,713,9,0.007369848008695315
0.15,713,10,7.322368174644381e-19
0.15,713,11,0.0
0.15,713,12,0.012497724945597716
0.15,713,13,0.034567578058721495
0.15,713,14,0.0
0.15,713,15,5.414384526456825e-18
0.15,713,16,0.0
0.15,713,17,0.009997628397179107
0.15,713,18,3.357883724602801e-18
0.15,713,19,2.7034090988331315e-18
0.15,713,20,0.006019515786468988
0.15,713,21,2.2468742751101878e-18
0.15,713,22,0.021930935114589475
0.15,713,23,0.01108587539823378
0.15,713,24,4.0430726973864246e-18
0.15,713,25,0.0
0.15,713,26,0.03650141969203137
0.15,713,27,0.02496511567533543
0.15,713,28,7.467638306950874e-19
0.15,713,29,3.1816335593979678e-18
0.15,713,30,0.0
0.15,713,31,0.0
0.15,713,32,0.04102665626869728
0.15,713,33,0.031006005205189424
0.15,713,34,0.02570193823382142
0.15,713,35,0.0
0.15,713,36,0.04542294676759361
0.15,713,37,0.04370920104383194
0.15,713,38,0.027751583634589322
0.15,713,39,0.0
0.15,713,40,0.024758760189030168
0.15,713,41,0.06874950790217757
0.15,713,42,0.0
0.15,713,43,0.0
0.15,713,44,0.0
0.15,713,45,0.0
0.15,713,46,0.0
0.15,713,47,0.0
0.15,713,48,0.0005433715700183681
0.15,713,49,0.020412485068128504
0.15,713,50,0.022812939444441415
0.15,713,51,0.0
0.15,713,52,8.605789034122407e-19
0.15,713,53,0.0
0.15,713,54,2.640047391241747e-18
0.15,713,55,0.017795209575042423
0.15,713,56,0.006451337569498457
0.15,713,57,4.91941130447195e-18
0.15,713,58,3.5675758632853e-19
0.15,713,59,0.0
0.15,713,60,1.4671894303890586e-18
0.15,713,61,1.6924498630819197e-18
0.15,713,62,0.0
0.15,713,63,0.0
0.15,713,64,7.01595079973735e-18
0.15,713,65,0.0
0.15,713,66,0.0
0.15,713,67,0.0
0.15,713,68,3.7599368258861523e-19
0.15,713,69,5.250492181769491e-20
0.15,713,70,2.0182690200442106e-19
0.15,713,71,0.011220409879858638
0.15,713,72,0.02342682678957614
0.15,713,73,0.0
0.15,713,74,0.0
0.15,713,75,1.3476571923946802e-18
0.15,713,76,1.6565993881723942e-18
0.15,713,77,0.0
0.15,713,78,0.0
0.15,713,79,4.08474732674641e-19
0.15,713,80,0.05038693331362938
