t,position,id,label,affine_rank_1e-06,affine_gap_energy_ratio_1e-06,affine_rank_1e-05,affine_gap_energy_ratio_1e-05,orthogonality_relative,affine_rank_0.0001,affine_gap_energy_ratio_0.0001,hull_gap_energy_ratio,hull_solver_success,hull_iterations,hull_sum_error,hull_min_weight,hull_fw_gap,target_gap_rms,class_spread_rms,smallest_nonzero_singular_relative
0.15,0,713,14,99,0.0026827190390798015,99,0.0026827190390798015,4.43436118224116e-15,99,0.0026827190390798015,0.0048438306749316725,True,61,0.0,0.0,2.699629285162278e-07,0.09437114271968546,0.09260519994932959,0.01769233899602671
0.15,1,3623,72,99,0.008449251390986928,99,0.008449251390986928,1.7517943292294547e-15,99,0.008449251390986928,0.01642655516800727,True,61,0.0,0.0,2.3771642955906086e-07,0.08267529565774413,0.1198782917349849,0.015093478877344494
0.15,16,2797,55,99,0.0027049469690035507,99,0.0027049469690035507,4.667815214714756e-15,99,0.0027049469690035507,0.004889127165608603,True,54,2.220446049250313e-16,0.0,2.33539327067038e-07,0.13320980232487573,0.11718449692052754,0.02129206134024896
0.15,17,2744,54,99,0.006937549953572416,99,0.006937549953572416,2.816903717942855e-15,99,0.006937549953572416,0.008683102553006118,True,57,0.0,0.0,1.9701772943896828e-07,0.0798266117590892,0.1093042848380298,0.026009144231332923
0.5,0,713,14,99,0.10472453632757905,99,0.10472453632757905,2.8563496881312485e-15,99,0.10472453632757905,0.18307626182729755,True,24,1.1102230246251565e-15,0.0,2.1330383966067235e-07,0.09526405762300624,0.09675913883041634,0.05995332561141405
0.5,1,3623,72,99,0.07599365436147539,99,0.07599365436147539,5.934641750495276e-16,99,0.07599365436147539,0.12387279322236786,True,23,1.1102230246251565e-15,0.0,1.8103019755466576e-07,0.09160004915662825,0.09536562142009468,0.0746385645103527
0.5,16,2797,55,99,0.06453837884040026,99,0.06453837884040026,7.625368398039186e-16,99,0.06453837884040026,0.12587131747199756,True,22,8.881784197001252e-16,0.0,3.0286948669855374e-07,0.099553131768516,0.09557691911954,0.06693165740315883
0.5,17,2744,54,99,0.05417383778972828,99,0.05417383778972828,1.3534782511487191e-15,99,0.05417383778972828,0.1013915454672339,True,21,1.7763568394002505e-15,0.0,3.505710957085739e-07,0.11145973304871731,0.09573077386930547,0.07336275471390835
0.9,0,713,14,99,0.0839759070108923,99,0.0839759070108923,1.1791500532608187e-15,99,0.0839759070108923,0.10428035652683088,True,18,4.440892098500626e-16,0.0,3.3426869938679715e-07,0.04707594047041414,0.04378650843570419,0.13693450167891122
0.9,1,3623,72,99,0.09150282217296336,99,0.09150282217296336,5.038897594254035e-16,99,0.09150282217296336,0.10179267819896433,True,16,4.440892098500626e-16,0.0,1.587158675875333e-07,0.04293662803001622,0.04914073055113912,0.19731469797727308
0.9,16,2797,55,99,0.0909724233956161,99,0.0909724233956161,7.316729343991994e-16,99,0.0909724233956161,0.0965214473974972,True,16,2.220446049250313e-16,0.0,2.812588688061446e-07,0.03920227551390451,0.043954907269400476,0.1909654415442804
0.9,17,2744,54,99,0.05693559195344846,99,0.05693559195344846,4.576590165436467e-16,99,0.05693559195344846,0.06176431397832405,True,17,2.220446049250313e-16,0.0,9.787950519535293e-08,0.05557808960738133,0.04926313640751639,0.19724673415374858
