q,x,strong_score,weak_score,strong_curvature,weak_curvature,disagreement_gate
2.0,0.0,0.0,-0.0,-0.2495364117121861,-0.3236245954692557,False
2.0,0.1,-0.024971095216192608,-0.03236245954692557,-0.2500597136969879,-0.3236245954692557,False
2.0,0.5,-0.12690309802394842,-0.16181229773462785,-0.26215474429520663,-0.3236245954692557,False
2.0,1.0,-0.2655423131383956,-0.3236245954692557,-0.294874142900961,-0.3236245954692557,False
1.0,0.0,0.0,-0.0,-0.07575119939399044,-0.47846889952153115,False
1.0,0.1,-0.0078104693525964525,-0.04784688995215312,-0.08279588911548563,-0.47846889952153115,False
1.0,0.5,-0.06510384496534244,-0.23923444976076558,-0.2306814102065602,-0.47846889952153115,False
1.0,1.0,-0.2525872348473891,-0.47846889952153115,-0.5177686876346591,-0.47846889952153115,False
0.6,0.0,0.0,-0.0,0.6511237135055663,-0.591715976331361,True
0.6,0.1,0.06365406348101965,-0.0591715976331361,0.6076174297667722,-0.591715976331361,True
0.6,0.5,0.1735851782296327,-0.2958579881656805,-0.15568059162348047,-0.591715976331361,False
0.6,1.0,-0.15137754333214115,-0.591715976331361,-1.0334150350248656,-0.591715976331361,False
0.2,0.0,0.0,-0.0,8.442330558858497,-0.7751937984496123,True
0.2,0.1,0.7992428534398028,-0.07751937984496124,7.133433387985106,-0.7751937984496123,True
0.2,0.5,1.5115840106704703,-0.38759689922480617,-2.0275659251723717,-0.7751937984496123,False
0.2,1.0,-0.006967206364158596,-0.7751937984496123,-3.400274704970324,-0.7751937984496123,False
0.01,0.0,0.0,-0.0,90.00000000000001,-0.9090909090909091,True
0.01,0.1,6.61594155955765,-0.09090909090909091,31.997434161402595,-0.9090909090909091,True
0.01,0.5,4.999092042625952,-0.45454545454545453,-9.981841676905614,-0.9090909090909091,False
0.01,1.0,-4.122307117881974e-08,-0.9090909090909091,-9.999999175538544,-0.9090909090909091,False
