step,model,elapsed_seconds,velocity,total,clean,epsilon,gate,gate_mean,consistency
1,B0_v,0.03846303699538112,1.9943866729736328,1.9943866729736328,,,,,
1,B1_x,0.03846303699538112,,0.9964402914047241,0.9964402914047241,,,,
1,B2_eps,0.03846303699538112,,0.9984636306762695,,0.9984636306762695,,,
1,D0_xeps,0.03846303699538112,,1.9949039220809937,0.9964402914047241,0.9984636306762695,,,
1,D1_scaled,0.03846303699538112,,2.1628835201263428,0.9964402914047241,0.9984636306762695,0.16797959804534912,0.5,
1,D2_velocity,0.03846303699538112,,401.3781433105469,0.9964402914047241,0.9984636306762695,399.38323974609375,0.5,
1,D4_safe,0.03846303699538112,,3.989290714263916,0.9964402914047241,0.9984636306762695,1.9943867921829224,0.5068836212158203,
1,S0_xv,0.03846303699538112,1.9943866729736328,2.9908270835876465,0.9964402914047241,,,,0.6723105311393738
1,S1_xv,0.03846303699538112,1.9943866729736328,3.058058023452759,0.9964402914047241,,,,0.6723105311393738
500,B0_v,36.807391085196286,1.1502957344055176,1.1502957344055176,,,,,
500,B1_x,36.807391085196286,,0.13756826519966125,0.13756826519966125,,,,
500,B2_eps,36.807391085196286,,0.9671882390975952,,0.9671882390975952,,,
500,D0_xeps,36.807391085196286,,1.1379412412643433,0.1373296082019806,1.000611662864685,,,
500,D1_scaled,36.807391085196286,,1.1584177017211914,0.13934220373630524,1.0007275342941284,0.01834793947637081,0.9474966526031494,
500,D2_velocity,36.807391085196286,,1.668134331703186,0.1843271255493164,1.0007895231246948,0.4830176830291748,0.8492691516876221,
500,D4_safe,36.807391085196286,,1.5328198671340942,0.14092957973480225,1.0007914304733276,0.39109885692596436,0.8362905383110046,
500,S0_xv,36.807391085196286,1.1516988277435303,1.2920753955841064,0.14037662744522095,,,,0.3563162088394165
500,S1_xv,36.807391085196286,1.1517046689987183,1.327710747718811,0.14040617644786835,,,,0.3559996783733368
1000,B0_v,74.35798439383507,1.0855669975280762,1.0855669975280762,,,,,
1000,B1_x,74.35798439383507,,0.070407435297966,0.070407435297966,,,,
1000,B2_eps,74.35798439383507,,0.9457954168319702,,0.9457954168319702,,,
1000,D0_xeps,74.35798439383507,,1.0710421800613403,0.07038011401891708,1.000662088394165,,,
1000,D1_scaled,74.35798439383507,,1.0735630989074707,0.0703931450843811,1.0008081197738647,0.0023618238046765327,0.9802570939064026,
1000,D2_velocity,74.35798439383507,,1.3550812005996704,0.0927247554063797,1.0008182525634766,0.26153817772865295,0.8914067149162292,
1000,D4_safe,74.35798439383507,,1.3107331991195679,0.0813802108168602,1.001039743423462,0.22831319272518158,0.8900789022445679,
1000,S0_xv,74.35798439383507,1.0852100849151611,1.1555395126342773,0.07032940536737442,,,,0.3269962668418884
1000,S1_xv,74.35798439383507,1.0851974487304688,1.188223123550415,0.07032965123653412,,,,0.32695984840393066
1500,B0_v,111.76254341611639,1.090369462966919,1.090369462966919,,,,,
1500,B1_x,111.76254341611639,,0.0764564573764801,0.0764564573764801,,,,
1500,B2_eps,111.76254341611639,,0.9297505617141724,,0.9297505617141724,,,
1500,D0_xeps,111.76254341611639,,1.0754204988479614,0.07647767663002014,0.9989428520202637,,,
1500,D1_scaled,111.76254341611639,,1.0773531198501587,0.07680899649858475,0.9991103410720825,0.001433737576007843,0.9870501756668091,
1500,D2_velocity,111.76254341611639,,1.3015621900558472,0.0900946855545044,0.9992133975028992,0.212254136800766,0.9140839576721191,
1500,D4_safe,111.76254341611639,,1.246937870979309,0.07973723858594894,0.9993855357170105,0.16781505942344666,0.9347175359725952,
1500,S0_xv,111.76254341611639,1.0903654098510742,1.1673697233200073,0.07700429856777191,,,,0.33914050459861755
1500,S1_xv,111.76254341611639,1.0903586149215698,1.2012755870819092,0.07700441777706146,,,,0.3391258120536804
2000,B0_v,149.2010819441639,1.0978327989578247,1.0978327989578247,,,,,
2000,B1_x,149.2010819441639,,0.08381156623363495,0.08381156623363495,,,,
2000,B2_eps,149.2010819441639,,0.9190300703048706,,0.9190300703048706,,,
2000,D0_xeps,149.2010819441639,,1.0825181007385254,0.08381880819797516,0.9986992478370667,,,
2000,D1_scaled,149.2010819441639,,1.0840868949890137,0.08390490710735321,0.9987796545028687,0.0014023523544892669,0.9906845688819885,
2000,D2_velocity,149.2010819441639,,1.4912410974502563,0.11371339112520218,0.998979389667511,0.378548264503479,0.8202651143074036,
2000,D4_safe,149.2010819441639,,1.3046358823776245,0.0892040804028511,0.99898362159729,0.21644821763038635,0.9143778085708618,
2000,S0_xv,149.2010819441639,1.0980498790740967,1.182199239730835,0.08414936810731888,,,,0.3355971574783325
2000,S1_xv,149.2010819441639,1.0980477333068848,1.2157543897628784,0.08414830267429352,,,,0.3355841040611267
2500,B0_v,186.59624325484037,1.0850046873092651,1.0850046873092651,,,,,
2500,B1_x,186.59624325484037,,0.07106707990169525,0.07106707990169525,,,,
2500,B2_eps,186.59624325484037,,0.9135828018188477,,0.9135828018188477,,,
2500,D0_xeps,186.59624325484037,,1.0708818435668945,0.0710429698228836,0.9998388886451721,,,
2500,D1_scaled,186.59624325484037,,1.0721114873886108,0.07104821503162384,0.999839723110199,0.001223600353114307,0.9907408952713013,
2500,D2_velocity,186.59624325484037,,1.2899658679962158,0.07980649173259735,1.0000405311584473,0.21011891961097717,0.9114834070205688,
2500,D4_safe,186.59624325484037,,1.2193686962127686,0.07273467630147934,1.000207543373108,0.1464264988899231,0.9461958408355713,
2500,S0_xv,186.59624325484037,1.0847023725509644,1.1560953855514526,0.07139303535223007,,,,0.3171188533306122
2500,S1_xv,186.59624325484037,1.0846877098083496,1.1877501010894775,0.07135288417339325,,,,0.31709563732147217
3000,B0_v,224.08985457383096,1.0951194763183594,1.0951194763183594,,,,,
3000,B1_x,224.08985457383096,,0.07938101142644882,0.07938101142644882,,,,
3000,B2_eps,224.08985457383096,,0.9086644053459167,,0.9086644053459167,,,
3000,D0_xeps,224.08985457383096,,1.0800827741622925,0.07945230603218079,1.000630497932434,,,
3000,D1_scaled,224.08985457383096,,1.081302523612976,0.07955372333526611,1.0004982948303223,0.0012505167396739125,0.9925234317779541,
3000,D2_velocity,224.08985457383096,,1.3221594095230103,0.08696754276752472,1.0010714530944824,0.23412033915519714,0.8698186874389648,
3000,D4_safe,224.08985457383096,,1.212469458580017,0.08001686632633209,1.0012171268463135,0.13123543560504913,0.9700953960418701,
3000,S0_xv,224.08985457383096,1.0949504375457764,1.1743022203445435,0.07935173809528351,,,,0.34060102701187134
3000,S1_xv,224.08985457383096,1.0949969291687012,1.2084424495697021,0.07938526570796967,,,,0.34060239791870117
3500,B0_v,261.2580823060125,1.0897760391235352,1.0897760391235352,,,,,
3500,B1_x,261.2580823060125,,0.077375128865242,0.077375128865242,,,,
3500,B2_eps,261.2580823060125,,0.9034154415130615,,0.9034154415130615,,,
3500,D0_xeps,261.2580823060125,,1.0748997926712036,0.07746618241071701,0.9974336624145508,,,
3500,D1_scaled,261.2580823060125,,1.0753493309020996,0.07744915038347244,0.9967370629310608,0.0011630895314738154,0.9931519031524658,
3500,D2_velocity,261.2580823060125,,1.266225814819336,0.0819750726222992,0.9982067942619324,0.18604403734207153,0.9298229217529297,
3500,D4_safe,261.2580823060125,,1.442152500152588,0.1003037616610527,0.9983644485473633,0.3434843420982361,0.8576419353485107,
3500,S0_xv,261.2580823060125,1.0898571014404297,1.167359471321106,0.07750234007835388,,,,0.3416276276111603
3500,S1_xv,261.2580823060125,1.0898455381393433,1.2014983892440796,0.07749134302139282,,,,0.34161409735679626
4000,B0_v,298.2370732771233,1.090442180633545,1.090442180633545,,,,,
4000,B1_x,298.2370732771233,,0.077324777841568,0.077324777841568,,,,
4000,B2_eps,298.2370732771233,,0.899610698223114,,0.899610698223114,,,
4000,D0_xeps,298.2370732771233,,1.0742301940917969,0.0773758590221405,0.9968543648719788,,,
