arm,median_seconds,min_seconds,max_seconds,relative_to_native,batch,repeats
mlp,1.6446412079967558,1.6010913299396634,1.6840783040970564,0.016269455942813593,4,3
native_base,1.6183121497742832,1.6073169177398086,1.6702729780226946,0.0,4,3
adg,1.6377895879559219,1.6321038217283785,1.6691752620972693,0.012035649725768538,4,3
cfg_heun25,1.5680993511341512,1.5670421146787703,1.646597237791866,-0.031027882134565643,4,3
