arm,fid,inception_score,primary_samples,generated_paths,full_calls_per_output,prefix_calls_at_inference,head_calls_per_output,seconds,delta_from_native
mlp,20.90818670872045,65.31250953674316,5000,5000,100,0,50,2020.3032331480645,-2.883621596726016
native_base,23.791808305446466,60.44389038085937,5000,5000,100,0,50,2005.1901060990058,0.0
adg,24.136260831965046,59.77778358459473,5000,5000,100,0,50,2038.0199676938355,0.34445252651858027
cfg_heun25,9.602243099142754,167.20252227783203,5000,5000,98,0,0,1933.8107127822004,-14.189565206303712
