time,condition,paired_velocity_mse,bayes_velocity_mse,irreducible_velocity_mse,gate_mean,gate_std,x_amplification_mean,epsilon_amplification_mean
0.01,Bayes_exact,1.0098252296447754,0.0,1.0098252296447754,,,,
0.01,B0_v_ind,1.0158833265304565,0.004364300519227982,1.0098252296447754,,,,
0.01,B1_x_ind,1.0099706649780273,0.00010987264249706641,1.0098252296447754,,,,
0.01,B2_eps_ind,19.97722816467285,18.971500396728516,1.0098252296447754,,,,
0.01,D0_x_shared,1.0106102228164673,0.0008881716639734805,1.0098252296447754,,,,
0.01,D0_eps_shared,14.671365737915039,13.78548812866211,1.0098252296447754,,,,
0.01,D0_fixed_x_eps,1.0106102228164673,0.0008881716639734805,1.0098252296447754,1.0,0.0,1.0101009607315063,0.0
0.01,D0_safe_schedule,1.0109848976135254,0.002501404145732522,1.0098252296447754,0.9900000095367432,0.0,0.9999999403953552,0.9999990463256836
0.01,D3_oracle_bayes_gate,1.009926676750183,0.0007291281945072114,1.0098252296447754,0.9979566931724548,0.007070101331919432,1.0080368518829346,0.20433248579502106
0.01,D1_scaled_gate,1.107384443283081,0.09788236767053604,1.0098252296447754,0.9240536689758301,0.05118520185351372,0.9333875179290771,7.594632148742676
0.01,D2_velocity_gate,1.013179063796997,0.002764041069895029,1.0098252296447754,0.9967162013053894,0.00221991166472435,1.0067839622497559,0.3283824920654297
0.01,D4_safe_velocity_gate,1.0107375383377075,0.0006415087264031172,1.0098252296447754,0.9976217746734619,0.0003989699762314558,1.0076987743377686,0.23781785368919373
0.01,S0_xv_switch,1.0123049020767212,0.0023107496090233326,1.0098252296447754,1.0,0.0,1.0101009607315063,0.0
0.01,S1_xv_consistency_switch,1.0120571851730347,0.002058690879493952,1.0098252296447754,1.0,0.0,1.0101009607315063,0.0
0.01,D3_oracle_pair_teacher_only,0.7623540759086609,0.24644199013710022,1.0098252296447754,0.8714070320129395,0.20544536411762238,0.8802090883255005,12.859296798706055
0.03,Bayes_exact,1.0508596897125244,0.0,1.0508596897125244,,,,
0.03,B0_v_ind,1.0568259954452515,0.004128098487854004,1.0508596897125244,,,,
0.03,B1_x_ind,1.0510538816452026,0.00023044469708111137,1.0508596897125244,,,,
0.03,B2_eps_ind,2.8519110679626465,1.7733193635940552,1.0508596897125244,,,,
0.03,D0_x_shared,1.0527470111846924,0.0010802310425788164,1.0508596897125244,,,,
0.03,D0_eps_shared,1.9495666027069092,0.8809924125671387,1.0508596897125244,,,,
0.03,D0_fixed_x_eps,1.0527470111846924,0.0010802310425788164,1.0508596897125244,1.0,0.0,1.0309277772903442,0.0
