source,time,component,samples,field_rms_mean,field_rms_abs_mean,field_rms_rms,field_rms_median,field_rms_q10,field_rms_q90,score_rms_mean,score_rms_abs_mean,score_rms_rms,score_rms_median,score_rms_q10,score_rms_q90,score_work_per_dim_mean,score_work_per_dim_abs_mean,score_work_per_dim_rms,score_work_per_dim_median,score_work_per_dim_q10,score_work_per_dim_q90,divergence_per_dim_mean,divergence_per_dim_abs_mean,divergence_per_dim_rms,divergence_per_dim_median,divergence_per_dim_q10,divergence_per_dim_q90,density_action_per_dim_mean,density_action_per_dim_abs_mean,density_action_per_dim_rms,density_action_per_dim_median,density_action_per_dim_q10,density_action_per_dim_q90,action_per_unit_field,action_cancellation_ratio
teacher,0.1,anchor_v400,32,1.0578919630497694,1.0578919630497694,1.0619956212256296,1.0391183495521545,0.9668515443801879,1.2240996241569522,1.1079724095761776,1.1079724095761776,1.1080572353657667,1.1059542894363403,1.0931318283081055,1.1290339231491089,1.039494203403592,1.039494203403592,1.039785321868602,1.034239113330841,1.011764931678772,1.0785675168037414,-1.0407361639663577,1.0407361639663577,1.040768237263945,-1.0409645289182663,-1.0509255677461624,-1.031729057431221,-0.0012419605627655983,0.02296587359160185,0.02702351507402752,-0.009148731827735901,-0.026667338609695435,0.03808212578296662,0.02544597598513653,0.012988617839424685
teacher,0.1,gap_v_full,32,0.027395266108214855,0.027395266108214855,0.030391307107639758,0.022616270929574966,0.015098015498369931,0.048472663387656226,1.1079724095761776,1.1079724095761776,1.1080572353657667,1.1059542894363403,1.0931318283081055,1.1290339231491089,0.0004064408171871037,0.0012903275387543545,0.0016312170419792169,0.0004774541448568925,-0.0018075534841045736,0.0019094970659352852,-0.00045997885132464944,0.0012019777174714363,0.0015190135595146111,-0.0004936400109727401,-0.001837200218869839,0.0013541093543608447,-5.3538034137545765e-05,0.00046968152895487947,0.0006690538121139024,-0.00010818095506692771,-0.0007380899729469093,0.0008056662343733482,0.02201464417914805,0.2123824877444335
teacher,0.1,gap_v_orthogonal,32,0.02710455935448408,0.02710455935448408,0.03003531870166964,0.02213241532444954,0.01507641039788723,0.04735995046794416,1.1079724095761776,1.1079724095761776,1.1080572353657667,1.1059542894363403,1.0931318283081055,1.1290339231491089,-0.00036958851205781684,0.0033039916893358168,0.004412454269523618,0.00030672841239720583,-0.005806710477918386,0.0046097548678517355,0.0003411980533201131,0.0031249115922946658,0.0040893058314724106,-0.0004457969080249313,-0.004347971634706482,0.004966601764317604,-2.839045873770374e-05,0.00046054787662797025,0.0006386164949316323,-6.708886212436482e-05,-0.0007061890326440334,0.000589982795645483,0.02126218473906628,0.07511579806360508
teacher,0.1,gap_x_full,32,0.04225649090949446,0.04225649090949446,0.04598104116072335,0.037753695622086525,0.02501986175775528,0.06522139348089696,1.1079724095761776,1.1079724095761776,1.1080572353657667,1.1059542894363403,1.0931318283081055,1.1290339231491089,0.0005212232554185903,0.0021906819038122194,0.0027824273927751896,0.000372059119399637,-0.002863837359473109,0.0037954306695610297,-6.357733479944727e-05,0.0022248361816537,0.002720166951423399,0.00032176616150536574,-0.0025998572062235327,0.003257645072881133,0.000457645920619143,0.0009101922431682397,0.0012493922200467998,0.00020356477762106806,-0.0008629591327917296,0.001789876018301584,0.027171899298226873,0.2270551201660068
teacher,0.1,gap_x_orthogonal,32,0.041669040685519576,0.041669040685519576,0.045161771564017635,0.03766548074781895,0.025003484450280666,0.06363515667617321,1.1079724095761776,1.1079724095761776,1.1080572353657667,1.1059542894363403,1.0931318283081055,1.1290339231491089,-0.0012771703813996282,0.005403840544204286,0.007380204318910317,-9.990348189603537e-05,-0.010643126163631677,0.006609604228287936,0.0017552883309690515,0.0053037902052892605,0.007403082191869362,0.00070023255830165,-0.005552675877697766,0.011117618996649984,0.0004781179495694232,0.0009149566431005951,0.0012846895414572494,0.00019174146291334182,-0.0008973404910648242,0.001978407526621595,0.02844639386291963,0.08690148435670778
teacher,0.1,other_v270,32,1.0574874356389046,1.0574874356389046,1.0616265937125977,1.0368119478225708,0.9657455921173096,1.2140762209892275,1.1079724095761776,1.1079724095761776,1.1080572353657667,1.1059542894363403,1.0931318283081055,1.1290339231491089,1.0390877556055784,1.0390877556055784,1.0393771761410247,1.033288836479187,1.0122756719589234,1.078366219997406,-1.040276170708239,1.040276170708239,1.0403090299596833,-1.0407784432172775,-1.0502698689699173,-1.0310539692640304,-0.001188415102660656,0.022791418246924877,0.026844297509463624,-0.00915391743183136,-0.026444444060325624,0.03837292492389679,0.02528600702775055,0.012907859575505451
teacher,0.1,other_x400,32,1.0568974800407887,1.0568974800407887,1.0610130378608116,1.0358846783638,0.9657905876636506,1.1970847606658936,1.1079724095761776,1.1079724095761776,1.1080572353657667,1.1059542894363403,1.0931318283081055,1.1290339231491089,1.0389729719609022,1.0389729719609022,1.0392799706811113,1.0338033437728882,1.011114811897278,1.079703187942505,-1.0406725802458823,1.0406725802458823,1.0407016096618442,-1.039535641670227,-1.0491088092327119,-1.030755177140236,-0.0016996082849800587,0.02286880975589156,0.02675616866824506,-0.009997829794883728,-0.027698540687561037,0.038718497753143316,0.02521756822346895,0.012863656544416801
teacher,0.1,v_common_on_x,32,0.010015578419370286,0.010015578419370286,0.012158094851778071,0.00782093871384859,0.004228741209954023,0.016695160977542402,1.1079724095761776,1.1079724095761776,1.1080572353657667,1.1059542894363403,1.0931318283081055,1.1290339231491089,-0.0004793363348198909,0.0013874676421892218,0.002056648041926772,-3.849299355351832e-05,-0.003411515592597425,0.0019439458381384626,0.0005350199239160247,0.0013619106040891893,0.001991197924092851,0.00012352957946859533,-0.0014601387199945747,0.0035709422023501255,5.56835890961338e-05,0.000214703267886307,0.0003282684088420644,3.731897231773473e-05,-0.00027174396309419534,0.00030645724255009573,0.026999987485214965,0.0810970604113331
teacher,0.1,v_unique_to_x,32,0.024671286722877994,0.024671286722877994,0.027464542544521877,0.01958589255809784,0.013902299385517836,0.03987635225057603,1.1079724095761776,1.1079724095761776,1.1080572353657667,1.1059542894363403,1.0931318283081055,1.1290339231491089,0.00010974786118822522,0.0022177031528372027,0.00323741081564034,0.00020967418095096946,-0.0030817355727776885,0.0028946889098733666,-0.00019382184927962953,0.002133833878360747,0.0030365400429044746,-0.0004800026690645609,-0.002793137388653122,0.0029019159272138523,-8.407398809140432e-05,0.0004020713215595606,0.0005336985407919283,-6.868681884952821e-05,-0.000615247026871657,0.0004492198961088435,0.019432274902331504,0.08506578276191898
teacher,0.1,x_common_on_v,32,0.01567332180820813,0.01567332180820813,0.018691885094213618,0.013766222633421421,0.005043556215241551,0.028004898503422745,1.1079724095761776,1.1079724095761776,1.1080572353657667,1.1059542894363403,1.0931318283081055,1.1290339231491089,-0.00035233539767887123,0.0017756326684548185,0.0024919734474737635,0.00013970689178677276,-0.00344823757186532,0.0024363884702324873,0.0003373383091229698,0.001698498653581737,0.0022601999064686953,-0.00018200492559117265,-0.0022064054326619955,0.0035617146757431334,-1.4997088555901428e-05,0.0002893547061830759,0.00045133362303042055,-2.064397449430544e-05,-0.000397456932842033,0.0003702874393638923,0.02414596605722439,0.09497414959746552
