source,time,component,samples,field_rms_mean,field_rms_abs_mean,field_rms_rms,field_rms_median,field_rms_q10,field_rms_q90,score_rms_mean,score_rms_abs_mean,score_rms_rms,score_rms_median,score_rms_q10,score_rms_q90,score_work_per_dim_mean,score_work_per_dim_abs_mean,score_work_per_dim_rms,score_work_per_dim_median,score_work_per_dim_q10,score_work_per_dim_q90,divergence_per_dim_mean,divergence_per_dim_abs_mean,divergence_per_dim_rms,divergence_per_dim_median,divergence_per_dim_q10,divergence_per_dim_q90,density_action_per_dim_mean,density_action_per_dim_abs_mean,density_action_per_dim_rms,density_action_per_dim_median,density_action_per_dim_q10,density_action_per_dim_q90,action_per_unit_field,action_cancellation_ratio
teacher,0.1,anchor_v400,32,1.0578919630497694,1.0578919630497694,1.0619956212256296,1.0391183495521545,0.9668515443801879,1.2240996241569522,1.1079724095761776,1.1079724095761776,1.1080572353657667,1.1059542894363403,1.0931318283081055,1.1290339231491089,1.039494203403592,1.039494203403592,1.039785321868602,1.034239113330841,1.011764931678772,1.0785675168037414,-1.0399794233962893,1.0399794233962893,1.0400066818472111,-1.0404973030090332,-1.0482213854789735,-1.0299524277448655,-0.0004852199926972389,0.021385020576417446,0.025570546367239988,-0.005964100360870361,-0.027477818727493285,0.041781908273696905,0.024077826552363266,0.01229476136149911
teacher,0.1,gap_v_full,32,0.027395266108214855,0.027395266108214855,0.030391307107639758,0.022616270929574966,0.015098015498369931,0.048472663387656226,1.1079724095761776,1.1079724095761776,1.1080572353657667,1.1059542894363403,1.0931318283081055,1.1290339231491089,0.0004064408171871037,0.0012903275387543545,0.0016312170419792169,0.0004774541448568925,-0.0018075534841045736,0.0019094970659352852,-0.0005978206106078687,0.001202939911138401,0.0015593254038139242,-0.0007078240632836241,-0.0023359948128927497,0.0012991383031476299,-0.00019137979342076505,0.0005087529182787875,0.0006935600271791917,-0.000157256617967505,-0.0009066412807442248,0.00047692667503724807,0.022821000252563825,0.2173799718896323
teacher,0.1,gap_v_orthogonal,32,0.02710455935448408,0.02710455935448408,0.03003531870166964,0.02213241532444954,0.01507641039788723,0.04735995046794416,1.1079724095761776,1.1079724095761776,1.1080572353657667,1.1059542894363403,1.0931318283081055,1.1290339231491089,-0.00036958851205781684,0.0033039916893358168,0.004412454269523618,0.00030672841239720583,-0.005806710477918386,0.0046097548678517355,0.00020068135358997097,0.003194385002643685,0.004178747464385819,-0.0003983114529546583,-0.0042580412700772285,0.0040341315965633845,-0.00016890715846784587,0.000490394018470397,0.0006694791107045765,-0.00012526847422122955,-0.0008598590437031816,0.0004914164659567178,0.022289728880664772,0.0779261308766788
teacher,0.1,gap_x_full,32,0.04225649090949446,0.04225649090949446,0.04598104116072335,0.037753695622086525,0.02501986175775528,0.06522139348089696,1.1079724095761776,1.1079724095761776,1.1080572353657667,1.1059542894363403,1.0931318283081055,1.1290339231491089,0.0005212232554185903,0.0021906819038122194,0.0027824273927751896,0.000372059119399637,-0.002863837359473109,0.0037954306695610297,-0.00019311999346882658,0.0021491782896418954,0.002741508986592889,-0.0001076558000931982,-0.0028850917122326793,0.0029878424480557445,0.0003281032619497637,0.0008791453398089288,0.0012987057461277508,4.0932471165433526e-05,-0.0008282884242362343,0.0015679037867812448,0.028244374493135556,0.2351051237625439
teacher,0.1,gap_x_orthogonal,32,0.041669040685519576,0.041669040685519576,0.045161771564017635,0.03766548074781895,0.025003484450280666,0.06363515667617321,1.1079724095761776,1.1079724095761776,1.1080572353657667,1.1059542894363403,1.0931318283081055,1.1290339231491089,-0.0012771703813996282,0.005403840544204286,0.007380204318910317,-9.990348189603537e-05,-0.010643126163631677,0.006609604228287936,0.001627548984401983,0.005261740098035261,0.0074754019591737825,0.00039342626041616313,-0.005642995296511799,0.009693585755303501,0.0003503786030023548,0.0009267045523984052,0.0013075944301388243,0.0001734866964397952,-0.0008576176973292604,0.001413844991475344,0.0289535681363891,0.08802026693907927
teacher,0.1,other_v270,32,1.0574874356389046,1.0574874356389046,1.0616265937125977,1.0368119478225708,0.9657455921173096,1.2140762209892275,1.1079724095761776,1.1079724095761776,1.1080572353657667,1.1059542894363403,1.0931318283081055,1.1290339231491089,1.0390877556055784,1.0390877556055784,1.0393771761410247,1.033288836479187,1.0122756719589234,1.078366219997406,-1.0393816148862243,1.0393816148862243,1.039409057801338,-1.0403030216693878,-1.0470796138048173,-1.0291868567466735,-0.0002938592806458473,0.021194559521973133,0.025438941258126416,-0.006432101130485535,-0.027594521641731262,0.04168112874031067,0.023962230607999648,0.01223740125019115
teacher,0.1,other_x400,32,1.0568974800407887,1.0568974800407887,1.0610130378608116,1.0358846783638,0.9657905876636506,1.1970847606658936,1.1079724095761776,1.1079724095761776,1.1080572353657667,1.1059542894363403,1.0931318283081055,1.1290339231491089,1.0389729719609022,1.0389729719609022,1.0392799706811113,1.0338033437728882,1.011114811897278,1.079703187942505,-1.03978630900383,1.03978630900383,1.0398138032031778,-1.0405776798725128,-1.0472549945116043,-1.0310793578624726,-0.000813337042927742,0.021311042830348015,0.02543099380425529,-0.006672203540802002,-0.027106982469558717,0.039748257398605345,0.023968596894462894,0.012231768534780208
teacher,0.1,v_common_on_x,32,0.010015578419370286,0.010015578419370286,0.012158094851778071,0.00782093871384859,0.004228741209954023,0.016695160977542402,1.1079724095761776,1.1079724095761776,1.1080572353657667,1.1059542894363403,1.0931318283081055,1.1290339231491089,-0.0004793363348198909,0.0013874676421892218,0.002056648041926772,-3.849299355351832e-05,-0.003411515592597425,0.0019439458381384626,0.0005122237311638855,0.001349724802196306,0.0019756407611161123,8.09883158581215e-05,-0.0015265636640833691,0.003122571238782257,3.2887396343994624e-05,0.00023745691635213007,0.00032667597781936716,8.877836535248207e-06,-0.0003096642285527196,0.0003841322875814514,0.02686901046602644,0.08101502490914039
teacher,0.1,v_unique_to_x,32,0.024671286722877994,0.024671286722877994,0.027464542544521877,0.01958589255809784,0.013902299385517836,0.03987635225057603,1.1079724095761776,1.1079724095761776,1.1080572353657667,1.1059542894363403,1.0931318283081055,1.1290339231491089,0.00010974786118822522,0.0022177031528372027,0.00323741081564034,0.00020967418095096946,-0.0030817355727776885,0.0028946889098733666,-0.0003115424253223864,0.0022474268485552784,0.0031359520355179775,-0.0006387588546203915,-0.003006968321278691,0.0027077153397840454,-0.0002017945641341612,0.00040632630640402567,0.0005209831566711159,-0.00016060596681199968,-0.0008942617703723954,0.00032669631182216115,0.018969300356143453,0.08174384054980183
teacher,0.1,x_common_on_v,32,0.01567332180820813,0.01567332180820813,0.018691885094213618,0.013766222633421421,0.005043556215241551,0.028004898503422745,1.1079724095761776,1.1079724095761776,1.1080572353657667,1.1059542894363403,1.0931318283081055,1.1290339231491089,-0.00035233539767887123,0.0017756326684548185,0.0024919734474737635,0.00013970689178677276,-0.00344823757186532,0.0024363884702324873,0.00028627869500041925,0.0017828254352139083,0.002287679550769261,-0.00015968242496455787,-0.002497346029849723,0.0036897266516461983,-6.605670267845198e-05,0.0003433594072816959,0.0004727312686328036,-1.8781931430567056e-05,-0.0006651266812696122,0.0004600196785759182,0.02529072194966282,0.09890493489936972
