source,time,observations,field_rms_mean,field_rms_std,field_rms_q05,field_rms_median,field_rms_q95,field_rms_min,field_rms_max,jvp_rms_mean,jvp_rms_std,jvp_rms_q05,jvp_rms_median,jvp_rms_q95,jvp_rms_min,jvp_rms_max,vjp_rms_mean,vjp_rms_std,vjp_rms_q05,vjp_rms_median,vjp_rms_q95,vjp_rms_min,vjp_rms_max,antisymmetric_rms_mean,antisymmetric_rms_std,antisymmetric_rms_q05,antisymmetric_rms_median,antisymmetric_rms_q95,antisymmetric_rms_min,antisymmetric_rms_max,antisymmetric_over_jvp_rms_mean,antisymmetric_over_jvp_rms_std,antisymmetric_over_jvp_rms_q05,antisymmetric_over_jvp_rms_median,antisymmetric_over_jvp_rms_q95,antisymmetric_over_jvp_rms_min,antisymmetric_over_jvp_rms_max,antisymmetric_energy_fraction_mean,antisymmetric_energy_fraction_std,antisymmetric_energy_fraction_q05,antisymmetric_energy_fraction_median,antisymmetric_energy_fraction_q95,antisymmetric_energy_fraction_min,antisymmetric_energy_fraction_max,jvp_vjp_cosine_mean,jvp_vjp_cosine_std,jvp_vjp_cosine_q05,jvp_vjp_cosine_median,jvp_vjp_cosine_q95,jvp_vjp_cosine_min,jvp_vjp_cosine_max
teacher,0.1,64,1.057891959324479,0.09400732897840942,0.9490105122327804,1.0391183495521545,1.2605489194393158,0.9421446919441223,1.2697830200195312,1.084145586937666,0.023374190326940505,1.0591453552246093,1.0794649720191956,1.1246223628520966,1.0559941530227661,1.1795237064361572,1.0829668827354908,0.02029108539260466,1.0593969464302062,1.0797629952430725,1.121036547422409,1.0572923421859741,1.1500910520553589,0.07309088949114084,0.03735522579821536,0.034283746220171454,0.06139521114528179,0.1570329703390598,0.030317094177007675,0.17331896722316742,0.06693625135812908,0.03296159376700638,0.032265155017375945,0.05658387765288353,0.1376804396510124,0.028566841036081314,0.15396009385585785,0.0013919096079462179,0.001424410485357191,0.0002603380984510295,0.0008001214009709656,0.004850094392895697,0.00020402841619215906,0.005987591575831175,0.9972309721633792,0.0028235875563186507,0.9905691325664521,0.9984001219272614,0.9994796931743621,0.9880784153938293,0.9995920658111572
teacher,0.3,64,1.0495134927332401,0.12755427155579227,0.8613935232162475,1.0575341582298279,1.288277733325958,0.8590686321258545,1.3353137969970703,1.2479903940111399,0.048053508837812994,1.1792772591114045,1.2470815777778625,1.3218959808349608,1.1328918933868408,1.3868494033813477,1.2490745317190886,0.04978177377844663,1.1760887384414673,1.2512654662132263,1.333336991071701,1.1380194425582886,1.3749241828918457,0.22482607793062925,0.05327955561616859,0.14502967223525048,0.2199370041489601,0.32516832649707783,0.12905049324035645,0.3605755865573883,0.1795073979301378,0.03888206456724533,0.11893938109278679,0.17911317944526672,0.23825231343507766,0.10769745707511902,0.2825300991535187,0.008418527744652238,0.003637276296653107,0.003540091891773045,0.008045789785683155,0.01435106205753982,0.0029158941470086575,0.019756346940994263,0.983193252235651,0.007265581219486125,0.9713759243488311,0.9839144945144653,0.9929215043783188,0.9605353474617004,0.9941837191581726
teacher,0.5,64,1.0149210877716541,0.15585051883580017,0.7731733977794647,1.0035778284072876,1.32905284166336,0.7506772875785828,1.3447887897491455,1.537650242447853,0.12062216018151098,1.3708748757839202,1.5250493288040161,1.7429379999637604,1.2999293804168701,1.8020758628845215,1.5359582360833883,0.12447415732044585,1.367402231693268,1.5201085805892944,1.7468420445919035,1.2818028926849365,1.8065346479415894,0.422283623367548,0.07381910986274491,0.2973829746246338,0.41898520290851593,0.543128713965416,0.2705655097961426,0.5761377215385437,0.27607677527703345,0.051790665843387325,0.1917101562023163,0.2807050347328186,0.36468917876482,0.169816255569458,0.4069010019302368,0.019743612290767487,0.007333483739982347,0.009232270251959562,0.019742741249501705,0.03368282858282325,0.007223521359264851,0.04117974266409874,0.9605513792484999,0.014644469615525216,0.9327201306819916,0.9605182707309723,0.9815514773130417,0.9176526069641113,0.9855548739433289
teacher,0.7,64,0.9823064748197794,0.16058339327678078,0.7843266278505325,0.9878508746623993,1.3219141244888302,0.7104283571243286,1.3345047235488892,2.1143800672143698,0.28911696119059765,1.6702730894088744,2.043229103088379,2.674597978591918,1.6294164657592773,2.8097479343414307,2.113174058496952,0.28804603508602006,1.6619281470775604,2.0438904762268066,2.666339206695556,1.6459500789642334,2.7967679500579834,0.6493375189602375,0.08618620745188804,0.512789300084114,0.6509434878826141,0.8111353635787963,0.4764007031917572,0.8542214632034302,0.3131715515628457,0.06124431924948458,0.22401418685913085,0.31754113733768463,0.4013616397976874,0.1856968104839325,0.48664700984954834,0.02545523982553277,0.009944093209351749,0.01259257383644581,0.025190379470586777,0.04044542349874971,0.008628405630588531,0.059003621339797974,0.949104062281549,0.019884904712457883,0.9191170990467071,0.9496266543865204,0.9748250633478165,0.8819978833198547,0.982743501663208
teacher,0.9,64,0.9120859708636999,0.15460685736016921,0.7093161910772323,0.8965202271938324,1.2266511678695677,0.6957093477249146,1.2781198024749756,3.148828264325857,1.159039318796894,1.6496088981628418,2.871237635612488,5.653065991401667,1.589962124824524,6.616324424743652,3.1436186973005533,1.158579766749735,1.6518397688865663,2.861808180809021,5.652253699302668,1.5948244333267212,6.617171764373779,0.9598692236468196,0.159410287847803,0.6895006000995636,0.9515027701854706,1.207758629322052,0.6144230365753174,1.2593629360198975,0.32575563923455775,0.06338254896928572,0.21454382166266442,0.3366449922323227,0.4162451177835463,0.18202421069145203,0.47088971734046936,0.02756909589515999,0.01010258413452022,0.011518800724297762,0.028144887648522854,0.043258291669189895,0.008315729908645153,0.05602651461958885,0.9448768505826592,0.020195757836934048,0.9134886413812637,0.9437451958656311,0.9769630134105682,0.887997567653656,0.9833762645721436
v400_rollout,0.1,64,1.0132871977984905,0.053645620898845156,0.9506035923957825,1.0032451152801514,1.120621424913406,0.9499457478523254,1.1745766401290894,1.080048130825162,0.021148622357533075,1.058974814414978,1.075727939605713,1.1200501143932342,1.049124836921692,1.1622982025146484,1.0805721133947372,0.023138698562806127,1.0581234991550446,1.074164092540741,1.121640121936798,1.0501925945281982,1.1745330095291138,0.06927457946585491,0.03754524871572487,0.03144696606323123,0.05710570514202118,0.14657002538442604,0.027704928070306778,0.18951605260372162,0.06367870996473357,0.0332206126318889,0.029655288066715003,0.05330878123641014,0.12707952000200745,0.026039661839604378,0.16746464371681213,0.0012835484621973592,0.0014536151891293375,0.00021990187524352224,0.0007098697242327034,0.004008866089861839,0.00016957252228166908,0.007019191514700651,0.9974426245316863,0.002889222646100401,0.9920407980680466,0.9985808730125427,0.9995603173971176,0.9859622716903687,0.9996609091758728
v400_rollout,0.3,64,0.9881066903471947,0.09034065773043544,0.8622522056102753,0.984405130147934,1.1461577355861663,0.8561389446258545,1.2237958908081055,1.2390606552362442,0.04318447953335554,1.1755525112152099,1.2413104176521301,1.3093408465385437,1.1511071920394897,1.3514853715896606,1.2394545618444681,0.04214237854094677,1.1775724947452546,1.2403589487075806,1.3132361352443693,1.1491602659225464,1.333272099494934,0.19959419616498053,0.06039096611481947,0.12151916176080704,0.19138171523809433,0.2875185698270798,0.10900304466485977,0.3812674880027771,0.16041240526828915,0.04572628310942374,0.10239849984645844,0.15376221388578415,0.22904370576143265,0.0905555784702301,0.3083159327507019,0.006941543135326356,0.004172032430901174,0.0026207580813206732,0.005866187857463956,0.013134667091071604,0.0020472893957048655,0.023554915562272072,0.9861417505890131,0.00832810265748427,0.9737508207559585,0.9882958829402924,0.9947588622570038,0.9529273509979248,0.9959063529968262
v400_rollout,0.5,64,0.9320420268923044,0.10616767820147459,0.777752810716629,0.9209991693496704,1.121248334646225,0.7370390295982361,1.2089462280273438,1.5078030582517385,0.09461143394812892,1.3240077912807464,1.49772447347641,1.657042598724365,1.2930197715759277,1.6999613046646118,1.5060299076139927,0.0966292713564388,1.3082569539546967,1.5071849822998047,1.6751511633396146,1.2864313125610352,1.6922789812088013,0.4128911115694791,0.09189284982468943,0.2807926043868065,0.39115023612976074,0.5926330983638762,0.23182807862758636,0.647422730922699,0.2732650521211326,0.05516788587275784,0.18818897530436515,0.2647295594215393,0.36928329020738593,0.17090414464473724,0.41516610980033875,0.019445019286649767,0.007970534165576535,0.008893635915592312,0.01746682170778513,0.033478841558098785,0.007307258900254965,0.04313183203339577,0.9611603496596217,0.015911546773788983,0.9332730948925019,0.9650710821151733,0.982223117351532,0.9137366414070129,0.9853857755661011
v400_rollout,0.7,64,0.881321245804429,0.11797412146898023,0.7178861677646637,0.8634293675422668,1.1076129853725432,0.6472828388214111,1.199070692062378,2.008963657543063,0.22207828877914015,1.676411497592926,2.0417773723602295,2.3998497724533077,1.5385817289352417,2.495620012283325,2.0085533633828163,0.22180227002895733,1.6695712566375733,2.0412912368774414,2.401793277263641,1.545620083808899,2.4923298358917236,0.6514652273617685,0.10646461352038096,0.49559386521577836,0.631488710641861,0.8673008352518077,0.4744407534599304,0.9480459094047546,0.32577745732851326,0.04913423105308796,0.25611298382282255,0.3265955150127411,0.4224924772977827,0.23053045570850372,0.44957080483436584,0.027146141859702766,0.008365030043121642,0.01644505364820361,0.02652300614863634,0.04483707696199413,0.013293392024934292,0.05118483304977417,0.9457253124564886,0.01671988024731959,0.910339766740799,0.9469694197177887,0.9671139925718307,0.897706151008606,0.9734134078025818
v400_rollout,0.9,64,0.8024472687393427,0.1217316273696984,0.622386884689331,0.7720614671707153,1.058317136764526,0.6117784380912781,1.1131212711334229,2.602945502847433,0.7827883312038852,1.5859599947929381,2.551289916038513,4.269879043102263,1.4183446168899536,4.786736965179443,2.603919703513384,0.7824184101572196,1.5854564964771272,2.5560028553009033,4.256292307376859,1.415219783782959,4.788553237915039,0.8753621382638812,0.14498672797387252,0.6456586301326752,0.9003516733646393,1.069274580478668,0.5893166065216064,1.1638091802597046,0.3500550303142518,0.05257406173231273,0.26215308010578153,0.35178083181381226,0.4304733231663704,0.2135617434978485,0.46002575755119324,0.031301650626119226,0.009061222278509385,0.017147619184106587,0.031032701954245567,0.04606271032243967,0.01139782927930355,0.05348925292491913,0.9374109441414475,0.018115937912783955,0.9078796297311783,0.937940388917923,0.9657066196203232,0.8930758833885193,0.9772043228149414
