source,time,component,observations,field_rms_mean,field_rms_median,field_rms_q10,field_rms_q90,jvp_rms_mean,jvp_rms_median,jvp_rms_q10,jvp_rms_q90,vjp_rms_mean,vjp_rms_median,vjp_rms_q10,vjp_rms_q90,antisymmetric_rms_mean,antisymmetric_rms_median,antisymmetric_rms_q10,antisymmetric_rms_q90,antisymmetric_over_jvp_rms_mean,antisymmetric_over_jvp_rms_median,antisymmetric_over_jvp_rms_q10,antisymmetric_over_jvp_rms_q90,antisymmetric_energy_fraction_mean,antisymmetric_energy_fraction_median,antisymmetric_energy_fraction_q10,antisymmetric_energy_fraction_q90,jvp_vjp_cosine_mean,jvp_vjp_cosine_median,jvp_vjp_cosine_q10,jvp_vjp_cosine_q90
teacher,0.1,v_common_on_x,32,0.012921576380904298,0.009307695552706718,0.0037422531517222525,0.02667904049158097,0.02596018854819704,0.021568520925939083,0.008814309630542994,0.044055796414613727,0.031006346005597152,0.020248139277100563,0.008088512532413005,0.05522787719964982,0.035747376416111365,0.030096678994596004,0.012191206682473421,0.056783685460686684,1.4737433064728975,1.1825426816940308,1.0335768938064576,2.117710793018342,0.39181574108079076,0.3748733848333359,0.26552451252937315,0.5195980846881867,0.22787953296210617,0.2576744556427002,-0.04764551930129528,0.5072862327098848
teacher,0.1,v_unique_to_x,32,0.026024749560747296,0.022329038009047508,0.01416826033964753,0.04894859157502655,0.05313661741092801,0.042031968012452126,0.021809866651892662,0.09344973042607314,0.05492375255562365,0.04262218438088894,0.021510940045118332,0.07899557501077653,0.058804642292670906,0.052048757672309875,0.02711056135594845,0.10530469119548803,1.2223543748259544,1.206811785697937,0.9797704458236695,1.5443082928657532,0.3659947579726577,0.37340493500232697,0.2498101457953453,0.45592656135559084,0.27321465231943876,0.26579901576042175,0.09115190356969834,0.5096657454967499
teacher,0.1,x_common_on_v,32,0.020899605020531453,0.014001330826431513,0.006293878145515919,0.0449064262211323,0.0468020812550094,0.03917377442121506,0.015177025459706783,0.09163553789258008,0.04789773120137397,0.029494320042431355,0.01324859019368887,0.08904897570610047,0.05583518702769652,0.04397841729223728,0.01880026627331972,0.1156400695443154,1.3185922801494598,1.186088502407074,0.9817151188850403,1.6465260148048402,0.3863998022861779,0.373317614197731,0.27336875796318055,0.5278387546539307,0.23316228709882125,0.30550770461559296,-0.05836462378501892,0.46063888072967535
teacher,0.1,x_unique_to_v,32,0.041621253825724125,0.03913232497870922,0.025523622706532478,0.06711542569100859,0.07876789959846064,0.0649525336921215,0.03396762795746326,0.14483643323183062,0.08043799456208944,0.07077573612332344,0.033482515066862104,0.15053128749132164,0.09490006638225168,0.09127216413617134,0.04384228214621544,0.16438135057687764,1.2280431296676397,1.1620319485664368,1.087363612651825,1.4295569062232971,0.3665066482499242,0.3659261167049408,0.2690236121416092,0.47797867655754095,0.2711075040861033,0.26924221217632294,0.04463736228644848,0.46710881590843206
teacher,0.5,v_common_on_x,32,0.024425534822512418,0.02086216863244772,0.012584750819951297,0.04618876874446872,0.08579366642516106,0.07803026959300041,0.04608166888356209,0.13894672691822055,0.08592112315818667,0.07760661840438843,0.047125278413295744,0.1467341028153897,0.10177108412608504,0.09495117142796516,0.05768948048353195,0.16625872850418094,1.2009846828877926,1.178396224975586,1.0829061269760132,1.2818246006965637,0.35184423066675663,0.35499413311481476,0.3121362656354904,0.38424020111560825,0.30021577095612884,0.2973414212465286,0.23728104531764985,0.3770422786474228
teacher,0.5,v_unique_to_x,32,0.06831487896852195,0.06759192422032356,0.05408343896269798,0.08157107383012772,0.23510146653279662,0.2170788273215294,0.1855103924870491,0.29846131801605225,0.23356434563174844,0.2136031836271286,0.18964661955833434,0.28370518088340757,0.28349559381604195,0.2577517181634903,0.2096409022808075,0.3628941953182221,1.1993696689605713,1.197575569152832,1.1230640292167664,1.3228910326957704,0.36299336329102516,0.3618978410959244,0.32928437292575835,0.40138478577136993,0.2748198267072439,0.276928186416626,0.19791038632392882,0.34203784763813017
teacher,0.5,x_common_on_v,32,0.04393620346672833,0.03881117142736912,0.02618572972714901,0.06978249587118629,0.15728695830330253,0.14376554638147354,0.09805254191160202,0.21439822614192963,0.15238193655386567,0.1461416706442833,0.08373958840966225,0.19788288176059723,0.1884548340458423,0.17711759358644485,0.11952752098441125,0.2522449746727944,1.2032359521836042,1.2057603001594543,1.099068248271942,1.3084158658981324,0.3716294737532735,0.36624498665332794,0.32379263639450073,0.4082623392343521,0.26019056933000684,0.26964910328388214,0.18362136036157609,0.3541311860084534
teacher,0.5,x_unique_to_v,32,0.1260299733839929,0.11980504542589188,0.09931090921163559,0.15138455331325532,0.4231556346639991,0.41844578087329865,0.3370135068893433,0.5309249818325044,0.42718139570206404,0.4106442928314209,0.34084599316120145,0.5257432341575623,0.49597601033747196,0.46847517788410187,0.394462576508522,0.6196315348148347,1.1704410891979933,1.1759233474731445,1.1006385922431945,1.2473861813545226,0.3409038274548948,0.348931148648262,0.28489539325237273,0.37660983800888065,0.3188711437396705,0.30239929258823395,0.2474338486790657,0.43094520270824443
teacher,0.9,v_common_on_x,32,0.022639800561591983,0.022071908228099346,0.019459492713212966,0.02785651050508023,0.14145629690028727,0.14424040913581848,0.11221156939864159,0.16512729972600937,0.14159478875808418,0.14119701087474823,0.11014245599508285,0.16834234446287155,0.16024509095586836,0.1636793538928032,0.12349383756518365,0.19151771217584612,1.1321998462080956,1.131169319152832,1.1075038671493531,1.1686835050582887,0.3200483964756131,0.319641575217247,0.3039745897054672,0.33946405351161957,0.3599657090380788,0.36072319746017456,0.32113657593727113,0.39212633967399596
teacher,0.9,v_unique_to_x,32,0.08013978926464915,0.07898532599210739,0.06584755033254623,0.09381260499358178,0.5168915763497353,0.5169693827629089,0.3998885482549667,0.6260469019412994,0.5160556845366955,0.5116960108280182,0.40667795538902285,0.6230714082717895,0.6031078277155757,0.5872604548931122,0.4701839089393616,0.751995974779129,1.166181743144989,1.1694533228874207,1.1338669180870056,1.196130883693695,0.34032784309238195,0.339455246925354,0.3238172322511673,0.35910195708274845,0.3193986024707556,0.3211216628551483,0.2818827390670776,0.3523837149143219
