source,time,observations,field_rms_mean,field_rms_std,field_rms_q05,field_rms_median,field_rms_q95,field_rms_min,field_rms_max,jvp_rms_mean,jvp_rms_std,jvp_rms_q05,jvp_rms_median,jvp_rms_q95,jvp_rms_min,jvp_rms_max,vjp_rms_mean,vjp_rms_std,vjp_rms_q05,vjp_rms_median,vjp_rms_q95,vjp_rms_min,vjp_rms_max,antisymmetric_rms_mean,antisymmetric_rms_std,antisymmetric_rms_q05,antisymmetric_rms_median,antisymmetric_rms_q95,antisymmetric_rms_min,antisymmetric_rms_max,antisymmetric_over_jvp_rms_mean,antisymmetric_over_jvp_rms_std,antisymmetric_over_jvp_rms_q05,antisymmetric_over_jvp_rms_median,antisymmetric_over_jvp_rms_q95,antisymmetric_over_jvp_rms_min,antisymmetric_over_jvp_rms_max,antisymmetric_energy_fraction_mean,antisymmetric_energy_fraction_std,antisymmetric_energy_fraction_q05,antisymmetric_energy_fraction_median,antisymmetric_energy_fraction_q95,antisymmetric_energy_fraction_min,antisymmetric_energy_fraction_max,jvp_vjp_cosine_mean,jvp_vjp_cosine_std,jvp_vjp_cosine_q05,jvp_vjp_cosine_median,jvp_vjp_cosine_q95,jvp_vjp_cosine_min,jvp_vjp_cosine_max
teacher,0.1,64,0.04225649102590978,0.018271883067940604,0.022605740744620562,0.037753695622086525,0.08516982272267332,0.018497604876756668,0.08937851339578629,0.0731396820046939,0.0365914813772585,0.033530112355947495,0.06406724452972412,0.1474506542086601,0.029978569597005844,0.1666392982006073,0.07040670359856449,0.03340183522917294,0.032622022554278374,0.059614501893520355,0.13092375844717025,0.028588982298970222,0.16662387549877167,0.0878124802839011,0.04488350545165659,0.040794143453240395,0.07253124564886093,0.19661133363842945,0.03344690427184105,0.214678093791008,1.2136428765952587,0.16216174861679294,0.9798535943031311,1.2072694301605225,1.4398089349269867,0.9001514315605164,1.541141390800476,0.3780615709256381,0.09444324645881613,0.2353846125304699,0.37370702624320984,0.5461805850267409,0.21845407783985138,0.6483339071273804,0.24676606147841085,0.1917303474629247,-0.09486175216734408,0.26001307368278503,0.532851383090019,-0.31371667981147766,0.5778710842132568
teacher,0.3,64,0.08864902483765036,0.022854722132906603,0.055565718375146386,0.08320971578359604,0.1305436912924051,0.05409058555960655,0.14031276106834412,0.22950437781400979,0.05601468245410841,0.14124131575226784,0.22472448647022247,0.33323488533496853,0.11728553473949432,0.3618800640106201,0.22668687556870282,0.0560033206959721,0.14481569305062295,0.21709290146827698,0.328989340364933,0.11930161714553833,0.3532907962799072,0.2594040900003165,0.06433421206733649,0.16657130792737007,0.24699720740318298,0.37995116561651227,0.13788838684558868,0.42853325605392456,1.1393437692895532,0.14143853115272279,0.9243286788463593,1.151443064212799,1.316791170835495,0.6616297364234924,1.4921252727508545,0.32919806230347604,0.0634858962875592,0.22512592375278473,0.3394279032945633,0.40492605566978457,0.09122876077890396,0.46075940132141113,0.34402164816856384,0.12787604201514355,0.19028544053435326,0.32418955862522125,0.5521441340446471,0.07855084538459778,0.8291003108024597
teacher,0.5,64,0.1285045836120844,0.019741685359580995,0.10629240460693837,0.12222391366958618,0.16436137109994886,0.08484828472137451,0.17094428837299347,0.42415895499289036,0.06932282677281125,0.3319214001297951,0.41797032952308655,0.5365432351827621,0.27334412932395935,0.5803695321083069,0.42823969200253487,0.07346502897034235,0.3290308445692062,0.4258986711502075,0.5407056272029876,0.27683258056640625,0.6106239557266235,0.5018913480453193,0.0872488749143999,0.3656487807631493,0.4887661784887314,0.6546227663755415,0.33008119463920593,0.7099159955978394,1.182906759902835,0.05819965115811304,1.080219143629074,1.1874557137489319,1.2815138339996337,1.0261993408203125,1.3334922790527344,0.34638443822041154,0.027979460299004052,0.2957608476281166,0.3475319892168045,0.38860752433538437,0.27112576365470886,0.42438265681266785,0.3080060104839504,0.05679046853199048,0.22332416847348213,0.30577482283115387,0.4089504495263099,0.15254081785678864,0.4751209020614624
teacher,0.7,64,0.16687884693965316,0.016608493511815144,0.1409518338739872,0.16697412729263306,0.19312328398227688,0.14047683775424957,0.21231220662593842,0.6931224185973406,0.09411020246262161,0.5722113668918609,0.6889358460903168,0.8603117078542709,0.49720895290374756,0.9362090826034546,0.6900230562314391,0.09075175589067805,0.5531005561351776,0.6876490116119385,0.8530491352081297,0.5008607506752014,0.919942319393158,0.7991570606827736,0.10856259285403691,0.6360826224088669,0.8006103038787842,1.0014228105545042,0.5860870480537415,1.0503308773040771,1.1534909848123789,0.03418488106986361,1.094844925403595,1.1586747765541077,1.1960913717746735,1.0463753938674927,1.2274417877197266,0.3340586298145354,0.01761767288555274,0.3039734050631523,0.3368179351091385,0.3589374989271164,0.28808900713920593,0.37284865975379944,0.33195615420117974,0.035258383886401005,0.28214605897665024,0.32642172276973724,0.3921001717448234,0.254315584897995,0.4244067966938019
teacher,0.9,64,0.16985436948016286,0.02130898933339393,0.13487034365534784,0.16709956526756287,0.20141301080584526,0.13413117825984955,0.21594347059726715,1.0504045858979225,0.16929380616391043,0.7680214136838913,1.0277806520462036,1.2997669994831085,0.7139465808868408,1.3823301792144775,1.0531247174367309,0.17016287458477386,0.7705695271492005,1.0391212105751038,1.2995307624340058,0.7041281461715698,1.3661953210830688,1.1773716555908322,0.19869965677079443,0.8535594463348388,1.167951762676239,1.5111980497837063,0.7781054973602295,1.5911006927490234,1.1197630986571312,0.024086495832076588,1.0781222224235534,1.1198429465293884,1.1602101385593415,1.0701501369476318,1.1825273036956787,0.31273907143622637,0.012118836708774307,0.29552620053291323,0.3113584369421005,0.33544536381959916,0.28511926531791687,0.34795570373535156,0.3745736535638571,0.02425448191506172,0.3291336014866829,0.3773057907819748,0.4089660122990608,0.3040919601917267,0.4297676980495453
v400_rollout,0.1,64,0.035619550850242376,0.014694941079535442,0.02018159730359912,0.03079513181000948,0.06692938432097434,0.019201025366783142,0.08325333148241043,0.06407185771968216,0.03227283391236055,0.03151369784027338,0.04836155287921429,0.12881027460098265,0.0250721238553524,0.15642087161540985,0.06585892036673613,0.03577254341342989,0.029773263167589905,0.053312402218580246,0.1491368509829044,0.025103773921728134,0.17468036711215973,0.07971108588390052,0.0386076308808498,0.041880125738680364,0.06626953557133675,0.1650896869599819,0.03295741602778435,0.19116076827049255,1.2726311422884464,0.1943494081160639,0.9713672876358033,1.267902672290802,1.5331059336662292,0.6691797971725464,1.8499969244003296,0.3885187655687332,0.07701527833514367,0.2914207264780998,0.39346589148044586,0.5037149176001549,0.1269855499267578,0.5478063225746155,0.22746383444973617,0.15659784266098284,-0.0077396449982188595,0.21397898346185684,0.43779830038547507,-0.09561345726251602,0.7528493404388428
v400_rollout,0.3,64,0.0779895962914452,0.024013089207868495,0.05209731925278902,0.07364749535918236,0.12551616989076134,0.04900456592440605,0.1376258283853531,0.2042083052219823,0.06060901193318659,0.13308494985103608,0.18964381515979767,0.31244410723447796,0.11833306401968002,0.3924294114112854,0.20635449688415974,0.06128525177600075,0.1276822343468666,0.19573645293712616,0.3264557078480719,0.12050259858369827,0.34904834628105164,0.2364755014423281,0.06936952673363682,0.15950607731938363,0.21960600465536118,0.36458952426910385,0.12677797675132751,0.433370441198349,1.166547853499651,0.13393401472507285,0.9705069899559021,1.162297248840332,1.3924284517765044,0.9158720374107361,1.5634806156158447,0.33563231700100005,0.05754228914648052,0.24077158346772193,0.3333097994327545,0.43267185389995566,0.23854903876781464,0.4855187237262726,0.3306898975861259,0.11525442318277951,0.13475174456834793,0.3363611549139023,0.5186834841966629,0.02903599664568901,0.5278438329696655
v400_rollout,0.5,64,0.12087825825437903,0.02266244854046403,0.0843423966318369,0.1184644028544426,0.17079508602619162,0.0751381367444992,0.17591238021850586,0.4252564902417362,0.08433495007081594,0.2921558991074562,0.4161870628595352,0.5925106495618819,0.274830162525177,0.6038805246353149,0.42334990995004773,0.08418713245165871,0.3041634619235992,0.409524604678154,0.5967211723327634,0.28063562512397766,0.6487703919410706,0.4948841789737344,0.10801488260169945,0.33531421422958374,0.47606322169303894,0.707352128624916,0.3158486485481262,0.7878807783126831,1.1624625008553267,0.0749490527248372,1.0634336054325104,1.1627797484397888,1.282123303413391,0.9434829354286194,1.3700939416885376,0.338586957892403,0.03114492861643228,0.2928606435656548,0.33774590492248535,0.3840713784098625,0.2474588304758072,0.4188781678676605,0.32350413780659437,0.06272295680978811,0.23213483840227128,0.3245144635438919,0.4174878537654875,0.1631878763437271,0.5051409006118774
v400_rollout,0.7,64,0.15748091880232096,0.023106649280525048,0.12374189607799053,0.15338502824306488,0.20145646780729284,0.11646001785993576,0.22793060541152954,0.6973030744120479,0.11584928629787095,0.5432378262281418,0.6787373125553131,0.8962130069732663,0.5058333873748779,1.0115597248077393,0.7008210951462388,0.11162586560521973,0.5399155706167221,0.6824006140232086,0.9366405010223383,0.5213429927825928,1.0075719356536865,0.8081553094089031,0.14237582546576863,0.6151280730962754,0.7691953778266907,1.1123849123716347,0.5845391154289246,1.2158368825912476,1.1578482128679752,0.0344263765182201,1.115951019525528,1.1547677516937256,1.2142773926258086,1.0882586240768433,1.2524914741516113,0.3330844365991652,0.016874832749775408,0.31353438198566436,0.329204261302948,0.363752019405365,0.2969599962234497,0.374675989151001,0.3340107868425548,0.03382977627649651,0.27250018417835237,0.3417136073112488,0.3729606717824936,0.25084781646728516,0.40884414315223694
v400_rollout,0.9,64,0.15075661451555789,0.021145700171628028,0.11266830228269101,0.1507776826620102,0.191882075369358,0.10693152248859406,0.1935521960258484,0.9672678653150797,0.16183100395278727,0.7012247204780578,0.9752180576324463,1.1710071206092834,0.6607759594917297,1.318742275238037,0.9670865731313825,0.15955823758456972,0.7045925199985504,0.9753127992153168,1.167781776189804,0.6658849716186523,1.2861802577972412,1.0759932398796082,0.1834873835908498,0.7870289295911789,1.076180338859558,1.3186268508434296,0.7328624129295349,1.4481356143951416,1.1120478920638561,0.017680045515860103,1.0881291389465333,1.1101152896881104,1.1420831620693206,1.0656852722167969,1.147412657737732,0.30910650081932545,0.009570955337793112,0.292833611369133,0.3090517222881317,0.3231666773557663,0.2910412549972534,0.33316850662231445,0.3818614287301898,0.019146482715150178,0.3537376672029495,0.38204631209373474,0.4144871026277542,0.33373579382896423,0.41796737909317017
