step,model,elapsed_seconds,velocity,total,clean,epsilon,gate,gate_mean,consistency
1,B0_v,0.46102419355884194,1.9976285696029663,1.9976285696029663,,,,,
1,B1_x,0.46102419355884194,,1.0059399604797363,1.0059399604797363,,,,
1,B2_eps,0.46102419355884194,,0.9735493063926697,,0.9735493063926697,,,
1,D0_xeps,0.46102419355884194,,1.9794893264770508,1.0059399604797363,0.9735493063926697,,,
1,D1_scaled,0.46102419355884194,,2.146433115005493,1.0059399604797363,0.9735493063926697,0.1669437736272812,0.5,
1,D2_velocity,0.46102419355884194,,473.0692138671875,1.0059399604797363,0.9735493063926697,471.0897216796875,0.5,
1,D4_safe,0.46102419355884194,,3.9771180152893066,1.0059399604797363,0.9735493063926697,1.9976286888122559,0.5052605867385864,
1,S0_xv,0.46102419355884194,1.9976285696029663,3.003568649291992,1.0059399604797363,,,,0.6691499948501587
1,S1_xv,0.46102419355884194,1.9976285696029663,3.070483684539795,1.0059399604797363,,,,0.6691499948501587
500,B0_v,39.0956549718976,1.791275143623352,1.791275143623352,,,,,
500,B1_x,39.0956549718976,,0.495502233505249,0.495502233505249,,,,
500,B2_eps,39.0956549718976,,0.5199809074401855,,0.5199809074401855,,,
500,D0_xeps,39.0956549718976,,1.2360608577728271,0.6135363578796387,0.6225244402885437,,,
500,D1_scaled,39.0956549718976,,1.3155821561813354,0.613283634185791,0.6207205057144165,0.08157804608345032,0.5337536334991455,
500,D2_velocity,39.0956549718976,,3.6164391040802,1.0196692943572998,1.018385648727417,1.5783841609954834,0.48679786920547485,
500,D4_safe,39.0956549718976,,2.567911148071289,0.49090975522994995,0.5155662298202515,1.5614352226257324,0.4768783450126648,
500,S0_xv,39.0956549718976,1.7477487325668335,2.2481627464294434,0.5004140138626099,,,,0.10660684108734131
500,S1_xv,39.0956549718976,1.7418838739395142,2.2534594535827637,0.5029957890510559,,,,0.08579644560813904
1000,B0_v,77.8619435527362,1.5463001728057861,1.5463001728057861,,,,,
1000,B1_x,77.8619435527362,,0.49280211329460144,0.49280211329460144,,,,
1000,B2_eps,77.8619435527362,,0.48545682430267334,,0.48545682430267334,,,
1000,D0_xeps,77.8619435527362,,0.9669393301010132,0.4898451864719391,0.4770941436290741,,,
1000,D1_scaled,77.8619435527362,,1.0235456228256226,0.4897281527519226,0.47614777088165283,0.05766966938972473,0.5244579315185547,
1000,D2_velocity,77.8619435527362,,2.7799735069274902,0.62961345911026,0.5884265899658203,1.5619336366653442,0.5091891288757324,
1000,D4_safe,77.8619435527362,,2.477433681488037,0.48949146270751953,0.4735296368598938,1.5144126415252686,0.49528348445892334,
1000,S0_xv,77.8619435527362,1.5409777164459229,2.0371878147125244,0.49621009826660156,,,,0.004786564968526363
1000,S1_xv,77.8619435527362,1.5421500205993652,2.038778781890869,0.49616438150405884,,,,0.004644093103706837
1500,B0_v,115.51345790969208,1.578605055809021,1.578605055809021,,,,,
1500,B1_x,115.51345790969208,,0.5043108463287354,0.5043108463287354,,,,
1500,B2_eps,115.51345790969208,,0.508836030960083,,0.508836030960083,,,
1500,D0_xeps,115.51345790969208,,1.0084483623504639,0.5043567419052124,0.5040916204452515,,,
1500,D1_scaled,115.51345790969208,,1.0659241676330566,0.5041853785514832,0.5040879249572754,0.05765077471733093,0.5561840534210205,
1500,D2_velocity,115.51345790969208,,2.598292350769043,0.5070964097976685,0.5118293762207031,1.579366683959961,0.5334876775741577,
1500,D4_safe,115.51345790969208,,2.5758867263793945,0.5044317245483398,0.5034760236740112,1.5679789781570435,0.5166352987289429,
1500,S0_xv,115.51345790969208,1.5727460384368896,2.082735538482666,0.5099895596504211,,,,0.006646564695984125
1500,S1_xv,115.51345790969208,1.5731052160263062,2.0824203491210938,0.5087815523147583,,,,0.005335140973329544
2000,B0_v,151.94566578092054,1.6135475635528564,1.6135475635528564,,,,,
2000,B1_x,151.94566578092054,,0.5149097442626953,0.5149097442626953,,,,
2000,B2_eps,151.94566578092054,,0.5011528134346008,,0.5011528134346008,,,
2000,D0_xeps,151.94566578092054,,1.0106620788574219,0.5152006149291992,0.49546149373054504,,,
2000,D1_scaled,151.94566578092054,,1.0711219310760498,0.515102207660675,0.4952692985534668,0.06075048819184303,0.5684379935264587,
2000,D2_velocity,151.94566578092054,,2.6269373893737793,0.5168251991271973,0.5032005906105042,1.6069116592407227,0.5401424169540405,
2000,D4_safe,151.94566578092054,,2.5969133377075195,0.5148698091506958,0.49330633878707886,1.5887371301651,0.5454790592193604,
2000,S0_xv,151.94566578092054,1.6036174297332764,2.1203436851501465,0.5167262554168701,,,,0.007090588100254536
2000,S1_xv,151.94566578092054,1.6052709817886353,2.121868371963501,0.516016960144043,,,,0.005806216970086098
2500,B0_v,184.42447967268527,1.5112208127975464,1.5112208127975464,,,,,
2500,B1_x,184.42447967268527,,0.4881426692008972,0.4881426692008972,,,,
2500,B2_eps,184.42447967268527,,0.4727385938167572,,0.4727385938167572,,,
2500,D0_xeps,184.42447967268527,,0.9566628932952881,0.48779407143592834,0.46886879205703735,,,
