case,t,x,score_exact,pde_residual_exact
reference,1/100,-2,10000/4901,0
reference,1/100,-1,5000/4901,0
reference,1/100,0,0,0
reference,1/100,1,-5000/4901,0
reference,1/100,2,-10000/4901,0
reference,1/4,-2,16/5,0
reference,1/4,-1,8/5,0
reference,1/4,0,0,0
reference,1/4,1,-8/5,0
reference,1/4,2,-16/5,0
reference,1/2,-2,4,0
reference,1/2,-1,2,0
reference,1/2,0,0,0
reference,1/2,1,-2,0
reference,1/2,2,-4,0
reference,3/4,-2,16/5,0
reference,3/4,-1,8/5,0
reference,3/4,0,0,0
reference,3/4,1,-8/5,0
reference,3/4,2,-16/5,0
reference,99/100,-2,10000/4901,0
reference,99/100,-1,5000/4901,0
reference,99/100,0,0,0
reference,99/100,1,-5000/4901,0
reference,99/100,2,-10000/4901,0
wrong_mean,1/100,-2,1150/377,0
wrong_mean,1/100,-1,9950/4901,0
wrong_mean,1/100,0,4950/4901,0
wrong_mean,1/100,1,-50/4901,0
wrong_mean,1/100,2,-5050/4901,0
wrong_mean,1/4,-2,22/5,0
wrong_mean,1/4,-1,14/5,0
wrong_mean,1/4,0,6/5,0
wrong_mean,1/4,1,-2/5,0
wrong_mean,1/4,2,-2,0
wrong_mean,1/2,-2,5,0
wrong_mean,1/2,-1,3,0
wrong_mean,1/2,0,1,0
wrong_mean,1/2,1,-1,0
wrong_mean,1/2,2,-3,0
wrong_mean,3/4,-2,18/5,0
wrong_mean,3/4,-1,2,0
wrong_mean,3/4,0,2/5,0
wrong_mean,3/4,1,-6/5,0
wrong_mean,3/4,2,-14/5,0
wrong_mean,99/100,-2,10050/4901,0
wrong_mean,99/100,-1,5050/4901,0
wrong_mean,99/100,0,50/4901,0
wrong_mean,99/100,1,-4950/4901,0
wrong_mean,99/100,2,-9950/4901,0
wrong_variance,1/100,-2,4000/7841,0
wrong_variance,1/100,-1,2000/7841,0
wrong_variance,1/100,0,0,0
wrong_variance,1/100,1,-2000/7841,0
wrong_variance,1/100,2,-4000/7841,0
wrong_variance,1/4,-2,32/37,0
wrong_variance,1/4,-1,16/37,0
wrong_variance,1/4,0,0,0
wrong_variance,1/4,1,-16/37,0
wrong_variance,1/4,2,-32/37,0
wrong_variance,1/2,-2,8/5,0
wrong_variance,1/2,-1,4/5,0
wrong_variance,1/2,0,0,0
wrong_variance,1/2,1,-4/5,0
wrong_variance,1/2,2,-8/5,0
wrong_variance,3/4,-2,32/13,0
wrong_variance,3/4,-1,16/13,0
wrong_variance,3/4,0,0,0
wrong_variance,3/4,1,-16/13,0
wrong_variance,3/4,2,-32/13,0
wrong_variance,99/100,-2,4000/1961,0
wrong_variance,99/100,-1,2000/1961,0
wrong_variance,99/100,0,0,0
wrong_variance,99/100,1,-2000/1961,0
wrong_variance,99/100,2,-4000/1961,0
