step,time,band,rollout_full_power,target_teacher_power,log_power_mismatch,rollout_state_power,target_teacher_state_power,log_state_power_mismatch,gap_power_derivative,spectral_defect_alignment,gap_power
0,1.0,0,0.19520261640718672,0.1941291702605667,0.0055143140296260995,0.08201552920218091,0.082005466800183,0.00012269651149265925,0.018565310180974848,-0.00010237495039530986,0.0071285878811977454
0,1.0,1,0.0005678779061497607,0.0006530201890342,-0.13970160450207203,0.2968900284031406,0.2967365934455301,0.00051694097057009,0.00036010461747082445,5.030719284927906e-05,0.0002889083479544752
0,1.0,2,0.0002513421292178464,0.000289319621828,-0.14071695925845518,0.6211690448690206,0.6211232473724522,7.373062986087975e-05,0.00020550095393900847,2.891746936300913e-05,0.0002487434709621539
1,0.9987389445304871,0,0.20376523709273897,0.2028013016497425,0.004741842514423222,0.08181257999967784,0.0817998895217897,0.00015512849296506204,0.013155910145258076,-6.238325404271654e-05,0.006184111161473993
1,0.9987389445304871,1,0.0006298214919979728,0.0007228791920539,-0.137805682401817,0.2961462025414221,0.295988946192665,0.0005311502037681493,0.00034091483885845264,4.6980002009794547e-05,0.0002846327730878784
1,0.9987389445304871,2,0.00027298940659647997,0.000314049142446,-0.14011648751160166,0.6196118610678241,0.619557956175413,8.700162269126288e-05,0.00020358589287639006,2.8525740216752983e-05,0.0002504814836186142
2,0.9974554777145386,0,0.21212146764446516,0.2112960400736483,0.00389888751127776,0.08160771094844677,0.0815930242824833,0.0001799828411597204,0.009371582038568249,-3.653874417108872e-05,0.005641360146455554
2,0.9974554777145386,1,0.0007048787071539664,0.0008060752579979,-0.13415136893310908,0.29539042501710355,0.2952295232389588,0.0005448572558393039,0.00032882881521345553,4.4112835705537426e-05,0.0002890288624257664
2,0.9974554777145386,2,0.0002989562004813706,0.0003432460221688,-0.13815037987593026,0.618029469740577,0.6179674938321114,0.00010028488797975132,0.00020476917680412043,2.8288939562370767e-05,0.00025725306701929185
3,0.996148943901062,0,0.22064776533079566,0.2201630551062408,0.0021991765965625465,0.08140102183097042,0.0813848919642623,0.00019817275813194257,0.007156042745521063,-1.5737401729951112e-05,0.005421838058737194
3,0.996148943901062,1,0.0008001695713346635,0.0009120137523694,-0.1308313999380255,0.2946223813924007,0.2944580170733388,0.0005580369801994056,0.00033059183630257394,4.325179275154831e-05,0.00030316811776742725
3,0.996148943901062,2,0.0003310594955507895,0.0003790138611492,-0.13527467327536336,0.6164211850846186,0.6163511864142492,0.00011356300978665468,0.00021149448153323647,2.860984688895093e-05,0.00026954191383765647
4,0.9948186874389648,0,0.23012228852894623,0.2305352686089463,-0.0017930029986064078,0.08119263137632515,0.08117552150361,0.0002107540484388437,0.006310665881727573,1.1315042849140688e-05,0.005528510376279883
4,0.9948186874389648,1,0.0009258925445010391,0.001056477004738,-0.13193688605134657,0.29384177061729133,0.2936741241137497,0.0005706960768048219,0.00035094650365863345,4.6302788863327605e-05,0.0003294452912427914
4,0.9948186874389648,2,0.00037177049219394576,0.000425363338806,-0.13466701112121804,0.614786337246187,0.614708376408089,0.0001268176875211524,0.00022549606615029916,3.0366881248053257e-05,0.00028827541390796796
