step,time,band,rollout_full_power,target_teacher_power,log_power_mismatch,rollout_state_power,target_teacher_state_power,log_state_power_mismatch,gap_power_derivative,spectral_defect_alignment,gap_power
0,1.0,0,0.19512197330914205,0.1941291702605667,0.005101103582133115,0.0820520797278732,0.082005466800183,0.0005682509574351791,0.01920252408797296,-9.79540644111563e-05,0.007029285703538335
0,1.0,1,0.0005639343089285376,0.0006530201890342,-0.14667027497209162,0.29675512411631644,0.2967365934455301,6.244626586693336e-05,0.00035769052419709624,5.246256753889969e-05,0.00028741834466927685
0,1.0,2,0.0002511554617257161,0.000289319621828,-0.1414599180470386,0.6211006786907092,0.6211232473724522,-3.6335931504760666e-05,0.00020586067206807002,2.9121033799857476e-05,0.00024826122125887196
1,0.9987389445304871,0,0.20331302110571414,0.2028013016497425,0.0025200772202178534,0.08184961542428937,0.0817998895217897,0.0006077122450989236,0.013613230083649341,-3.430639102738909e-05,0.0060790328839175345
1,0.9987389445304871,1,0.0006236558301679906,0.0007228791920539,-0.14764345361287656,0.2960114909801632,0.295988946192665,7.616476642069436e-05,0.0003381141776515051,4.9920344903945895e-05,0.0002831341010107735
1,0.9987389445304871,2,0.0002722114300013345,0.000314049142446,-0.14297039774416476,0.6195434055989608,0.619557956175413,-2.3485691972746636e-05,0.0002037914929502449,2.9136150803973662e-05,0.00024992077482011155
2,0.9974554777145386,0,0.2112786182697164,0.2112960400736483,-8.245550743657404e-05,0.08164507769106422,0.0815930242824833,0.0006377605438427913,0.009792961968457803,8.074836484162591e-07,0.0055450046975238365
2,0.9974554777145386,1,0.0006965125145370621,0.0008060752579979,-0.14609134954627123,0.2952558624674566,0.2952295232389588,8.921212667711842e-05,0.0003262552123715068,4.766306427185875e-05,0.00028763280369048516
2,0.9974554777145386,2,0.00029760485230667655,0.0003432460221688,-0.14268084823206006,0.6179608484962955,0.6179674938321114,-1.0753594020529444e-05,0.00020506277979848164,2.9258531362471513e-05,0.0002566884508041767
3,0.996148943901062,0,0.2196108536736574,0.2201630551062408,-0.002511298245617688,0.08143857945105992,0.0813848919642623,0.0006594563827513333,0.007869906573091612,1.9763682570180075e-05,0.005360316757560213
3,0.996148943901062,1,0.0007911598880809834,0.0009120137523694,-0.14215498786177783,0.29448792844777927,0.2944580170733388,0.00010157595851945089,0.00033032496398277544,4.695734124541364e-05,0.00030257061578709
3,0.996148943901062,2,0.00032949936772297406,0.0003790138611492,-0.13999834232437536,0.6163523279828951,0.6163511864142492,1.852138218960686e-06,0.0002124946424260088,2.9748897692452115e-05,0.0002691676088204531
4,0.9948186874389648,0,0.22921764153579716,0.2305352686089463,-0.005731907951425752,0.08123025188979227,0.08117552150361,0.0006739955989321089,0.007502005013776625,4.3000802190102093e-05,0.00552278913801274
4,0.9948186874389648,1,0.0009205127718701078,0.001056477004738,-0.13776419580492671,0.293707387521863,0.2936741241137497,0.00011325997665889709,0.000358044573019356,4.932572266432994e-05,0.00033139189190478646
4,0.9948186874389648,2,0.0003710340092482056,0.000425363338806,-0.13664999099181419,0.6147171850316226,0.614708376408089,1.4329657378409077e-05,0.00022856900696410776,3.123395274265324e-05,0.0002886360888112449
5,0.9934640526771545,0,0.24063353471865412,0.2429269055064651,-0.009485424332440706,0.08102023361425381,0.0809649481598171,0.0006825989387162501,0.008477729963260572,8.041486607737348e-05,0.006033748127265426
5,0.9934640526771545,1,0.0010995606298820348,0.0012550768779817,-0.13228615543153577,0.2929139453335665,0.2928775502368808,0.0001242595599553198,0.00041740032181536435,5.521628384884034e-05,0.0003779081627044434
5,0.9934640526771545,2,0.000425069706125214,0.0004860335016019,-0.13402438497415137,0.6130547598004341,0.613038404728286,2.667835140474084e-05,0.0002541431911140535,3.406138488442923e-05,0.00031553526409311417
6,0.9920844435691833,0,0.25362329598283395,0.2571642090078967,-0.013864746937290562,0.08080865048395935,0.0807532250328222,0.0006861204493224804,0.010404352322666455,0.00014425371200018166,0.006879787295929418
6,0.9920844435691833,1,0.0013417502169090767,0.0015184323434311,-0.12370355590574711,0.29210734588559717,0.2920680356328375,0.00013458373653740807,0.0005189605022053456,6.419725949743357e-05,0.000446826022738378
6,0.9920844435691833,2,0.0004938294314342784,0.0005634124587743,-0.13182179168070451,0.6113644780125469,0.6113406990771182,3.889561584802248e-05,0.0002901430867439103,3.8247181538352325e-05,0.00035009221019777215
7,0.9906790852546692,0,0.2677302103693364,0.27260532775108,-0.01804526753520519,0.08059557438537013,0.080540385126369,0.0006850024206435101,0.012915500738330365,0.0002330636661743116,0.00799336807904183
7,0.9906790852546692,1,0.0016597755911789136,0.0018517050917807,-0.10942447865171534,0.2912872325978242,0.2912452218588441,0.00014423484470782455,0.0006763802015044007,7.401255091996122e-05,0.0005441543360973355
7,0.9906790852546692,2,0.0005792893845182334,0.0006572293694091,-0.12623092059376795,0.6096455595688894,0.6096144811599515,5.0979131450967774e-05,0.000338509476975446,4.273036290832544e-05,0.0003928161868884672
8,0.9892473220825195,0,0.28236243265564553,0.2889257894021284,-0.022978403131892033,0.08038108395703603,0.0803264882633811,0.0006794414849391472,0.015451297509684991,0.00035504614308834117,0.009161123461581155
8,0.9892473220825195,1,0.002057427279851254,0.0022703353636472,-0.09847124886247904,0.29045332374516875,0.290408828004729,0.0001532058523445734,0.0008875806173911371,8.740117186063546e-05,0.0006691933719480403
8,0.9892473220825195,2,0.0006822027198154501,0.0007698175185026,-0.12082664099711327,0.6078973655821756,0.6078591169789433,6.292148763914485e-05,0.00039919232531815396,4.8233067780019435e-05,0.0004433970593424874
9,0.9877883195877075,0,0.297305760497693,0.305671578295005,-0.027750146176448665,0.08016522457182873,0.0801115770082105,0.0006694364386219398,0.01810815142420097,0.000502503849006844,0.010384619853539334
9,0.9877883195877075,1,0.0025416076680357946,0.0027977837681305,-0.09603077140880156,0.2896052398136817,0.2895584724610671,0.00016149959579681017,0.0011547287217705815,0.00011088948991952833,0.000822739240845749
9,0.9877883195877075,2,0.0008042939247729919,0.0009049303188533,-0.117893164545948,0.6061190572800115,0.6060737765510567,7.470878842408268e-05,0.0004738254374956341,5.586078026872859e-05,0.0005025058296723728
10,0.9863013625144958,0,0.31237549635989126,0.3224267833211343,-0.03167010385826474,0.07994806506030727,0.079895720751665,0.000654943327917934,0.021016704308863154,0.0006656012082201363,0.011714092733200232
10,0.9863013625144958,1,0.003130355348844205,0.0034432214008575,-0.09526095883350383,0.28874267579521984,0.2886938516749069,0.00016910644930345775,0.0014988248684701944,0.00014277949409397097,0.0010151764982424538
10,0.9863013625144958,2,0.0009486227216939369,0.0010653821813377,-0.11607770345821411,0.6043099497910589,0.6042577754706144,8.634074762436938e-05,0.0005658372680557022,6.568109060697582e-05,0.0005719290004435607
11,0.9847856163978577,0,0.32713774994772393,0.338755247201334,-0.03489652610957683,0.07972966630768497,0.0796789819141849,0.0006359052130906484,0.023949867817520953,0.0008357671876150338,0.013104120625939686
11,0.9847856163978577,1,0.0038369634652326567,0.0042159109169688,-0.09418439174626592,0.28786526358453557,0.28781459594029,0.00017602715654563283,0.0019320527087316464,0.0001819692091936156,0.0012538618464077445
11,0.9847856163978577,2,0.0011182116314216728,0.001256237789363,-0.11639072139636664,0.6024692150531337,0.6024103027302772,9.778956656480986e-05,0.0006778466461128119,7.889506013717781e-05,0.0006532113087018843
12,0.9832402467727661,0,0.34111843587015755,0.3544234855435206,-0.03826274874946045,0.07951008713280316,0.0794614337282837,0.000612102164903483,0.026505828476274473,0.0010141858553839843,0.014415735906368354
12,0.9832402467727661,1,0.004652797890344118,0.0051179274742594,-0.09528083141755062,0.28697264078073204,0.2869203450391069,0.00018224910588560128,0.0024333759010986,0.00023185407900810603,0.0015324903528721734
12,0.9832402467727661,2,0.001314565162317649,0.0014818212117688,-0.11976594386313888,0.6005960387410596,0.6005305556464009,0.00010903612496737658,0.0008099224138504724,9.700112235071361e-05,0.0007468029024835232
13,0.9816642999649048,0,0.354130679712398,0.3693085050908848,-0.04196635515231251,0.07928937024553306,0.0792431439767824,0.0005831771518614026,0.028619607317409645,0.001201060605002135,0.015599994715557841
13,0.9816642999649048,1,0.005571760113980417,0.0061524873925691,-0.09914545118386542,0.2860643810709007,0.2860106763837393,0.00018775399003811977,0.0029909525624951527,0.00029653934127812036,0.0018460246554923287
13,0.9816642999649048,2,0.0015398983916838915,0.001744692516894,-0.12486189722149899,0.5986894719535485,0.5986175998114049,0.00012005632293465851,0.000963711389999844,0.00012033083252934845,0.0008534505789725699
14,0.9800570011138916,0,0.3662992635217961,0.3831714944317355,-0.04503199590836393,0.07906759396428242,0.0790242170332931,0.0005487562170887195,0.030536655248681654,0.0013751265342137522,0.016688676607373054
