step,time,band,teacher_full_power,teacher_clean_power,teacher_state_power,teacher_gap_cross,teacher_gap_power,gamma_tf_global,gamma_tf_sample_median,gamma_tf_sample_q10,gamma_tf_sample_q90,mse_full,mse_base
0,1.0,0,0.19412917026056675,0.642377386597218,0.08200546680018306,0.009375205447902601,0.007512067804327671,-0.13254386803060386,-0.13676160228977946,-1.072644918314357,0.7422085491613852,0.44176997552858666,0.44729068552260287
0,1.0,1,0.0006530201890342369,0.1659245392656885,0.29673659344553016,0.00020013172252930644,0.0003088532354382778,-0.20816009842672228,-0.24610791646369207,-0.7202911555936953,0.3310411670197442,0.1654024079834926,0.16558267969230656
0,1.0,2,0.0002893196218280991,0.1889284618300735,0.6211232473724522,0.00011405775885009461,0.00026405374008220406,-0.2509051643699447,-0.26534811458093166,-0.49713763087434526,-0.024318260248897886,0.18884039058320923,0.18897193900193088
1,0.9987389445304871,0,0.20280130164974253,0.642377386597218,0.08179988952178974,0.0069838770373564785,0.006566135310777099,-0.19255564640011807,-0.21191068750461073,-1.1596983728715773,0.744784284932716,0.43688037240644917,0.44091781513998285
1,0.9987389445304871,1,0.0007228791920539379,0.1659245392656885,0.295988946192665,0.00018920012964329658,0.0003050488177080979,-0.2260561627338872,-0.2637861916991836,-0.7344384717528054,0.2902562496166882,0.1653477768995799,0.1655149096113746
1,0.9987389445304871,2,0.0003140491424460379,0.1889284618300735,0.619557956175413,0.0001127355521717277,0.00026672681858030955,-0.2616853774870122,-0.27729969743943095,-0.4944913009176917,-0.03536775939660994,0.18882758379913867,0.18895471312862355
2,0.9974554777145386,0,0.21129604007364833,0.642377386597218,0.08159302428248338,0.005300145355420227,0.0060194856557700405,-0.2262332202257951,-0.25054364974844956,-1.1931034024122502,0.7765183903667091,0.43042283730756026,0.4337187077617273
2,0.9974554777145386,1,0.000806075257997918,0.1659245392656885,0.2952295232389588,0.00018229537177560928,0.00031061152093059263,-0.2372521172429378,-0.27569670181294814,-0.7390375117562015,0.2959675521688149,0.16527723976469133,0.165440464807034
2,0.9974554777145386,2,0.0003432460221688416,0.1889284618300735,0.6179674938321114,0.00011335955170110878,0.00027484828757451396,-0.27115353996773756,-0.2865895700454256,-0.5005031167705689,-0.035953437678768914,0.18881202094780747,0.18893781713268254
3,0.996148943901062,0,0.2201630551062408,0.642377386597218,0.08138489196426235,0.004408318665610977,0.00584468542160721,-0.22804170998285486,-0.21629417985331295,-1.2824805561058283,0.7824659460152993,0.42175187508109957,0.42493089695926756
3,0.996148943901062,1,0.0009120137523694893,0.1659245392656885,0.29445801707333885,0.00018428015438054501,0.0003277266454801975,-0.24043863857635367,-0.2827489359179021,-0.760091646914468,0.28209094702840903,0.16518232429370983,0.1653524545035907
3,0.996148943901062,2,0.0003790138611492466,0.1889284618300735,0.6163511864142492,0.00011729454993414379,0.00028910117589475703,-0.2779846906229423,-0.2908213721291988,-0.5008156596712675,-0.050961481359758365,0.18879100761114387,0.1889193778115441
4,0.9948186874389648,0,0.23053526860894635,0.642377386597218,0.08117552150361007,0.004268698207553712,0.00605377088095338,-0.21540752454349973,-0.17279577424569253,-1.3177111400264487,0.8020192475953332,0.41093857793021016,0.4143842934136046
4,0.9948186874389648,1,0.001056477004738099,0.1659245392656885,0.2936741241137497,0.00020040087093953218,0.0003605490507823106,-0.23995008122220124,-0.2813764725265839,-0.789285823835462,0.27144982909933096,0.16505659325775923,0.16524411518184934
4,0.9948186874389648,2,0.0004253633388060507,0.1889284618300735,0.614708376408089,0.00012613665897731607,0.0003111121169609987,-0.28315650551676813,-0.29941852939469554,-0.5111702870217242,-0.056875746071325374,0.18876314109365921,0.18889806691004196
5,0.9934640526771545,0,0.24292690550646512,0.642377386597218,0.08096494815981714,0.004795950904266988,0.0066674543711542356,-0.19088152937882535,-0.1638746501132198,-1.3047168711154387,0.7949149811377495,0.3983900735183852,0.4025121407903498
