requested_time,actual_time,epsilon,samples,gap_rms_mean,gap_rms_std,gap_rms_min,action_rms_mean,action_rms_std,action_rms_min,rayleigh_mean,rayleigh_std,rayleigh_min,action_gap_cosine_mean,action_gap_cosine_std,action_gap_cosine_min,orthogonal_rms_mean,orthogonal_rms_std,orthogonal_rms_min,positive_rayleigh_mean,positive_rayleigh_std,positive_rayleigh_min,matched_total_rms_over_gap_mean,matched_total_rms_over_gap_std,matched_total_rms_over_gap_min,matched_orthogonal_rms_over_gap_mean,matched_orthogonal_rms_over_gap_std,matched_orthogonal_rms_over_gap_min
0.95,0.9491525292396545,0.01,16,0.18760981410741806,0.025247192675668977,0.1541326344013214,9.753727346658707,2.3207676406507574,4.512758731842041,5.521122306585312,1.547495100213332,2.058501720428467,0.5595398917794228,0.0531311952647324,0.4561515152454376,8.019454836845398,1.8253685091926337,4.015913486480713,1.0,0.0,1.0,1.8042637929320335,0.1807725069447378,1.5482856035232544,1.4972221180796623,0.21534245403083951,1.1820272207260132
0.95,0.9491525292396545,0.003,16,0.18760981410741806,0.025247192675668977,0.1541326344013214,11.17098355293274,3.409725984461214,4.59280252456665,5.662657260894775,1.7388029357339678,2.047590732574463,0.5055152345448732,0.0322204715180018,0.44582599401474,9.62173643708229,2.958067435253052,4.11110782623291,1.0,0.0,1.0,1.9864243865013123,0.1296495599983625,1.800342321395874,1.7147346585988998,0.14958473057188074,1.4970747232437134
0.8,0.7975830435752869,0.01,16,0.19323020055890083,0.014205470587134837,0.17031198740005493,2.0788706466555595,0.33257518503479006,1.5856043100357056,1.036172442138195,0.17816648229090135,0.7826789617538452,0.4979591928422451,0.025682213011057182,0.4534721374511719,1.80123633146286,0.2871589264973852,1.3789687156677246,1.0,0.0,1.0,2.013503834605217,0.10307606958967666,1.8336591720581055,1.746616430580616,0.1189671654051657,1.5369794368743896
0.8,0.7975830435752869,0.003,16,0.19323020055890083,0.014205470587134837,0.17031198740005493,2.0873673856258392,0.34139538456296903,1.5847878456115723,1.0336232297122478,0.1776654516352964,0.7811514139175415,0.495004964992404,0.026139167480261568,0.4486905336380005,1.8124458938837051,0.29791163648755953,1.3788962364196777,1.0,0.0,1.0,2.025764688849449,0.10592012572128165,1.8415454626083374,1.7606941387057304,0.12205625809486115,1.546379566192627
0.65,0.6523604989051819,0.01,16,0.1831736657768488,0.01254268742632504,0.16130061447620392,1.0607037767767906,0.07150544795452753,0.9531310200691223,0.6194002591073513,0.0690179750309438,0.5196714401245117,0.5826363153755665,0.03367635373868695,0.5141245126724243,0.8599094226956367,0.04838551924218664,0.7848280668258667,1.0,0.0,1.0,1.721982941031456,0.09808223320350525,1.5120570659637451,1.4000612646341324,0.1211357564062074,1.134158968925476
0.65,0.6523604989051819,0.003,16,0.1831736657768488,0.01254268742632504,0.16130061447620392,1.0610032118856907,0.07162206880984855,0.9533261060714722,0.6193343624472618,0.06904396380789463,0.5193784832954407,0.5824132896959782,0.03372620062709034,0.5136551260948181,0.8603226877748966,0.04858279564673219,0.785075843334198,1.0,0.0,1.0,1.7226641550660133,0.09831876940339816,1.5122473239898682,1.4008928686380386,0.12139853734052344,1.1344125270843506
0.5,0.4971751570701599,0.01,16,0.16961272526532412,0.009744960690247075,0.15167950093746185,0.8028290830552578,0.053340610356793036,0.7149622440338135,0.5732095930725336,0.06458256215694909,0.4717368185520172,0.7118986211717129,0.03373815637831537,0.6598066091537476,0.5607146322727203,0.015450281755058491,0.5337851047515869,1.0,0.0,1.0,1.407801479101181,0.06562954092396138,1.2866865396499634,0.9885890446603298,0.09436053166547759,0.8096679449081421
0.5,0.4971751570701599,0.003,16,0.16961272526532412,0.009744960690247075,0.15167950093746185,0.8028899356722832,0.053340699707782754,0.7150286436080933,0.5732192099094391,0.06458678030882822,0.47174394130706787,0.7118564061820507,0.03374523901725067,0.659755289554596,0.5607912614941597,0.015457105264252598,0.5338490605354309,1.0,0.0,1.0,1.4078865870833397,0.06564998138129179,1.2867225408554077,0.9887092858552933,0.0943849137131559,0.8097250461578369
0.4,0.41025641560554504,0.01,16,0.15769184473901987,0.007501514695469591,0.14330056309700012,0.7631551288068295,0.055129029426624496,0.6769840121269226,0.6028748005628586,0.06505454841197923,0.5081528425216675,0.7880052402615547,0.028473454738145526,0.7506127953529358,0.4665208775550127,0.010634102513409535,0.44731199741363525,1.0,0.0,1.0,1.2706684544682503,0.045444146850500904,1.1933221817016602,0.7817282304167747,0.07459493520052259,0.6511663794517517
0.4,0.41025641560554504,0.003,16,0.15769184473901987,0.007501514695469591,0.14330056309700012,0.7631912007927895,0.05513137079754857,0.6770290732383728,0.6028866991400719,0.06505927829519785,0.5081673860549927,0.7879832424223423,0.02847760852466226,0.7505843043327332,0.4665641076862812,0.010635871314402896,0.44736364483833313,1.0,0.0,1.0,1.2707045078277588,0.045453180172611136,1.1933382749557495,0.7817862741649151,0.07460650544855256,0.6511960029602051
0.3,0.29629629850387573,0.01,16,0.13637125212699175,0.0048326617574178605,0.12753452360630035,0.7786827199161053,0.05741060695584488,0.6951324939727783,0.6873744204640388,0.06400157112669981,0.5931656360626221,0.881507582962513,0.017548114917690493,0.8525639176368713,0.36468926817178726,0.008044349222208546,0.3449142277240753,1.0,0.0,1.0,1.1348688751459122,0.022542441537397113,1.1001553535461426,0.5349023602902889,0.04811475033341968,0.4586302936077118
0.3,0.29629629850387573,0.003,16,0.13637125212699175,0.0048326617574178605,0.12753452360630035,0.7787090428173542,0.05741335661000194,0.695160984992981,0.687390360981226,0.06400531672903689,0.5931711792945862,0.8814980462193489,0.017549746378949793,0.8525497913360596,0.36471519619226456,0.008043547228798412,0.34494248032569885,1.0,0.0,1.0,1.1348812282085419,0.02254507942950948,1.10015869140625,0.5349283162504435,0.04811838053898939,0.45863839983940125
0.2,0.1983470916748047,0.01,16,0.11837155232205987,0.005816174231751158,0.1097998172044754,0.8586291447281837,0.051487132416509734,0.782372772693634,0.8106588833034039,0.054875335522823615,0.7239053845405579,0.9437013491988182,0.008167719047465594,0.9252691268920898,0.28221143037080765,0.008516249708632288,0.26876816153526306,1.0,0.0,1.0,1.0597370564937592,0.009219431196084881,1.046670913696289,0.34981874749064445,0.027468276250201158,0.3090633451938629
