arm,alpha,official_scale,samples,classes,images_per_class,fid,inception_score,full_calls,extra_prefix_calls,mlp_calls,benchmark_seconds_per_batch,batch,samples_sha256
native_base,0.78,1.78,5000,1000,5,6.920778526499362,156.12792053222657,100,0,0,10.073472536168993,16,ede20bd09bf5407c418d27d8a3dfc3e45f56cf4290274f1a8400986c947b28e0
context20k_half,0.39,1.3900000000000001,5000,1000,5,7.122279418732319,156.46584777832032,100,0,99,10.136152427177876,16,6278196e63c89d5191a95bf8b7cfead3bdaf65a793cf396634694653e7f7c378
