arm,repeat,batch,seconds
native_base,1,16,10.073472536168993
native_base,2,16,10.073430529329926
native_base,3,16,10.087306652683765
context20k_half,1,16,10.104746817145497
context20k_half,2,16,10.136239783838391
context20k_half,3,16,10.136152427177876
