first_logged_step,last_logged_step,recorded_batches,mean_logged_step,context_mean,context_batch_sd
100,500,5,300.0,0.7251536846160889,0.11117346369104082
600,1000,5,800.0,0.5381297826766968,0.08373012281905702
1100,1500,5,1300.0,0.42832082509994507,0.047480237622056214
1600,2000,5,1800.0,0.40124339461326597,0.05036219392205481
2100,2500,5,2300.0,0.3437554597854614,0.010850629074196193
2600,3000,5,2800.0,0.33802900910377504,0.04005489049222162
