step,local,context
1,1.0018930435180664,1.0018930435180664
100,0.7822045087814331,0.8094164133071899
200,0.8289777040481567,0.826614260673523
300,0.7980750203132629,0.7533484697341919
400,0.7868305444717407,0.6828795671463013
500,0.6622657775878906,0.5535097122192383
600,0.8878990411758423,0.6645915508270264
700,0.7543075084686279,0.5739635229110718
800,0.6432909965515137,0.47812122106552124
900,0.7259597182273865,0.5180826187133789
1000,0.5564112663269043,0.4558899998664856
1100,0.6127058267593384,0.4390994608402252
1200,0.617307722568512,0.4549347758293152
1300,0.5666368007659912,0.386023610830307
1400,0.5194286108016968,0.37424027919769287
1500,0.6632694005966187,0.48730599880218506
1600,0.6317956447601318,0.47775301337242126
1700,0.5352863669395447,0.4206353425979614
1800,0.6482737064361572,0.3771623373031616
1900,0.5037131905555725,0.3458826541900635
2000,0.6762615442276001,0.38478362560272217
2100,0.539322018623352,0.357137531042099
2200,0.5121054649353027,0.33469828963279724
2300,0.5188425779342651,0.33522406220436096
2400,0.5378503799438477,0.33785244822502136
2500,0.609594464302063,0.35386496782302856
2600,0.7424361705780029,0.39997148513793945
2700,0.4689382314682007,0.30079877376556396
2800,0.6324783563613892,0.3498998284339905
2900,0.5818592309951782,0.3058713376522064
3000,0.4878808856010437,0.3336036205291748
