index, uuid, name, driver_version, memory.total [MiB], utilization.gpu [%], memory.used [MiB], temperature.gpu, power.draw [W]
0, GPU-9788ab52-30a0-cb65-0d18-3069b199620e, NVIDIA GeForce RTX 4090, 580.159.03, 24564 MiB, 0 %, 40 MiB, 44, 23.24 W
1, GPU-b247e08a-7e70-2142-8e39-391d0732bafc, NVIDIA GeForce RTX 4090, 580.159.03, 24564 MiB, 0 %, 18 MiB, 41, 20.68 W
2, GPU-b2e881de-f004-31a3-9724-18a26885fa51, NVIDIA GeForce RTX 4090, 580.159.03, 24564 MiB, 0 %, 18 MiB, 43, 29.96 W
3, GPU-7d3e4e7d-abfa-e06e-c264-796052797949, NVIDIA GeForce RTX 4090, 580.159.03, 24564 MiB, 0 %, 18 MiB, 43, 22.60 W
