requested_time,actual_time,horizon,future_time,revision_to_depth_rms,revision_depth_cosine,revision_parallel_coefficient,revision_orthogonal_energy_fraction,additive_norm_ratio,additive_rotation_degrees,orthogonal_rotation_degrees
0.95,0.9491525292396545,0.004,0.9489591340197956,0.07839952898211777,-0.029504690413887147,-0.0023390201038182568,0.99877361766994,1.0007608700543642,4.490459382534027,4.479771465063095
0.8,0.7975830435752869,0.004,0.7969364975040514,0.09122466295957565,-0.042300949164200574,-0.0038865816495672334,0.9980902560055256,1.0002880040556192,5.227617532014847,5.207198217511177
0.6,0.6037735939025879,0.004,0.602816273635922,0.11089609353803098,-0.05118791142012924,-0.005690404257620685,0.9973404183983803,1.0004685074090958,6.3555154502391815,6.31949919462204
0.4,0.41025641560554504,0.004,0.40928897982383783,0.13724658265709877,-0.06110295688267797,-0.008408924113609828,0.9962182939052582,1.0010246466845274,7.865510255098343,7.799902006983757
0.2,0.1983470916748047,0.004,0.19771183693597294,0.23523198068141937,-0.10325778322294354,-0.024324198195245117,0.9892934113740921,1.0033775605261326,13.484681338071823,13.167414903640747
0.14,0.14035087823867798,0.004,0.13986896212719244,0.2375158411450684,-0.10282776621170342,-0.02446839743060991,0.989386860281229,1.0037802904844284,13.613254755735397,13.291096806526184
0.95,0.9491525292396545,0.008,0.9487650429388085,0.08014843484852463,-0.02861557949654525,-0.0023261713095052983,0.9987758230417967,1.0009182579815388,4.590169191360474,4.579261541366577
0.8,0.7975830435752869,0.008,0.796288413743475,0.09448601747862995,-0.041189093579305336,-0.003907119464201969,0.9981770422309637,1.0005668681114912,5.41374471783638,5.392583817243576
0.6,0.6037735939025879,0.008,0.6018581656215134,0.11599447927437723,-0.052661445224657655,-0.006124422856373712,0.9971943572163582,1.000618102028966,6.647510662674904,6.606978207826614
0.4,0.41025641560554504,0.008,0.4083222458432442,0.14294358948245645,-0.06208861502818763,-0.008889215008821338,0.9961048811674118,1.0013404469937086,8.191089570522308,8.119034364819527
0.2,0.1983470916748047,0.008,0.19707811657969726,0.23931540502235293,-0.09679821110330522,-0.023225840006489307,0.9905750267207623,1.0054487884044647,13.703678965568542,13.395755052566528
0.14,0.14035087823867798,0.008,0.13938843244027538,0.24428661074489355,-0.09098879504017532,-0.02228673658100888,0.9916666317731142,1.0075803697109222,13.971668541431427,13.670857936143875
0.95,0.9491525292396545,0.016,0.9483747643834214,0.08561961655505002,-0.027035051288066825,-0.002384103756057243,0.9985745549201965,1.0013192631304264,4.901865184307098,4.889720305800438
0.8,0.7975830435752869,0.016,0.7949876320214948,0.10089596942998469,-0.03845383277803194,-0.003886590986894589,0.9982572179287672,1.001214187592268,5.7786674946546555,5.756252318620682
0.6,0.6037735939025879,0.016,0.599939613179153,0.12030390370637178,-0.05188067047856748,-0.006251705664908513,0.9972481448203325,1.000997330993414,6.893205597996712,6.850375682115555
0.4,0.41025641560554504,0.016,0.4063909111119884,0.14773687301203609,-0.05926310131326318,-0.008777488706982695,0.9964427091181278,1.0021492317318916,8.462332248687744,8.388824105262756
0.2,0.1983470916748047,0.016,0.1958152769884533,0.24722459400072694,-0.0832471651956439,-0.020634566230000928,0.9930102899670601,1.0099313855171204,14.119265347719193,13.838109344244003
0.14,0.14035087823867798,0.016,0.1384315237438064,0.2514522769488394,-0.07193979294970632,-0.018165634741308168,0.9947549570351839,1.0134170651435852,14.328387349843979,14.077171355485916
0.95,0.9491525292396545,0.032,0.9475857597686906,0.09965707245282829,-0.020114210592510062,-0.002150234855093913,0.9982498548924923,1.00286372192204,5.698503419756889,5.6852800995111465
0.8,0.7975830435752869,0.032,0.792367605155557,0.11448384542018175,-0.03036546481962432,-0.0034891638881617837,0.9986704550683498,1.0030783768743277,6.549257203936577,6.5264152735471725
0.6,0.6037735939025879,0.032,0.5960933517508291,0.12963701249100268,-0.047809025971218944,-0.006209436549397651,0.9976189993321896,1.0022067092359066,7.423246145248413,7.3774987161159515
0.4,0.41025641560554504,0.032,0.4025369681388923,0.15690001193434,-0.05329915718175471,-0.008387574227526784,0.9970856327563524,1.0039341449737549,8.97821992635727,8.90378138422966
0.2,0.1983470916748047,0.032,0.19330798687806242,0.2526052799075842,-0.04925783479120582,-0.012472752132453024,0.9975367840379477,1.0192921869456768,14.330699443817139,14.158593744039536
0.14,0.14035087823867798,0.032,0.1365342483467872,0.2596139367669821,-0.02774434153252514,-0.007313322064874228,0.9990985170006752,1.0261084362864494,14.649599224328995,14.545400261878967
0.95,0.9491525292396545,0.064,0.9459734612041854,0.14218450570479035,-0.0017239611597688054,-0.0006533502529464386,0.997844647616148,1.0096571054309607,8.087917506694794,8.078973695635796
0.8,0.7975830435752869,0.064,0.7870536647646525,0.15569066209718585,-0.018317793541427818,-0.002837990823763903,0.9991073776036501,1.0092777125537395,8.869553968310356,8.84470584988594
0.6,0.6037735939025879,0.064,0.5883657346708818,0.15922888880595565,-0.03907976392656565,-0.006225738819921389,0.9982938356697559,1.0064591113477945,9.094925552606583,9.039057433605194
0.4,0.41025641560554504,0.064,0.3948655179700318,0.17924446146935225,-0.04083461611298844,-0.007349067607719917,0.9982159491628408,1.0086986720561981,10.226655900478363,10.152658194303513
0.2,0.1983470916748047,0.064,0.18836682153645,0.2665714086033404,0.01050102496958516,0.002738146995710622,0.9997467882931232,1.0376084111630917,14.885093659162521,14.923173248767853
0.14,0.14035087823867798,0.064,0.13280537202551543,0.2698305882513523,0.06182451534550637,0.016554605041164905,0.9959785360842943,1.0516754612326622,14.837403029203415,15.070460379123688
0.95,0.9491525292396545,0.128,0.9426076510180937,0.244365812279284,0.00887677140372034,0.0011395028661809192,0.9968831352889538,1.0315210446715355,13.682548761367798,13.682831823825836
0.8,0.7975830435752869,0.128,0.7761303028014861,0.2618878376670182,-0.00291993800419732,-0.0007084208400556236,0.9992467388510704,1.0331668332219124,14.675708591938019,14.665755063295364
0.6,0.6037735939025879,0.128,0.5727826689443783,0.23676351131871343,-0.025918757004546933,-0.006111734212026931,0.9990794192999601,1.0217633321881294,13.39108231663704,13.312126576900482
0.4,0.41025641560554504,0.128,0.3796802849016364,0.23535298136994243,-0.021328650964278495,-0.004994987260943162,0.9993426464498043,1.0224747620522976,13.302708178758621,13.238703519105911
