step,time,band,target_power,base_power,full_power,gap_power,full_mse,base_mse,base_gap_cross,residual_gap_cross,residual_full_cross,base_gap_correlation,residual_gap_correlation,residual_full_correlation,mse_optimal_scale_from_base,target_second_moment_scale_from_base,target_to_full_power_ratio,gap_to_full_power_ratio
0,1.0,0,0.642377386597218,0.18289082716908922,0.19412917026056675,0.007512067804327671,0.44176997552858666,0.44729068552260287,0.0018631376435749303,-0.0009956785236937549,0.003239120404032292,0.050265409952144326,-0.017283881975046895,0.011060724997654947,0.8674561319693961,7.57681099639434,3.309020410147518,0.03869623402935643
0,1.0,1,0.1659245392656885,0.0005616099794139018,0.0006530201890342369,0.0003088532354382778,0.1654024079834926,0.16558267969230656,-0.00010872151290897136,-6.429091988824354e-05,-6.544445341916116e-05,-0.26104898047413705,-0.008995030665092312,-0.0062970715333320855,0.7918399015732778,23.493609786098894,254.08791650236304,0.4729612355401237
0,1.0,2,0.1889284618300735,0.00032525784421011394,0.0002893196218280991,0.00026405374008220406,0.18884039058320923,0.18897193900193088,-0.00014999598123210944,-6.625244705782407e-05,-0.00010062418748191249,-0.5118227337618327,-0.009382278432004834,-0.013613380931285293,0.7490948356300553,27.299743053465775,653.0095008292469,0.9126713854171048
0,1.0,all,0.99723038769298,0.18377769499271324,0.1950715100714291,0.008084974779848153,0.7960127740952885,0.8018453042168403,0.0016044201494338495,-0.0011262218906398225,0.003073051763131218,0.04162290355385985,-0.014038626225635516,0.00779853335705722,0.860701867191109,9.8341159248779,5.112127277467763,0.04144621004311541
1,0.9987389659520808,0,0.642377386597218,0.19539968288580667,0.20280130164974253,0.006566135310777099,0.43688037240644917,0.44091781513998285,0.00041774172657937925,-0.0012643464291173245,0.001347856270513148,0.011662482794363323,-0.023606407805518783,0.004528214045707391,0.8074443535998819,8.187271826835962,3.1675210236404987,0.03237718524172715
1,0.9987389659520808,1,0.1659245392656885,0.0006495277504754426,0.0007228791920539379,0.0003050488177080979,0.1653477768995799,0.1655149096113746,-0.00011584868806480131,-6.895816517760167e-05,-7.30584129726708e-05,-0.2602600995590846,-0.009709611296537201,-0.006682488066958191,0.7739438372661128,23.659435719152484,229.5328750496224,0.42199142133466827
1,0.9987389659520808,2,0.1889284618300735,0.000355304856682892,0.0003140491424460379,0.00026672681858030955,0.18882758379913867,0.18895471312862355,-0.00015399126640858185,-6.979850820609812e-05,-0.00010658555575560058,-0.5002212949689488,-0.009835129442528824,-0.013840979649310416,0.7383146225129877,27.172885165747402,601.5888480336688,0.8493155450221949
1,0.9987389659520808,all,0.99723038769298,0.196404515492965,0.2038382299842425,0.007137910947065507,0.7910557331051677,0.795387437879981,0.0001479017721059961,-0.0014031031025010243,0.0011682123017848767,0.003950136295074361,-0.018672414566242933,0.0029092122947121228,0.8034294469479394,10.571434125984059,4.89226377098187,0.035017528103620674
2,0.9974554707379135,0,0.642377386597218,0.20671523501857791,0.21129604007364833,0.0060194856557700405,0.43042283730756026,0.4337187077617273,-0.0007193403003498133,-0.001361807624007838,0.0003292546080047032,-0.02039240544259593,-0.0267539811216868,0.001091788535870586,0.7737667797742049,8.62770932011601,3.0401771200885452,0.028488397859571423
2,0.9974554707379135,1,0.1659245392656885,0.0007520960353772921,0.000806075257997918,0.00031061152093059263,0.16527723976469133,0.165440464807034,-0.00012831614915498335,-7.369324098083219e-05,-7.938787850036988e-05,-0.26548249345270036,-0.01028519076570797,-0.006877963634343777,0.7627478827570622,23.476846033607707,205.84249128028324,0.38533811557753445
