condition,mode,grouping,seed,samples,fid,delta_fid,relative_improvement_percent,inception_score,elapsed_seconds,time_mean_active_radius_ratio,time_mean_active_radial_energy_fraction,archive_sha256,paired
ordinary,ordinary,token,202609051,1000,38.735079617949,0.0,0.0,57.28434410095215,640.7528491129633,1.061944045248394,0.06865658131287694,4d50199a5cdbb29844a911f741c4e28730bc5fb44c1d84588d61a273e409c6c4,True
radial,radial,token,202609051,1000,38.63679647306236,-0.09828314488663636,0.25373161964818597,56.521524810791014,650.7558736531064,1.0394181741847035,0.053758101057914724,e8ea9c9a81628b6f7f6c2301a0082641cdca2c0b6a2c8f747de485b03aa1a4d1,True
retracted,retracted,token,202609051,1000,39.689399791853646,0.9543201739046481,-2.463710371366932,54.33773612976074,633.2149722748436,1.000000007310214,0.08155807979011151,25b487ce70a82f35a556abb96d462dc8cd036af4235239d372c6834d38e1fc43,True
tangent,tangent,token,202609051,1000,39.449084207249825,0.7140045893008278,-1.8433022375148895,54.77687759399414,647.2713964190334,1.0171412919324425,0.07945071155977548,e284a08b97fac65a04b351b704a7883ce7ee32a233721a30b0cef45f15a5fae4,True
