role,step,state_key,sha256,in_git
strong_generator,800000,ema,b7f7d7318ee4b480fe591bc451c2aceb09efaf4111e57fd9dbefcd1bcfd88caa,false
critic_continuation,2000,critic,534271cbc3a0144b6225ff4f8a90a8f6daf74de83acde9b324e1dd73a85ac681,false
critic_continuation,3000,critic,5550dbfa3982c9b16a963a9b9dbf66f91bc5bd96c158e6ae76f5c320b85ed6d1,false
critic_final,5000,critic,42b2b0b662d1ebacfdb318593a10b5d8ac00773094a25a2ced7600c9dc3cdc86,false
