condition,family,component,formula,num_samples,total_nfe,total_model_forwards,fid,sfid,inception_score,directory,fid_gain_vs_v400
v400,baseline,v400,anchor + scale * (other - anchor),5000,0,0,67.47350547403562,68.87111998497335,26.670499801635742,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/fid5k_static_pair_v_to_jit_x_step400000_seed0/static_s0,0.0
x_orthogonal,x400,orthogonal,anchor + scale * orth_anchor(other - anchor),5000,40598,81196,61.81033541044951,68.53595130540862,27.369190216064453,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/fid5k_step400k_floor_audit_seed0/orthogonal_pair/orthogonal_pair_sm1,5.663170063586108
x_common_on_v,x400,common,"anchor + scale * x_common_on_v(anchor, x400, v270)",5000,35570,106710,62.48637720814503,68.61585173543006,28.405698776245117,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/fid5k_step400k_floor_audit_seed0/common_unique_x400_v270/x_common_on_v/x_common_on_v_s1,4.98712826589059
x_unique_to_v,x400,unique,"anchor + scale * x_unique_to_v(anchor, x400, v270)",5000,40724,122172,65.87041821178161,68.78400352190124,25.82135009765625,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/fid5k_step400k_floor_audit_seed0/common_unique_x400_v270/x_unique_to_v/x_unique_to_v_s1,1.6030872622540073
v_orthogonal,v270,orthogonal,anchor + scale * orth_anchor(other - anchor),5000,34970,69940,59.3665983776512,68.59589844202037,29.590795516967773,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/fid5k_step400k_floor_audit_seed0/v270_direction_decomposition/orthogonal_pair/orthogonal_pair_sm1,8.106907096384418
v_common_on_x,v270,common,"anchor + scale * v_common_on_x(anchor, x400, v270)",5000,33608,100824,66.0740255576078,68.66632500938886,26.971363067626953,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/fid5k_step400k_floor_audit_seed0/common_unique_x400_v270/v_common_on_x/v_common_on_x_s1,1.399479916427822
v_unique_to_x,v270,unique,"anchor + scale * v_unique_to_x(anchor, x400, v270)",5000,34940,104820,60.48520728820927,68.78921942035527,28.98075294494629,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/fid5k_step400k_floor_audit_seed0/common_unique_x400_v270/v_unique_to_x/v_unique_to_x_s1,6.988298185826352
