index,noise_time,radial_energy_fraction,relative_radius_ratio,cosine,degenerate_reference,degenerate_ordinary,zero_depth_direction
0,1.0,0.10275309522333936,1.0469940431895666,0.9999999817099888,0.0,0.0,0.0
1,0.9987389445304871,0.07737530134323906,1.0353418758565094,0.9999999817910139,0.0,0.0,0.0
2,0.9974554777145386,0.058933297485728474,1.0266585776845458,0.9999999816543422,0.0,0.0,0.0
3,0.996148943901062,0.04906574492415825,1.021196199808037,0.9999999817290809,0.0,0.0,0.0
4,0.9948186874389648,0.0428305052495408,1.0172946984849405,0.9999999816429336,0.0,0.0,0.0
5,0.9934640526771545,0.042844933782285405,1.0168579465714283,0.9999999815812335,0.0,0.0,0.0
6,0.9920844435691833,0.04408826731279192,1.017691759955138,0.9999999813358299,0.0,0.0,0.0
7,0.9906790852546692,0.04593840721817559,1.0193190096614417,0.9999999813484028,0.0,0.0,0.0
8,0.9892473220825195,0.04826153215917249,1.0217336842957885,0.999999981110217,0.0,0.0,0.0
9,0.9877883195877075,0.050567606070222815,1.0240446483716368,0.9999999813754111,0.0,0.0,0.0
10,0.9863013625144958,0.053964251727625125,1.0274168700659647,0.999999981252011,0.0,0.0,0.0
11,0.9847856163978577,0.05596660621811665,1.0301438371527474,0.9999999811381567,0.0,0.0,0.0
12,0.9832402467727661,0.05745191842671544,1.0326183192909228,0.9999999810294248,0.0,0.0,0.0
13,0.9816642999649048,0.059893282268625614,1.0354699692092837,0.9999999812084716,0.0,0.0,0.0
14,0.9800570011138916,0.06090938393431625,1.037557383412728,0.9999999811539892,0.0,0.0,0.0
15,0.9784172773361206,0.061537997184876306,1.0393855154125486,0.9999999810941518,0.0,0.0,0.0
16,0.9767442345619202,0.06272809858238224,1.0412939265256282,0.999999981066212,0.0,0.0,0.0
17,0.9750366806983948,0.06415523088357752,1.0431911157115827,0.9999999811588787,0.0,0.0,0.0
18,0.9732937812805176,0.06479745253401241,1.04460956994351,0.9999999810736626,0.0,0.0,0.0
19,0.9715142250061035,0.06577929613499717,1.046009445166681,0.9999999812131282,0.0,0.0,0.0
20,0.9696969985961914,0.06720577297572186,1.0475728090621996,0.9999999812170863,0.0,0.0,0.0
21,0.9678407311439514,0.06800285577256455,1.0488199498350732,0.999999981027795,0.0,0.0,0.0
22,0.9659442901611328,0.0686999471436564,1.0499189919230993,0.9999999809814617,0.0,0.0,0.0
23,0.964006245136261,0.0693963119147694,1.0509003935956862,0.9999999810464214,0.0,0.0,0.0
24,0.9620253443717957,0.07004454346553536,1.0518196352501399,0.9999999811255839,0.0,0.0,0.0
25,0.9599999785423279,0.07044396329417354,1.0525005846654532,0.9999999811716843,0.0,0.0,0.0
26,0.9579287767410278,0.07084945794910313,1.0531242931832094,0.9999999811728485,0.0,0.0,0.0
27,0.9558101296424866,0.07087663547105845,1.0535225276094862,0.9999999810627196,0.0,0.0,0.0
28,0.9536424279212952,0.07072585584172772,1.0537451587547548,0.9999999812620226,0.0,0.0,0.0
29,0.9514237642288208,0.07049534887557682,1.0538883619576227,0.9999999811917077,0.0,0.0,0.0
30,0.9491525292396545,0.07011088798328932,1.0539214738274458,0.9999999812743626,0.0,0.0,0.0
31,0.9468267560005188,0.07006391410601097,1.0540693969724235,0.9999999811211601,0.0,0.0,0.0
32,0.9444444179534912,0.07005116771179076,1.0542220138350968,0.9999999812734314,0.0,0.0,0.0
33,0.9420035481452942,0.06967540837910341,1.0541819814045448,0.9999999811784365,0.0,0.0,0.0
34,0.9395017623901367,0.06994376913794355,1.0544345273119398,0.9999999812012539,0.0,0.0,0.0
35,0.9369369745254517,0.07006999372431805,1.0545679154745302,0.9999999813700561,0.0,0.0,0.0
36,0.9343065619468689,0.06951701592607082,1.0543485926045104,0.999999981486937,0.0,0.0,0.0
37,0.9316081404685974,0.06931139758439556,1.0542721332525835,0.9999999812783208,0.0,0.0,0.0
38,0.9288389086723328,0.06915123174565943,1.0541923967043403,0.9999999813097529,0.0,0.0,0.0
