condition,endpoint_rms_from_no_ig_mean,endpoint_rms_from_no_ig_std,endpoint_rms
no_ig,0.0,0.0,0.9879635156312203
scalar_ig,0.4861441873736199,0.11677749981923621,1.0003670265234377
freq_alpha_m0p5,0.4652549673763575,0.05404892793136538,1.000125888750745
freq_alpha_0p5,0.522744045255311,0.0769352667378872,0.9913609437638804
freq_alpha_1,0.8533855329050848,0.0663941985588313,1.0064964299014656
