model_family,checkpoint_step,mode,rank,sample_count,batch_size,batch_count,total_nfe_across_batches,mean_nfe_per_batch,elapsed_seconds
single_velocity,400000,velocity,0,1280,64,20,1084,54.2,47.50469332188368
single_velocity,400000,velocity,1,1280,64,20,1060,53.0,46.56840804498643
single_velocity,400000,velocity,2,1280,64,20,1048,52.4,45.65093712089583
single_velocity,400000,velocity,3,1280,64,20,1048,52.4,46.04004959901795
dual_output,400000,dynamic,0,1280,64,20,1198,59.9,50.235814664978534
dual_output,400000,dynamic,1,1280,64,20,1252,62.6,51.37188571598381
dual_output,400000,dynamic,2,1280,64,20,1168,58.4,48.76128509128466
dual_output,400000,dynamic,3,1280,64,20,1198,59.9,49.63517972128466
dual_output,450000,x,0,1280,64,20,2158,107.9,74.24418540392071
dual_output,450000,x,1,1280,64,20,2158,107.9,74.15618907380849
dual_output,450000,x,2,1280,64,20,2194,109.7,73.7537295082584
dual_output,450000,x,3,1280,64,20,2182,109.1,74.33464678935707
dual_output,450000,epsilon,0,1280,64,20,1672,83.6,61.79290664475411
dual_output,450000,epsilon,1,1280,64,20,1678,83.9,61.55498982965946
dual_output,450000,epsilon,2,1280,64,20,1660,83.0,60.56508810305968
dual_output,450000,epsilon,3,1280,64,20,1660,83.0,60.8833893481642
dual_output,450000,dynamic,0,1280,64,20,1240,62.0,51.1801212891005
dual_output,450000,dynamic,1,1280,64,20,1240,62.0,51.17457948299125
dual_output,450000,dynamic,2,1280,64,20,1204,60.2,49.339033554308116
dual_output,450000,dynamic,3,1280,64,20,1228,61.4,50.58210105774924
