model_family,checkpoint_step,checkpoint_sha256,mode,sample_count,guidance,fid,sfid,inception_score
single_velocity,400000,fa9a5d1c67783021035aa4ccc1d5eb09e5e928e170ee87c9d40f30c3e50320d5,velocity,5000,False,68.65372304130932,68.85797097696934,26.307764053344727
dual_output,400000,0d388933af0c2fa8a9c844d76dbf247579e6e3589a5e241fb5c29f51cf00729e,dynamic,5000,False,73.82738267476873,69.02095399593065,24.29184341430664
dual_output,450000,2701dd7de00414c1bf1b0417c307aba825450879900038e349a3952646453b69,x,5000,False,72.81595729037309,69.67844734104119,24.860654830932617
dual_output,450000,2701dd7de00414c1bf1b0417c307aba825450879900038e349a3952646453b69,epsilon,5000,False,70.73031386290074,68.45413402206532,24.344165802001953
dual_output,450000,2701dd7de00414c1bf1b0417c307aba825450879900038e349a3952646453b69,dynamic,5000,False,71.79415789535136,68.96455628019828,24.75885009765625
