time,sample_count,gate_objective_weight,dynamic_endpoint_override,gate_count,gate_mean,gate_std,gate_q05,gate_q50,gate_q95,gate_q99,gate_max,gate_sample_mean_std,gate_within_sample_std_mean,gate_within_sample_std_q95,gate_between_sample_variance,gate_within_sample_variance,gate_within_variance_fraction,weighted_branch_error_cosine,gate_over_one_minus_t_count,gate_over_one_minus_t_mean,gate_over_one_minus_t_std,gate_over_one_minus_t_q05,gate_over_one_minus_t_q50,gate_over_one_minus_t_q95,gate_over_one_minus_t_q99,gate_over_one_minus_t_max,one_minus_gate_over_t_count,one_minus_gate_over_t_mean,one_minus_gate_over_t_std,one_minus_gate_over_t_q05,one_minus_gate_over_t_q50,one_minus_gate_over_t_q95,one_minus_gate_over_t_q99,one_minus_gate_over_t_max,clean_native_error_element_count,clean_native_error_rms,clean_native_error_sample_rms_mean,clean_native_error_sample_rms_q50,clean_native_error_sample_rms_q95,clean_native_error_sample_rms_q99,clean_native_error_sample_rms_max,epsilon_native_error_element_count,epsilon_native_error_rms,epsilon_native_error_sample_rms_mean,epsilon_native_error_sample_rms_q50,epsilon_native_error_sample_rms_q95,epsilon_native_error_sample_rms_q99,epsilon_native_error_sample_rms_max,x_velocity_element_count,x_velocity_rms,x_velocity_sample_rms_mean,x_velocity_sample_rms_q50,x_velocity_sample_rms_q95,x_velocity_sample_rms_q99,x_velocity_sample_rms_max,epsilon_velocity_element_count,epsilon_velocity_rms,epsilon_velocity_sample_rms_mean,epsilon_velocity_sample_rms_q50,epsilon_velocity_sample_rms_q95,epsilon_velocity_sample_rms_q99,epsilon_velocity_sample_rms_max,dynamic_velocity_element_count,dynamic_velocity_rms,dynamic_velocity_sample_rms_mean,dynamic_velocity_sample_rms_q50,dynamic_velocity_sample_rms_q95,dynamic_velocity_sample_rms_q99,dynamic_velocity_sample_rms_max,x_velocity_error_element_count,x_velocity_error_rms,x_velocity_error_sample_rms_mean,x_velocity_error_sample_rms_q50,x_velocity_error_sample_rms_q95,x_velocity_error_sample_rms_q99,x_velocity_error_sample_rms_max,epsilon_velocity_error_element_count,epsilon_velocity_error_rms,epsilon_velocity_error_sample_rms_mean,epsilon_velocity_error_sample_rms_q50,epsilon_velocity_error_sample_rms_q95,epsilon_velocity_error_sample_rms_q99,epsilon_velocity_error_sample_rms_max,dynamic_velocity_error_element_count,dynamic_velocity_error_rms,dynamic_velocity_error_sample_rms_mean,dynamic_velocity_error_sample_rms_q50,dynamic_velocity_error_sample_rms_q95,dynamic_velocity_error_sample_rms_q99,dynamic_velocity_error_sample_rms_max,x_error_contribution_element_count,x_error_contribution_rms,x_error_contribution_sample_rms_mean,x_error_contribution_sample_rms_q50,x_error_contribution_sample_rms_q95,x_error_contribution_sample_rms_q99,x_error_contribution_sample_rms_max,epsilon_error_contribution_element_count,epsilon_error_contribution_rms,epsilon_error_contribution_sample_rms_mean,epsilon_error_contribution_sample_rms_q50,epsilon_error_contribution_sample_rms_q95,epsilon_error_contribution_sample_rms_q99,epsilon_error_contribution_sample_rms_max,pre_switch_dynamic_error_element_count,pre_switch_dynamic_error_rms,pre_switch_dynamic_error_sample_rms_mean,pre_switch_dynamic_error_sample_rms_q50,pre_switch_dynamic_error_sample_rms_q95,pre_switch_dynamic_error_sample_rms_q99,pre_switch_dynamic_error_sample_rms_max,dynamic_error_rms_over_best_branch
0.0,2000,0.0,True,2048000,0.9594412446022034,0.015046251006424427,0.9320434331893921,0.9616018533706665,0.9797186851501465,0.9851823449134827,0.9957137107849121,0.008447470311071919,0.012098563835024834,0.017414739355444908,7.135975465644151e-05,0.00015502990572713315,0.6847923419491162,9.126029288235322e-05,2048000,0.9594412446022034,0.015046251006424427,0.9320434331893921,0.9616018533706665,0.9797186851501465,0.9851823449134827,0.9957137107849121,,,,,,,,,8192000,0.7968126288054652,0.7895950675010681,0.7728123664855957,0.9926548600196838,1.1356383562088013,1.3170320987701416,8192000,0.008643401815662545,0.00859623309224844,0.008491290733218193,0.010348496027290821,0.011140451766550541,0.012590823695063591,8192000,1.0174322977081505,1.0172611474990845,1.0153722763061523,1.0480320453643799,1.086775779724121,1.1255102157592773,8192000,8.643401380561,8.596233367919922,8.491291046142578,10.348494529724121,11.140451431274414,12.59082317352295,8192000,1.0174322977081505,1.0172611474990845,1.0153722763061523,1.0480320453643799,1.086775779724121,1.1255102157592773,8192000,0.7968126287981746,0.7895950675010681,0.7728123664855957,0.9926548004150391,1.1356383562088013,1.3170320987701416,8192000,8.711231073483109,8.664762496948242,8.57286262512207,10.409967422485352,11.248597145080566,12.363262176513672,8192000,0.7968126287981746,0.7895950675010681,0.7728123664855957,0.9926548004150391,1.1356383562088013,1.3170320987701416,8192000,0.7646927742984476,0.7576953768730164,0.7401920557022095,0.9492995142936707,1.096112847328186,1.2843655347824097,8192000,0.371096381476508,0.36120373010635376,0.34582948684692383,0.5142573714256287,0.631648063659668,0.7872686386108398,8192000,0.8500113870466641,0.8442703485488892,0.8312249183654785,1.0335328578948975,1.1589484214782715,1.2942755222320557,1.0
0.0005,2000,2.497500625000001e-07,True,2048000,0.958679735660553,0.015081590972840786,0.9312509298324585,0.9607864022254944,0.9791449308395386,0.984736979007721,0.9955780506134033,0.008373769688167691,0.012214258313179016,0.01734931766986847,7.012001879047602e-05,0.00015733439067844301,0.6917183581791246,0.04401276523648866,2048000,0.9591593742370605,0.015089135617017746,0.931716799736023,0.9612670540809631,0.9796347618103027,0.9852296113967896,0.9960761070251465,2048000,82.64039611816406,30.163179397583008,41.71013641357422,78.42719268798828,137.49813842773438,173.8125,374.53448486328125,8192000,0.7968066003346386,0.789588451385498,0.7726089358329773,0.9925276041030884,1.1360431909561157,1.3200163841247559,8192000,0.0085169614017751,0.008471008390188217,0.008370321244001389,0.010173633694648743,0.010929279960691929,0.01239413395524025,8192000,1.017165131260123,1.016993522644043,1.0150887966156006,1.0482239723205566,1.086717128753662,1.1250513792037964,8192000,8.537058780640324,8.490629196166992,8.38174057006836,10.162057876586914,11.010690689086914,12.595799446105957,8192000,1.017165131260123,1.016993522644043,1.0150887966156006,1.0482239723205566,1.086717128753662,1.1250513792037964,8192000,0.7972052031392364,0.7899834513664246,0.7729954719543457,0.9930241107940674,1.1366114616394043,1.3206768035888672,8192000,8.545509995183082,8.500164031982422,8.404159545898438,10.200603485107422,10.987979888916016,12.274519920349121,8192000,0.7972052031392364,0.7899834513664246,0.7729954719543457,0.9930241107940674,1.1366114616394043,1.3206768035888672,8192000,0.7644482476844348,0.7574594616889954,0.7399066686630249,0.9477289319038391,1.094356656074524,1.286880373954773,8192000,0.37174640333089226,0.36237210035324097,0.34800273180007935,0.5110635757446289,0.6215007901191711,0.7755711078643799,8192000,0.8646338445195291,0.8587096333503723,0.8452506065368652,1.0501341819763184,1.1812007427215576,1.3249727487564087,1.0
0.001,2000,9.980010000000003e-07,True,2048000,0.9579680562019348,0.015116873197257519,0.9305087327957153,0.9600337743759155,0.9786092042922974,0.9843193888664246,0.9954663515090942,0.008304241104500348,0.012323537841439247,0.017261575907468796,6.896042032167315e-05,0.00015955943672452122,0.6982300741255362,0.0891878149225233,2048000,0.9589270353317261,0.015132005326449871,0.9314401745796204,0.9609947800636292,0.9795888066291809,0.9853046536445618,0.9964628219604492,2048000,42.03192138671875,15.116872787475586,21.39079475402832,39.966224670410156,69.49126434326172,87.38999938964844,185.3716278076172,8192000,0.7967905353771402,0.7895730137825012,0.7722525596618652,0.9925622940063477,1.137513518333435,1.322839379310608,8192000,0.008420243530554738,0.008375724777579308,0.008266754448413849,0.010038984939455986,0.010791955515742302,0.01224880013614893,8192000,1.0169136277899253,1.0167415142059326,1.0148555040359497,1.0485109090805054,1.08677339553833,1.124606728553772,8192000,8.468472627647426,8.422562599182129,8.309091567993164,10.075711250305176,10.926334381103516,12.671945571899414,8192000,1.0169136277899253,1.0167415142059326,1.0148555040359497,1.0485109090805054,1.08677339553833,1.124606728553772,8192000,0.7975881234410939,0.7903634309768677,0.7730255722999573,0.9935558438301086,1.1386520862579346,1.324163556098938,8192000,8.420242884938455,8.375724792480469,8.266754150390625,10.038983345031738,10.791959762573242,12.248796463012695,8192000,0.7975881234410939,0.7903634309768677,0.7730255722999573,0.9935558438301086,1.1386520862579346,1.324163556098938,8192000,0.7642339133140105,0.757254421710968,0.7392569184303284,0.9494973421096802,1.093814730644226,1.2893239259719849,8192000,0.37316771778044705,0.36426058411598206,0.3509025573730469,0.5093976855278015,0.6141990423202515,0.7670351266860962,8192000,0.8798739150944108,0.8737496733665466,0.8597779273986816,1.0702110528945923,1.2054716348648071,1.3569139242172241,1.0
0.0011,2000,1.2073394641000002e-06,False,2048000,0.9578050971031189,0.015128598548471928,0.9303296804428101,0.9598622918128967,0.9784890413284302,0.9842181205749512,0.9954381585121155,0.008294526102983221,0.012347673065960407,0.017265107482671738,6.879916327307001e-05,0.00016007530211936682,0.699402189077299,0.09832741593686431,2048000,0.9588598608970642,0.01514525804668665,0.9313541650772095,0.9609193205833435,0.9795665740966797,0.9853019714355469,0.9965343475341797,2048000,38.35898971557617,13.753271102905273,19.555418014526367,36.488826751708984,63.33665466308594,79.57128143310547,168.33847045898438,8192000,0.796785299302047,0.7895682454109192,0.7721556425094604,0.9925618171691895,1.1377754211425781,1.3233166933059692,8192000,0.008405066266114654,0.00836081150919199,0.008251008577644825,0.010009831748902798,0.010777207091450691,0.012221668846905231,8192000,1.0168600744098941,1.0166878700256348,1.0148123502731323,1.048553705215454,1.0867623090744019,1.124502420425415,8192000,7.6934896038653475,7.651750087738037,7.548739433288574,9.1619234085083,9.93192195892334,11.536072731018066,8192000,1.079711991774639,1.07839834690094,1.0728167295455933,1.1738531589508057,1.2449781894683838,1.3684486150741577,8192000,0.7976627283868517,0.7904376983642578,0.7730059027671814,0.9936548471450806,1.1390283107757568,1.324773907661438,8192000,7.640969427496089,7.60073709487915,7.500918388366699,9.099844932556152,9.79746150970459,11.11060905456543,8192000,0.8663184345269732,0.8601560592651367,0.8456138372421265,1.0630881786346436,1.1915812492370605,1.3482823371887207,8192000,0.7641733763831878,0.7571958303451538,0.7391846179962158,0.9498978853225708,1.0935860872268677,1.2897275686264038,8192000,0.33982174842232155,0.33179742097854614,0.3196638226509094,0.46302154660224915,0.5577846765518188,0.695976734161377,8192000,0.8663184368751287,0.8601560592651367,0.8456137776374817,1.063088059425354,1.1915812492370605,1.3482822179794312,1.0860710970900784
0.0015,2000,2.2432550625000006e-06,False,2048000,0.957260251045227,0.015153152868151665,0.9297735095024109,0.9592804312705994,0.9780768156051636,0.9838910698890686,0.9953395128250122,0.008235548857744891,0.012430919334292412,0.017143208533525467,6.782426498830318e-05,0.00016179378144443035,0.7046213656025845,0.13520875692432768,2048000,0.9586981534957886,0.015175917185842991,0.9311702847480774,0.9607215523719788,0.9795461297035217,0.9853691458702087,0.9968347549438477,2048000,28.493213653564453,10.102102279663086,14.615456581115723,27.146379470825195,46.81766128540039,58.59255599975586,122.31317901611328,8192000,0.7967668554747946,0.7895510196685791,0.7721704244613647,0.9925656318664551,1.138134241104126,1.3256340026855469,8192000,0.00835077949603616,0.008307771757245064,0.008201196789741516,0.009912187233567238,0.010699953883886337,0.012197602540254593,8192000,1.0166608008596545,1.0164880752563477,1.014575481414795,1.0487401485443115,1.086806058883667,1.1241230964660645,8192000,5.624944163241713,5.594396591186523,5.518176078796387,6.693506240844727,7.268447399139404,8.522899627685547,8192000,1.0515777442678145,1.0508350133895874,1.0472137928009033,1.1204713582992554,1.1654634475708008,1.2793877124786377,8192000,0.7979638013146126,0.7907370924949646,0.7733304500579834,0.9940567016601562,1.1398440599441528,1.3276253938674927,8192000,5.567186431742992,5.538514137268066,5.467464447021484,6.60812520980835,7.133302211761475,8.131736755371094,8192000,0.8355819387505521,0.8291411995887756,0.8122297525405884,1.0309314727783203,1.1674695014953613,1.3293049335479736,8192000,0.7640153362539189,0.7570459842681885,0.7394763827323914,0.9518023729324341,1.0926045179367065,1.2917355298995972,8192000,0.25046243346731323,0.24480795860290527,0.23584964871406555,0.3394203782081604,0.4063848555088043,0.5073602199554443,8192000,0.83558194495651,0.8291411995887756,0.8122297525405884,1.0309314727783203,1.1674696207046509,1.3293049335479736,1.0471426615768349
0.003,2000,8.946081e-06,False,2048000,0.9552572965621948,0.015261756256222725,0.9276629090309143,0.9571435451507568,0.9765713214874268,0.9827138781547546,0.9949824213981628,0.008039907305776662,0.012730800546705723,0.0169074647128582,6.464010948548093e-05,0.00016828111256472766,0.7224808073884007,0.2737959081685231,2048000,0.9581316709518433,0.01530767884105444,0.9304543137550354,0.9600236415863037,0.9795098900794983,0.9856709241867065,0.9979763627052307,2048000,14.914260864257812,5.087252140045166,7.809559345245361,14.28548526763916,24.112363815307617,29.7879581451416,59.176544189453125,8192000,0.7966534771109842,0.7894472479820251,0.7720379829406738,0.9918162226676941,1.1364949941635132,1.334083080291748,8192000,0.008302093297382558,0.008264119736850262,0.008179675787687302,0.00972688477486372,0.010522748343646526,0.012267770245671272,8192000,1.015923241881615,1.0157480239868164,1.013826847076416,1.0483239889144897,1.0910985469818115,1.1225894689559937,8192000,2.849771331292262,2.8344342708587646,2.7922170162200928,3.379279613494873,3.694502115249634,4.472347259521484,8192000,1.024998448870686,1.024688720703125,1.021864891052246,1.0709103345870972,1.1035689115524292,1.1886757612228394,8192000,0.7990506291869336,0.7918227314949036,0.7743610739707947,0.9948006272315979,1.1399147510528564,1.3380974531173706,8192000,2.767364464162222,2.754706621170044,2.726558208465576,3.2422938346862793,3.5075817108154297,4.08925724029541,8192000,0.8086628255984705,0.80168616771698,0.7842668294906616,1.003771424293518,1.142343282699585,1.3263503313064575,8192000,0.7634148012324719,0.756479024887085,0.7387608289718628,0.9465840458869934,1.089141607284546,1.299115777015686,8192000,0.12983517865094146,0.1273505836725235,0.12331575155258179,0.17285670340061188,0.2011629343032837,0.2514183223247528,8192000,0.8086628414703095,0.8016862273216248,0.7842668294906616,1.003771424293518,1.142343282699585,1.326350450515747,1.012029521109717
0.01,2000,9.801000000000002e-05,False,2048000,0.9487380981445312,0.015575328841805458,0.9209932088851929,0.9501973390579224,0.9715613126754761,0.9786348342895508,0.993243396282196,0.007484895116587273,0.013497586362063885,0.016968881711363792,5.6023654906312004e-05,0.0001865671802079305,0.7690611235171808,0.7196605502278833,2048000,0.9583213329315186,0.0157326553016901,0.9302961826324463,0.9597952961921692,0.9813750386238098,0.9885200262069702,1.0032761096954346,2048000,5.126187324523926,1.5575329065322876,2.8438687324523926,4.980266094207764,7.900679111480713,9.4257173538208,16.440797805786133,8192000,0.7951017724052984,0.7880635857582092,0.7692217826843262,0.9830451607704163,1.1222620010375977,1.361987590789795,8192000,0.010679008986716795,0.010631597600877285,0.01050169300287962,0.01254979521036148,0.01373530924320221,0.016575146466493607,8192000,1.0130991996880294,1.0128992795944214,1.0106074810028076,1.0477237701416016,1.0902161598205566,1.144893765449524,8192000,1.22246772761905,1.2183164358139038,1.2057220935821533,1.401246190071106,1.5100940465927124,1.8393195867538452,8192000,1.0130904613280738,1.0128744840621948,1.0103315114974976,1.0482548475265503,1.097304344177246,1.1646206378936768,8192000,0.8031331031189861,0.7960237860679626,0.7769916653633118,0.9929748773574829,1.1335978507995605,1.3757450580596924,8192000,1.0679009344911559,1.0631598234176636,1.0501693487167358,1.2549796104431152,1.3735311031341553,1.6575148105621338,8192000,0.8040417579229938,0.7969505190849304,0.7783520221710205,0.994613766670227,1.1345534324645996,1.3749743700027466,8192000,0.7619317731698716,0.7552281618118286,0.7381089925765991,0.9389520883560181,1.0834442377090454,1.3246551752090454,8192000,0.0571521571833694,0.056318558752536774,0.05523344501852989,0.07352332025766373,0.08450938016176224,0.09853627532720566,8192000,0.8040417505931792,0.7969505190849304,0.7783519625663757,0.994613766670227,1.1345534324645996,1.374974250793457,1.001131387562633
0.03,2000,0.0008468099999999998,False,2048000,0.9489560723304749,0.013565648347139359,0.9250620603561401,0.9500489234924316,0.9691895842552185,0.9755796194076538,0.9901008605957031,0.006994187620316533,0.01145270187407732,0.014839168637990952,4.8918660468189046e-05,0.00013510814460460097,0.7341764399548221,0.9315271175996915,2048000,0.9783051609992981,0.013985203579068184,0.9536721706390381,0.9794318675994873,0.9991644620895386,1.0057522058486938,1.020722508430481,2048000,1.701465368270874,0.45218828320503235,1.027013897895813,1.6650359630584717,2.497931480407715,2.9402554035186768,5.165549278259277,8192000,0.7816873683594153,0.7759394645690918,0.7627785801887512,0.953554093837738,1.064806580543518,1.4740540981292725,8192000,0.02500721744724134,0.024839945137500763,0.024456758052110672,0.030198778957128525,0.03348474204540253,0.04643746092915535,8192000,1.0114410020837703,1.0109761953353882,1.0045552253723145,1.0670617818832397,1.133528232574463,1.277608871459961,8192000,1.0341900929185797,1.0331004858016968,1.025879144668579,1.1166191101074219,1.2114019393920898,1.4694428443908691,8192000,1.0115530836439817,1.0110872983932495,1.0044171810150146,1.0677701234817505,1.1378943920135498,1.2754372358322144,8192000,0.805863264833984,0.7999375462532043,0.7863696813583374,0.9830455183982849,1.0977387428283691,1.5196433067321777,8192000,0.8335739578803277,0.8279982805252075,0.8152253031730652,1.006626009941101,1.116158127784729,1.5479154586791992,8192000,0.8059641308553245,0.8000374436378479,0.7865962982177734,0.9823112487792969,1.0976612567901611,1.5195835828781128,8192000,0.7646554654953062,0.7590976357460022,0.7473325729370117,0.9306603074073792,1.0426979064941406,1.4471285343170166,8192000,0.044173192977130585,0.043390046805143356,0.04231709986925125,0.05879422277212143,0.06752436608076096,0.08139052987098694,8192000,0.8059641085192554,0.8000374436378479,0.7865962982177734,0.9823111891746521,1.0976612567901611,1.5195834636688232,1.0001251651809209
0.1,2000,0.008100000000000001,False,2048000,0.9551275968551636,0.010205579921603203,0.9370706677436829,0.9560577273368835,0.9700251817703247,0.9749534726142883,0.9885424375534058,0.006262363232975251,0.0078662671148777,0.010974983684718609,3.921719326172024e-05,6.493667024187744e-05,0.6234686650835031,0.9696657738246587,2048000,1.0612528324127197,0.011339533142745495,1.0411896705627441,1.062286376953125,1.077805757522583,1.0832816362380981,1.0983805656433105,2048000,0.44872453808784485,0.10205579549074173,0.29974818229675293,0.43942272663116455,0.6292933225631714,0.7389962673187256,1.501895785331726,8192000,0.7137111984284663,0.7108885049819946,0.710127592086792,0.8152723908424377,0.8688936829566956,0.9888421893119812,8192000,0.07958095721483448,0.07927131652832031,0.07918542623519897,0.09099046885967255,0.09668125212192535,0.10991068184375763,8192000,1.0188413896839248,1.0162886381149292,0.994020938873291,1.1716700792312622,1.3091106414794922,1.5598869323730469,8192000,1.0206054241827147,1.0178829431533813,0.9946532249450684,1.1815035343170166,1.3158034086227417,1.5298717021942139,8192000,1.018841619781837,1.0162842273712158,0.9938881397247314,1.172898530960083,1.3076190948486328,1.5579992532730103,8192000,0.7930124459726745,0.7898761630058289,0.7890306711196899,0.9058582186698914,0.9654374718666077,1.0987136363983154,8192000,0.7958095431351183,0.7927132248878479,0.7918542623519897,0.9099046587944031,0.9668124318122864,1.0991066694259644,8192000,0.7930173620295123,0.7898809909820557,0.7890323400497437,0.9059381484985352,0.9654183387756348,1.0986651182174683,8192000,0.7575418180063382,0.7545499205589294,0.7539422512054443,0.8655443787574768,0.919037401676178,1.0450419187545776,8192000,0.036533495226086565,0.036036763340234756,0.035440973937511444,0.047236379235982895,0.05218714848160744,0.06213955208659172,8192000,0.7930173795003281,0.7898809909820557,0.7890323400497437,0.9059381484985352,0.9654183387756348,1.0986651182174683,1.0000061992177585
0.2,2000,0.02560000000000001,False,2048000,0.902576744556427,0.017568934708833694,0.8722764849662781,0.9037717580795288,0.929058849811554,0.9384478330612183,0.9705647826194763,0.010340905875505773,0.013881612569093704,0.019174115732312202,0.0001069343343260698,0.0002017331134993583,0.6535613486960625,0.9797259690291502,2048000,1.128220796585083,0.021961167454719543,1.0903456211090088,1.1297147274017334,1.1613235473632812,1.1730598211288452,1.2132059335708618,2048000,0.4871164858341217,0.08784466981887817,0.3547057509422302,0.48114120960235596,0.6386175751686096,0.724852979183197,1.6709721088409424,8192000,0.6424165207660529,0.6401480436325073,0.6426435112953186,0.7249920964241028,0.7571097016334534,0.8151445388793945,8192000,0.1607406433083083,0.16017630696296692,0.160775825381279,0.18136098980903625,0.18967550992965698,0.20347872376441956,8192000,1.0092565334591683,1.00464928150177,0.9764896035194397,1.2055597305297852,1.3542733192443848,1.60617196559906,8192000,1.0081010233231669,1.0034494400024414,0.9754452705383301,1.2082293033599854,1.357283353805542,1.5928997993469238,8192000,1.0090998022376365,1.004490613937378,0.976033091545105,1.2056530714035034,1.3538532257080078,1.6047720909118652,8192000,0.8030206511180207,0.8001852035522461,0.8033044338226318,0.9062401056289673,0.9463871121406555,1.0189306735992432,8192000,0.803703216006317,0.8008814454078674,0.8038790822029114,0.9068049192428589,0.9483774900436401,1.017393708229065,8192000,0.8030220058884799,0.800186276435852,0.8032341003417969,0.90627521276474,0.946523129940033,1.0187163352966309,8192000,0.7253922314355962,0.7227293848991394,0.7263473868370056,0.818709135055542,0.8553745150566101,0.9183217287063599,8192000,0.07907667861017491,0.0784396380186081,0.0777704268693924,0.09667239338159561,0.10367075353860855,0.11490654200315475,8192000,0.8030219954545665,0.800186276435852,0.8032340407371521,0.90627521276474,0.946523129940033,1.0187163352966309,1.0000016870929251
