model_family,checkpoint_step,checkpoint_sha256,mode,world_size,requested_sample_count,padded_sample_count,batch_size_per_rank,total_batches_across_ranks,mean_nfe_per_batch,min_rank_mean_nfe,max_rank_mean_nfe,mean_elapsed_seconds_across_ranks,nfe_grain,distribution_limitation
single_velocity,400000,fa9a5d1c67783021035aa4ccc1d5eb09e5e928e170ee87c9d40f30c3e50320d5,velocity,4,5000,5120,64,80,53.0,52.4,54.2,46.44102202169597,one adaptive ODE trajectory for one complete batch,rank JSON stores cumulative NFE; full per-batch distribution is not recoverable
dual_output,400000,0d388933af0c2fa8a9c844d76dbf247579e6e3589a5e241fb5c29f51cf00729e,dynamic,4,5000,5120,64,80,60.2,58.4,62.6,50.001041298382916,one adaptive ODE trajectory for one complete batch,rank JSON stores cumulative NFE; full per-batch distribution is not recoverable
dual_output,450000,2701dd7de00414c1bf1b0417c307aba825450879900038e349a3952646453b69,x,4,5000,5120,64,80,108.65,107.9,109.7,74.12218769383617,one adaptive ODE trajectory for one complete batch,rank JSON stores cumulative NFE; full per-batch distribution is not recoverable
dual_output,450000,2701dd7de00414c1bf1b0417c307aba825450879900038e349a3952646453b69,epsilon,4,5000,5120,64,80,83.375,83.0,83.9,61.19909348140936,one adaptive ODE trajectory for one complete batch,rank JSON stores cumulative NFE; full per-batch distribution is not recoverable
dual_output,450000,2701dd7de00414c1bf1b0417c307aba825450879900038e349a3952646453b69,dynamic,4,5000,5120,64,80,61.4,60.2,62.0,50.568958846037276,one adaptive ODE trajectory for one complete batch,rank JSON stores cumulative NFE; full per-batch distribution is not recoverable
