step,branch,t_min,t_max,count,internal_velocity_mse,internal_native_mse,frozen_velocity_mse,full_internal_gap_rms,direction_residual_cosine,positive_alignment_fraction
50000,raw,0.0,0.2,448,1.8094225158648831,0.015072544824111642,0.6262172600919647,0.9518181162088045,0.001794643050357893,0.5401785714285714
50000,raw,0.2,0.4,402,0.8224473723872977,0.07586326676684974,0.6833117479337981,0.36380971197168627,-0.00194755919297695,0.4626865671641791
50000,raw,0.4,0.6,436,0.9284679545175045,0.2316275122959953,0.8094778853135371,0.34523344046752386,-0.004617634142434343,0.40825688073394495
50000,raw,0.6,0.8,402,1.0508946046900394,0.5251065766188636,0.8920449546320521,0.40047494748338536,-0.004669391760511083,0.4154228855721393
50000,raw,0.8,1.0,360,1.0967679525415102,0.8809248641133308,0.9963697838286559,0.30249068842579924,-0.0012749016937298229,0.475
50000,ema,0.0,0.2,448,1.8389053367344397,0.015030866725802687,0.6262172600919647,0.9576899343436318,0.001961930602663285,0.5580357142857143
50000,ema,0.2,0.4,402,0.8248660439134237,0.0760415018448115,0.6833117479337981,0.3661028925903994,-0.0016432469026821947,0.472636815920398
50000,ema,0.4,0.6,436,0.9281301002163406,0.2315318556417019,0.8094778853135371,0.3446135475137912,-0.0045219071651803585,0.39908256880733944
50000,ema,0.6,0.8,402,1.0512113588959424,0.5252824037970595,0.8920449546320521,0.40085919520155117,-0.004747600626447748,0.41044776119402987
50000,ema,0.8,1.0,360,1.0971578372849358,0.8812872626715236,0.9963697838286559,0.3037412458202905,-0.001342987918299817,0.46944444444444444
