arm,family,peak,fid,sfid,inception_score,full_calls_per_image,geometry_calls_per_image,sum_batch_gpu_seconds,correction_to_native_norm,off_affine_energy,clean_norm_ratio,angle_radians,cap_fraction,fallback_fraction
ig_a070,ig,0.7,40.15256843107471,69.52276567321906,37.453426361083984,114.3328,0.0,461.88169116480276,0.0,0.0,0.0,0.0,0.0,0.0
residual_norm_a070,residual_norm,0.7,39.83415853753729,69.58824590854795,37.203643798828125,114.3136,71.4752,486.9766292432323,0.9999999781245937,0.11347885537882375,1.0818711049547205,0.0,0.0,0.0
adg_a070,adg,0.7,39.49979227212816,69.11581983247675,37.88515853881836,113.536,70.3616,496.92493453714997,0.9458881602557341,0.059817143555622156,1.0730241345069191,0.22273600416940162,0.0,0.0
