update,candidate_loss,candidate_gradient_norm,control_loss,control_gradient_norm,elapsed_seconds
1,0.0,0.012221109122037888,0.0,0.012185328640043736,0.6350094249937683
2,-9.649378625908867e-06,0.012296687811613083,-1.0154402843909338e-05,0.01233400497585535,0.8731853410135955
3,8.888676347851288e-06,0.01078176312148571,1.1477483894850593e-05,0.010818199254572392,1.106152013875544
4,2.0535917428787798e-06,0.011726560071110725,1.4971192285884172e-06,0.011696971952915192,1.3396357099991292
5,4.012453428003937e-05,0.010980935767292976,4.017501851194538e-05,0.010887131094932556,1.5733814269769937
6,9.956996109394822e-06,0.01069694384932518,1.2736958524328656e-05,0.010578871704638004,1.8071798209566623
7,5.332158980309032e-05,0.009196474216878414,5.277436866890639e-05,0.009078635834157467,2.0406566739547998
8,-1.6477095414302312e-05,0.00996673759073019,-1.7272061086259782e-05,0.009876979514956474,2.274145233910531
9,-9.213856174028479e-06,0.009535686112940311,-1.1444154552009422e-05,0.009413314051926136,2.5086139619816095
10,-4.020090727863135e-06,0.009608284570276737,-4.477512902667513e-06,0.009485945105552673,2.7424229099415243
11,2.3366621462628245e-05,0.009720292873680592,1.99674741452327e-05,0.009516368620097637,2.9760539478156716
12,2.488435711711645e-05,0.009912134148180485,2.513538311177399e-05,0.009812042117118835,3.209478155011311
13,1.6440373656223528e-05,0.009875351563096046,1.746688394632656e-05,0.009728120639920235,3.443316015880555
14,3.356707384227775e-05,0.009345538914203644,3.31838455167599e-05,0.009231526404619217,3.67764793895185
15,5.3832525736652315e-05,0.008843307383358479,4.842023190576583e-05,0.008699869737029076,3.915283474838361
16,2.064450382022187e-05,0.009004217572510242,2.150578256987501e-05,0.008931315504014492,4.149327668827027
17,7.485825335606933e-05,0.009821194224059582,7.012968853814527e-05,0.009634722024202347,4.382939663017169
18,8.136241376632825e-05,0.010538872331380844,7.399645255645737e-05,0.010362602770328522,4.617000401951373
19,5.955546293989755e-05,0.009388946928083897,5.2464514737948775e-05,0.00929196085780859,4.851095975842327
20,0.00011331848509144038,0.010815228335559368,0.00010771649976959452,0.010505816899240017,5.084868717938662
21,6.121567275840789e-05,0.010351932607591152,5.4862015531398356e-05,0.010081171989440918,5.319006504956633
22,9.124902135226876e-06,0.009730452671647072,7.469132469850592e-06,0.009517660364508629,5.55285712890327
23,8.1656951806508e-05,0.01120575238019228,6.950086390133947e-05,0.010970862582325935,5.787329585989937
24,0.00010064485832117498,0.009707349352538586,9.68597232713364e-05,0.009425717405974865,6.021777265937999
25,1.4057599400985055e-05,0.009870615787804127,1.4177621778799221e-05,0.009762873873114586,6.255864851875231
26,3.266881321906112e-05,0.00823734700679779,2.8961163479834795e-05,0.008066263981163502,6.490090322913602
