condition,control_mode,common_unique_component,scale,region,anchor_prediction_target,other_prediction_target,other_training_denominator_floor,other_inference_denominator_floor,checkpoint_step,other_checkpoint_step,reference_checkpoint_step,num_samples,noise_fingerprint,label_fingerprint,sampling_peak_memory_mib,fid_peak_memory_mib,total_nfe,total_model_forwards,sampling_elapsed_seconds_max_rank,fid,sfid,inception_score,samples
static_sm1p5,full_pair,,-1.5,beyond_velocity,velocity,velocity,0.001,0.001,800000,270000,,1000,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,8653,12879,8584,17168,152.00264893798158,66.01618743066695,218.27112073093622,37.119728088378906,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/v800_v270_v400_gamma_search_fid1k_v2/v270/static_sm1p5/samples_unguided_n1000.npz
static_sm2,full_pair,,-2.0,beyond_velocity,velocity,velocity,0.001,0.001,800000,270000,,1000,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,8653,8009,9130,18260,153.83868432301097,63.2904839415433,218.3172933158546,38.004547119140625,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/v800_v270_v400_gamma_search_fid1k_v2/v270/static_sm2/samples_unguided_n1000.npz
static_sm2p5,full_pair,,-2.5,beyond_velocity,velocity,velocity,0.001,0.001,800000,270000,,1000,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,8653,12879,10042,20084,171.8488781810156,62.41757925371314,218.42474994048223,37.777408599853516,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/v800_v270_v400_gamma_search_fid1k_v2/v270/static_sm2p5/samples_unguided_n1000.npz
static_sm3,full_pair,,-3.0,beyond_velocity,velocity,velocity,0.001,0.001,800000,270000,,1000,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,8653,12879,10966,21932,198.1061199249816,61.26135988051999,218.74425081565528,37.12431335449219,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/v800_v270_v400_gamma_search_fid1k_v2/v270/static_sm3/samples_unguided_n1000.npz
static_sm3p5,full_pair,,-3.5,beyond_velocity,velocity,velocity,0.001,0.001,800000,270000,,1000,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,8653,7989,11980,23960,188.13886569801252,61.040592660547986,219.42024984315958,38.52859115600586,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/v800_v270_v400_gamma_search_fid1k_v2/v270/static_sm3p5/samples_unguided_n1000.npz
static_sm4,full_pair,,-4.0,beyond_velocity,velocity,velocity,0.001,0.001,800000,270000,,1000,b693d3cc2f28249d84942f74586d1afda2df10879225cd69bbf5d6a2d602c7b8,76fcd0fce6808c069a79ee8fd795edf2a1785d73758dc62306e51700c44c0758,8653,12879,13054,26108,192.47274808696238,61.969375987794706,220.47822336349952,38.98876190185547,/data/users/zhoushunyu/eqvae/imagenet_sit_flow/v800_v270_v400_gamma_search_fid1k_v2/v270/static_sm4/samples_unguided_n1000.npz
