seed,condition_a,condition_b,feature_paired_rms_mean,feature_paired_rms_std,feature_paired_rms_q05,feature_paired_rms_median,feature_paired_rms_q95
0,baseline,factorized_g1_r1p5,0.3028872981639585,0.09333663512160106,0.1442974240852314,0.3129322463379691,0.4449127859632424
0,baseline,factorized_g1p5_r1p35,0.2975588831712579,0.09055003001794695,0.1434364742879321,0.3056830477652238,0.4327008788468629
0,baseline,factorized_g2_r1p35,0.31359942296403254,0.08907841948043532,0.15644874350268873,0.3232331358150815,0.4438026448516953
0,baseline,factorized_g2p5_r1p35,0.32469048234511194,0.08764993652541467,0.16227571809673397,0.3384271247534597,0.45748184952253623
0,baseline,factorized_g3_r1,0.2758627725230562,0.08001717825025696,0.1386431400363422,0.28181563949715505,0.39956554294255203
0,baseline,closed_g3,0.30301793150425,0.0873304434718814,0.15415761991350774,0.3100202457621229,0.4366882924523716
0,factorized_g1_r1p5,factorized_g1p5_r1p35,0.11943273772454065,0.05814614001347806,0.043514165552410194,0.11094438002741874,0.22669894355357703
0,factorized_g1_r1p5,factorized_g2_r1p35,0.16358295536371423,0.0677830437110555,0.07112841333547365,0.15657678852514162,0.28259957822972914
0,factorized_g1_r1p5,factorized_g2p5_r1p35,0.20118522251811766,0.0747292664816128,0.08915219743200913,0.1972260808669039,0.32670764124489166
0,factorized_g1_r1p5,factorized_g3_r1,0.23103337211290284,0.08487625033173646,0.09928169215720231,0.23190834315466005,0.37210114006101996
0,factorized_g1_r1p5,closed_g3,0.25725409524414705,0.08609852148300134,0.11554487733503914,0.25942576370650516,0.39621679923265357
0,factorized_g1p5_r1p35,factorized_g2_r1p35,0.12665397562569108,0.059694909324350204,0.04795157060445579,0.11851960939472717,0.23731992607798513
0,factorized_g1p5_r1p35,factorized_g2p5_r1p35,0.18041954233680083,0.0724050124644598,0.07496382609827187,0.17625142390962129,0.309909677056345
0,factorized_g1p5_r1p35,factorized_g3_r1,0.1972400697201581,0.07846971323882322,0.08144266621190856,0.19543974823774957,0.3325446018818639
0,factorized_g1p5_r1p35,closed_g3,0.24237887912062375,0.08385459912889355,0.10653694858499169,0.24266651217319984,0.3805242963104291
0,factorized_g2_r1p35,factorized_g2p5_r1p35,0.11393009103755965,0.05617142962489158,0.04361757194835139,0.10494437027466749,0.21342869259264788
0,factorized_g2_r1p35,factorized_g3_r1,0.2148316272201324,0.084608327403401,0.08447896083157659,0.21205954805154326,0.358092212845638
0,factorized_g2_r1p35,closed_g3,0.24422002787432653,0.0837076566112596,0.10533270199190933,0.24854761496878588,0.37995711078427424
0,factorized_g2p5_r1p35,factorized_g3_r1,0.2333459484239371,0.08707384316883304,0.09414989853568567,0.23106459765559362,0.37395038198969943
0,factorized_g2p5_r1p35,closed_g3,0.24957455267967493,0.08421680605479463,0.11178988154464396,0.25217958927667306,0.3897000770169629
0,factorized_g3_r1,closed_g3,0.2367039594658138,0.08325231504267852,0.10274850864181671,0.23687679708036946,0.3754038851554976
1,baseline,factorized_g1_r1p5,0.3000655620913238,0.08792246132103249,0.14829292388487644,0.3042593963323871,0.4367572073484345
1,baseline,factorized_g1p5_r1p35,0.29439516140674654,0.08553897645932537,0.14878188560551067,0.2997139365408258,0.42236577053095764
1,baseline,factorized_g2_r1p35,0.3103091764143593,0.08483411474433158,0.1629266449285256,0.3153871026056667,0.43686221536938236
1,baseline,factorized_g2p5_r1p35,0.3219141633380357,0.08420698882947653,0.17233772095122485,0.3305586561523403,0.4481131155290846
1,baseline,factorized_g3_r1,0.27565886594080485,0.0774592293790945,0.14383815649281062,0.2784264939879443,0.3949531536262805
1,baseline,closed_g3,0.3006753706165409,0.0824681834059712,0.15452902889254996,0.30892715684701266,0.42410329089309373
1,factorized_g1_r1p5,factorized_g1p5_r1p35,0.11964200455126592,0.05628722823966473,0.04652266931412924,0.11060918500956698,0.23012783147823487
1,factorized_g1_r1p5,factorized_g2_r1p35,0.16263868776819776,0.06524090885414797,0.06679352683614474,0.15455425648760296,0.2758983271955078
1,factorized_g1_r1p5,factorized_g2p5_r1p35,0.20051785505878633,0.07259756963610292,0.08730887178316264,0.19589750066513859,0.32408783650746464
1,factorized_g1_r1p5,factorized_g3_r1,0.22994341040641064,0.08066107861847166,0.1037687842345172,0.22675255741119293,0.3660904769642844
1,factorized_g1_r1p5,closed_g3,0.2543503482274473,0.081627453100243,0.12342604788576887,0.253307558478941,0.38826302390827605
1,factorized_g1p5_r1p35,factorized_g2_r1p35,0.12618906693959803,0.0580002487997914,0.04811913233996762,0.11733458158722276,0.22988411957984678
1,factorized_g1p5_r1p35,factorized_g2p5_r1p35,0.18019797653921993,0.06972192861382713,0.07672293690600307,0.17372555262037867,0.30219553309028135
1,factorized_g1p5_r1p35,factorized_g3_r1,0.19519626724639974,0.07553746788429004,0.08399752032645745,0.1884041371535255,0.33304964620115407
1,factorized_g1p5_r1p35,closed_g3,0.23982043521467836,0.07943332553852907,0.11229523416672132,0.23994256319123164,0.36823422339156486
1,factorized_g2_r1p35,factorized_g2p5_r1p35,0.11338843025375485,0.05526605604583612,0.043270483985734305,0.10405761742756306,0.21451438140636422
1,factorized_g2_r1p35,factorized_g3_r1,0.21281222333321664,0.07935222792841488,0.09027222394451935,0.20847089938600064,0.34940102896873493
1,factorized_g2_r1p35,closed_g3,0.24219981634233137,0.07998339534637386,0.11668216751226611,0.24213132591451242,0.3724910074243273
1,factorized_g2p5_r1p35,factorized_g3_r1,0.23237143740029517,0.08155485734026538,0.10281742048755713,0.23244977787143828,0.36579362622334893
1,factorized_g2p5_r1p35,closed_g3,0.25014688207274705,0.08117671779735594,0.11950813149201311,0.250274499876029,0.3777497682656378
1,factorized_g3_r1,closed_g3,0.2337004285125206,0.07735723229611062,0.1106806389708231,0.23367252515572975,0.35558196567231987
