seed,condition,fid,sfid,inception_score,fid_improvement_vs_baseline,sfid_improvement_vs_baseline,inception_score_improvement_vs_baseline
0,baseline,88.04288599405504,220.91965000110983,29.03587532043457,0.0,0.0,0.0
0,factorized_g1_r1p5,75.30148162349536,217.5591171544727,31.352020263671875,12.741404370559678,3.360532846637142,2.3161449432373047
0,factorized_g1p5_r1p35,74.69276344892188,217.11853400973317,32.409996032714844,13.35012254513316,3.801115991376662,3.3741207122802734
0,factorized_g2_r1p35,74.1071026833979,217.5081695727747,32.000606536865234,13.935783310657143,3.4114804283351248,2.964731216430664
0,factorized_g2p5_r1p35,75.01238634851853,217.6557733279551,30.966087341308597,13.030499645536509,3.2638766731547264,1.930212020874027
0,factorized_g3_r1,80.21040297325646,220.6303108794914,30.752029418945312,7.832483020798577,0.2893391216184398,1.7161540985107422
0,closed_g3,74.35138447330723,219.4753525347379,32.5786247253418,13.691501520747806,1.4442974663719212,3.5427494049072266
1,baseline,87.67439128814914,218.4659994219953,29.12399673461914,0.0,0.0,0.0
1,factorized_g1_r1p5,73.95631621659135,215.32571766082023,32.20717239379883,13.718075071557791,3.1402817611750606,3.0831756591796875
1,factorized_g1p5_r1p35,74.1644899629132,215.48540334980737,31.706802368164062,13.509901325235944,2.9805960721879217,2.582805633544922
1,factorized_g2_r1p35,73.80319993616968,215.23695051938944,31.00848388671875,13.871191351979462,3.2290489026058538,1.8844871520996094
1,factorized_g2p5_r1p35,74.66025065547524,215.67844078110895,30.339040756225582,13.0141406326739,2.7875586408863455,1.2150440216064418
1,factorized_g3_r1,79.40813500587149,219.3028053018811,29.239826202392575,8.266256282277652,-0.8368058798858158,0.11582946777343395
1,closed_g3,73.29175698598345,217.35511636987417,31.91855239868164,14.382634302165684,1.1108830521211246,2.7945556640625
