seed,condition,mode,gamma,response_scale,control_action_mean,control_action_std,control_action_q05,control_action_median,control_action_q95,forcing_action_mean,forcing_action_std,forcing_action_q05,forcing_action_median,forcing_action_q95,response_control_action_mean,response_control_action_std,response_control_action_q05,response_control_action_median,response_control_action_q95,forcing_response_cross_action_mean,forcing_response_cross_action_std,forcing_response_cross_action_q05,forcing_response_cross_action_median,forcing_response_cross_action_q95,drift_energy_mean,drift_energy_std,drift_energy_q05,drift_energy_median,drift_energy_q95
0,factorized_g1_r1p5,factorized,1.0,1.5,0.0132012903726264,0.0092382414527212,0.0032410872528853,0.0108324504517077,0.0321624557157047,0.002107484001239,0.0006856468805014,0.0011268519917539,0.0020390198789391,0.003370893032712,0.0112050552064145,0.0091170125441155,0.0017331511718248,0.0088099272841831,0.0301569423329727,-0.0001112488354946,0.0004681722195811,-0.0009700973441195,-1.1262789188464224e-05,0.000436087716691,0.5032056641851366,0.1562390182249233,0.3301726984158158,0.464482684135437,0.8529258342385292
0,factorized_g1p5_r1p35,factorized,1.5,1.35,0.0102218540694304,0.0049668066065018,0.0040690880013353,0.0091930893430253,0.020335022813233,0.0047418390047617,0.0015427054892544,0.0025354169254133,0.0045877947704866,0.0075845093576499,0.0055399816510209,0.0042344663274736,0.0010396759568463,0.0045330891707756,0.0144282976333049,-5.9966581980162814e-05,0.000509551246121,-0.0009798315119419,4.649521712167372e-05,0.0005410966614894,0.4916190718357265,0.145841512473731,0.3284678973257541,0.4542545355856419,0.818538171589374
0,factorized_g2_r1p35,factorized,2.0,1.35,0.0153833897371486,0.006641942266129,0.0067768571226042,0.0142170111931045,0.027717682674498,0.0084299360049563,0.0027425875220057,0.0045074079670157,0.0081560795157565,0.0134835721308481,0.0071648286405917,0.0051954422074229,0.0016239332317411,0.0059450577811191,0.017107006002093,-0.0002113749075634,0.0007882536348956,-0.0016886483023399,-5.9000764920256256e-05,0.0006818599989737,0.5126681573408841,0.1556517713896731,0.3387267131805419,0.4743522596359253,0.8487819876968857
0,factorized_g2p5_r1p35,factorized,2.5,1.35,0.0213751886509612,0.0085158173021596,0.0099737669755995,0.0202117952622938,0.037029736681201,0.013171775001903,0.0042852930042562,0.0070428248105745,0.0127438741590594,0.0210680820874986,0.008644914296899,0.0060739539350065,0.0022027073759216,0.0073844739365677,0.0198621292433253,-0.0004415006414217,0.0011039167958384,-0.0025362153284387,-0.0002348517204768,0.0008254917012043,0.5338026345010101,0.1648424223319141,0.3475791012272238,0.491453995257616,0.8794670711457728
0,factorized_g3_r1,factorized,3.0,1.0,0.0189673560190468,0.0061708219570179,0.0101416677016532,0.0183511790819466,0.0303380374305997,0.0189673560190468,0.0061708219570179,0.0101416677016532,0.0183511790819466,0.0303380374305997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4796926840779185,0.1297268838796324,0.3340542391762138,0.4466702970862388,0.7543631032407283
0,closed_g3,closed,3.0,1.0,0.0206559803624794,0.0066649834641061,0.0111713250262546,0.0198127226319047,0.0324037046387675,0.0206559803624794,0.0066649834641061,0.0111713250262546,0.0198127226319047,0.0324037046387675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.489939269375354,0.1317947518987453,0.3372518860921263,0.4562248216569423,0.7811678284704684
1,factorized_g1_r1p5,factorized,1.0,1.5,0.0132833619930908,0.0098574451087424,0.0034764312186707,0.0109430681519006,0.0301741783663819,0.0020599548478399,0.0006507204952722,0.0011530124236669,0.0019636483270369,0.0032077965419157,0.0113118822440002,0.009694405662465,0.0021051001399124,0.008857512528616,0.028290231509789,-8.847509412699894e-05,0.0004187633869993,-0.0008421508707528,-1.102440891209258e-05,0.0004370216670621,0.5065765937316418,0.1664360439860382,0.33138765848428,0.4623770771920681,0.8293550665378568
1,factorized_g1p5_r1p35,factorized,1.5,1.35,0.010209340210685,0.0052338864195016,0.0042966493719432,0.009165077928701,0.0193663572075311,0.0046348984054259,0.0014641211128751,0.0025942778767785,0.0044182088384695,0.007217542215425,0.0056071012196712,0.0045112425864218,0.001179049828877,0.0044532097461019,0.0138923055562105,-3.265941158618419e-05,0.0004575210491289,-0.0008549274735719,3.651934068955144e-05,0.0005455196671723,0.4955855589357018,0.1565946007411948,0.3296738864332438,0.4530258378386498,0.8090651879906651
1,factorized_g2_r1p35,factorized,2.0,1.35,0.0152930419149927,0.0067579891184375,0.0071610505504359,0.0140768725708767,0.0273931762918073,0.0082398193913599,0.002602881981089,0.0046120496946678,0.0078545933081477,0.0128311861676629,0.0072169693891778,0.0053392744071803,0.0017624598373461,0.0059048795104824,0.0162662823012772,-0.0001637468478205,0.0007074099485842,-0.0014434765849509,-5.323331812974173e-05,0.0007365410893283,0.5159453209997714,0.1648301192418237,0.3393098950982095,0.4709666383266448,0.8513570628464219
1,factorized_g2p5_r1p35,factorized,2.5,1.35,0.0212155749217956,0.0085154895411355,0.0105709307384968,0.0196938883868278,0.0364400125275133,0.0128747177858135,0.004067003091361,0.0072063272632658,0.0122728023154195,0.0200487285747658,0.0087130861900405,0.0061173291288124,0.0023776487301289,0.0072463220353768,0.019411483431874,-0.0003722290769408,0.0010098624272747,-0.0022501142291703,-0.0002246117306458,0.0008612320779217,0.536536073205471,0.172910814772537,0.3491677279919385,0.490547376871109,0.890932936400175
