time,condition_a,condition_b,comparison,paired_rms_mean,paired_rms_std,baseline_projection_scale_mean,baseline_projection_scale_std,rbf_bandwidth_mean,rbf_bandwidth_std,swd_mean_mean,swd_mean_std,swd_std_mean,swd_std_std,linear_mmd2_mean_mean,linear_mmd2_mean_std,linear_mmd2_std_mean,linear_mmd2_std_std,c2st_auc_mean_mean,c2st_auc_mean_std,c2st_auc_std_mean,c2st_auc_std_std,swd_mean_excess_over_split_null_mean,swd_mean_excess_over_split_null_std,linear_mmd2_mean_excess_over_split_null_mean,linear_mmd2_mean_excess_over_split_null_std,c2st_auc_mean_excess_over_split_null_mean,c2st_auc_mean_excess_over_split_null_std,seed_count
0.0,baseline,baseline,within_condition_split,0.0,0.0,1.000962495803833,0.0013046978425032356,7.970922962466224,0.03784303564250046,0.10910645832467185,0.0005213578511226254,0.003881360677634,0.0005693235986630909,0.0027396784772798,0.001497084573946297,0.0045993965458914,8.303494138123656e-05,,,,,,,,,,,2
0.0,factorized_g1_r1p5,factorized_g1_r1p5,within_condition_split,0.0,0.0,1.000962495803833,0.0013046978425032356,7.970922962466224,0.03784303564250046,0.10989683385536761,0.002136220082083888,0.0044595128151726,0.001266925881769557,-0.00013235204903384997,3.9662493347099075e-06,0.0037318259373120997,0.0015741843988966635,,,,,,,,,,,2
0.0,factorized_g1p5_r1p35,factorized_g1p5_r1p35,within_condition_split,0.0,0.0,1.000962495803833,0.0013046978425032356,7.970922962466224,0.03784303564250046,0.1092122650586354,0.00012607919222864207,0.0033448182550002,0.0025498189211420356,0.0010464241634945502,0.003165812798241678,0.0061216787026082,0.003324026940193791,,,,,,,,,,,2
0.0,factorized_g2_r1p35,factorized_g2_r1p35,within_condition_split,0.0,0.0,1.000962495803833,0.0013046978425032356,7.970922962466224,0.03784303564250046,0.10870946138979046,0.002498727650251472,0.00498954176309185,0.00015926498243514831,-0.0016820236948669,0.0001197742025966463,0.0050729559847958,0.0009614482060031954,,,,,,,,,,,2
0.0,factorized_g2p5_r1p35,factorized_g2p5_r1p35,within_condition_split,0.0,0.0,1.000962495803833,0.0013046978425032356,7.970922962466224,0.03784303564250046,0.1097812470594399,0.0007638191219481646,0.0036863172363877502,0.0002670384894756578,0.00205533760841075,0.0035158104610789813,0.00480919810601695,0.00017631030904476582,,,,,,,,,,,2
0.0,factorized_g3_r1,factorized_g3_r1,within_condition_split,0.0,0.0,1.000962495803833,0.0013046978425032356,7.970922962466224,0.03784303564250046,0.10926821436845019,3.667091559959567e-05,0.00268117445494165,0.0015529748738491397,-0.0012301867762976502,0.003283290550567582,0.006799754799833401,0.0002794332891040012,,,,,,,,,,,2
0.0,closed_g3,closed_g3,within_condition_split,0.0,0.0,1.000962495803833,0.0013046978425032356,7.970922962466224,0.03784303564250046,0.10914282155073185,0.0013600413018698427,0.0036089319693242998,0.0009334524937059918,0.0013119447894384972,0.0019021278828200993,0.00373121541626045,0.0005550863206963084,,,,,,,,,,,2
0.0,baseline,factorized_g1_r1p5,cross_condition,0.0,0.0,1.000962495803833,0.0013046978425032356,7.970922962466224,0.03784303564250046,0.08121098852526196,0.00018536680445504407,0.0024325547428162998,0.00019260658444395515,-0.0025353122007723,0.0007510323123412341,0.00686692288803055,0.0020497809619088756,,,,,-0.028290657564757772,0.0011434221621482053,-0.003838975414895275,0.0015015577239817376,,,2
0.0,baseline,factorized_g1p5_r1p35,cross_condition,0.0,0.0,1.000962495803833,0.0013046978425032356,7.970922962466224,0.03784303564250046,0.08032265330377895,0.0004337376974972559,0.00326689139397405,0.0007307626822526935,-0.0042458185839372,0.0025408772300857143,0.008831907733504049,0.0005015722391264739,,,,,-0.028836708387874672,0.000757456219172897,-0.006138869904324376,0.00020942854399172642,,,2
0.0,baseline,factorized_g2_r1p35,cross_condition,0.0,0.0,1.000962495803833,0.0013046978425032356,7.970922962466224,0.03784303564250046,0.0795857085006638,0.0010250687531372612,0.0027495271539097,0.0003983111393798045,-0.00036093797144335,0.0036481762194015667,0.0061052836970639,0.0032166908796507983,,,,,-0.029322251356567346,0.002535111503824312,-0.0008897653626498,0.0029595210337267416,,,2
0.0,baseline,factorized_g2p5_r1p35,cross_condition,0.0,0.0,1.000962495803833,0.0013046978425032356,7.970922962466224,0.03784303564250046,0.0794912672731179,0.0010923259296931173,0.0038029517981091497,0.00044090478168558236,-0.00011718090907450007,0.004158592408105791,0.005783656740082,2.782033448341371e-05,,,,,-0.02995258541893797,0.0012135565651058822,-0.002514688951919775,0.0031492294645394494,,,2
0.0,baseline,factorized_g3_r1,cross_condition,0.0,0.0,1.000962495803833,0.0013046978425032356,7.970922962466224,0.03784303564250046,0.080996103666398,0.0009503701649915459,0.0033006070828191496,0.00044357961343139985,-0.00113854347168405,0.0007413844806786635,0.0051234907324268,0.0004153095977109926,,,,,-0.028191232680163013,0.0007080266972300285,-0.0018932893221751247,0.0031315720429356026,,,2
0.0,baseline,closed_g3,cross_condition,0.0,0.0,1.000962495803833,0.0013046978425032356,7.970922962466224,0.03784303564250046,0.08038592989196214,0.001690281682599413,0.0035422786089598,0.0005440291648395502,-0.0007211685002998501,1.9425436580386355e-06,0.0073648338858388,0.0011176674370834557,,,,,-0.028738710045739697,0.0007495821061031741,-0.0027469801336589984,0.0017015487720412367,,,2
