seed,condition,fid,sfid,inception_score,fid_improvement_vs_baseline,sfid_improvement_vs_baseline,inception_score_improvement_vs_baseline,control_action_mean,forcing_action_mean,response_control_action_mean,forcing_response_cross_action_mean,drift_energy_mean,snapshot_path_length_rms_mean,endpoint_paired_rms_mean
0,factorized_g2_r1p35,74.1071026833979,217.5081695727747,32.000606536865234,13.935783310657143,3.4114804283351248,2.964731216430664,0.0153833897371486,0.0084299360049563,0.0071648286405917,-0.0002113749075634,0.5126681573408841,0.9985741892457008,0.3544195623248815
0,closed_g3,74.35138447330723,219.4753525347379,32.5786247253418,13.691501520747806,1.4442974663719212,3.5427494049072266,0.0206559803624794,0.0206559803624794,0.0,0.0,0.489939269375354,0.9771810929775238,0.3018421554267406
0,factorized_g1p5_r1p35,74.69276344892188,217.11853400973317,32.409996032714844,13.35012254513316,3.801115991376662,3.3741207122802734,0.0102218540694304,0.0047418390047617,0.0055399816510209,-5.9966581980162814e-05,0.4916190718357265,0.978058106958866,0.3024583409279585
0,factorized_g2p5_r1p35,75.01238634851853,217.6557733279551,30.966087341308597,13.030499645536509,3.2638766731547264,1.930212020874027,0.0213751886509612,0.013171775001903,0.008644914296899,-0.0004415006414217,0.5338026345010101,1.0186694189310077,0.3986945321261883
0,factorized_g1_r1p5,75.30148162349536,217.5591171544727,31.352020263671875,12.741404370559678,3.360532846637142,2.3161449432373047,0.0132012903726264,0.002107484001239,0.0112050552064145,-0.0001112488354946,0.5032056641851366,0.9885839301347732,0.3182823891565203
0,factorized_g3_r1,80.21040297325646,220.6303108794914,30.752029418945312,7.832483020798577,0.2893391216184398,1.7161540985107422,0.0189673560190468,0.0189673560190468,0.0,0.0,0.4796926840779185,0.966733774125576,0.25530926271528
0,baseline,88.04288599405504,220.91965000110983,29.03587532043457,0.0,0.0,0.0,,,,,,0.9171664646267892,0.0
1,closed_g3,73.29175698598345,217.35511636987417,31.91855239868164,14.382634302165684,1.1108830521211246,2.7945556640625,0.0201419909798639,0.0201419909798639,0.0,0.0,0.4943810954977572,0.9805885508060456,0.3022172785252333
1,factorized_g2_r1p35,73.80319993616968,215.23695051938944,31.00848388671875,13.871191351979462,3.2290489026058538,1.8844871520996094,0.0152930419149927,0.0082398193913599,0.0072169693891778,-0.0001637468478205,0.5159453209997714,1.0008534585237503,0.3576694438681006
1,factorized_g1_r1p5,73.95631621659135,215.32571766082023,32.20717239379883,13.718075071557791,3.1402817611750606,3.0831756591796875,0.0132833619930908,0.0020599548478399,0.0113118822440002,-8.847509412699894e-05,0.5065765937316418,0.9909339129924776,0.3219444930925965
1,factorized_g1p5_r1p35,74.1644899629132,215.48540334980737,31.706802368164062,13.509901325235944,2.9805960721879217,2.582805633544922,0.010209340210685,0.0046348984054259,0.0056071012196712,-3.265941158618419e-05,0.4955855589357018,0.9809280381202696,0.30579459541291
1,factorized_g2p5_r1p35,74.66025065547524,215.67844078110895,30.339040756225582,13.0141406326739,2.7875586408863455,1.2150440216064418,0.0212155749217956,0.0128747177858135,0.0087130861900405,-0.0003722290769408,0.536536073205471,1.020493747651577,0.4023978479281068
1,factorized_g3_r1,79.40813500587149,219.3028053018811,29.239826202392575,8.266256282277652,-0.8368058798858158,0.11582946777343395,0.0185395936217036,0.0185395936217036,0.0,0.0,0.4841881428347528,0.9702298713326454,0.2577924675345421
1,baseline,87.67439128814914,218.4659994219953,29.12399673461914,0.0,0.0,0.0,,,,,,0.922904887199402,0.0
