seed,condition,snapshot_path_length_rms_mean,snapshot_path_length_rms_std,endpoint_paired_rms_mean,endpoint_paired_rms_std
0,baseline,0.9171664646267892,0.1207085202771249,0.0,0.0
0,factorized_g1_r1p5,0.9885839301347732,0.1458625578276415,0.3182823891565203,0.1380405756337207
0,factorized_g1p5_r1p35,0.978058106958866,0.1387496776948298,0.3024583409279585,0.1183074194517805
0,factorized_g2_r1p35,0.9985741892457008,0.1443221299609196,0.3544195623248815,0.1290799472296417
0,factorized_g2p5_r1p35,1.0186694189310077,0.1493268093803017,0.3986945321261883,0.1377532237209315
0,factorized_g3_r1,0.966733774125576,0.1258901944281593,0.25530926271528,0.0695987116993332
0,closed_g3,0.9771810929775238,0.1267225525988606,0.3018421554267406,0.0892742478082953
1,baseline,0.922904887199402,0.1309213979471325,0.0,0.0
1,factorized_g1_r1p5,0.9909339129924776,0.152874207677837,0.3219444930925965,0.1395305209529858
1,factorized_g1p5_r1p35,0.9809280381202696,0.1463880849996075,0.30579459541291,0.1207700162290422
1,factorized_g2_r1p35,1.0008534585237503,0.1508686159246939,0.3576694438681006,0.1302118438367197
1,factorized_g2p5_r1p35,1.020493747651577,0.1550365180434428,0.4023978479281068,0.1385449193779543
1,factorized_g3_r1,0.9702298713326454,0.1337934109906751,0.2577924675345421,0.072883757373086
1,closed_g3,0.9805885508060456,0.1344274479369934,0.3022172785252333,0.0887677723339971
