condition,mode,gamma,response_scale,control_action_mean_mean,control_action_mean_std,control_action_std_mean,control_action_std_std,control_action_q05_mean,control_action_q05_std,control_action_median_mean,control_action_median_std,control_action_q95_mean,control_action_q95_std,forcing_action_mean_mean,forcing_action_mean_std,forcing_action_std_mean,forcing_action_std_std,forcing_action_q05_mean,forcing_action_q05_std,forcing_action_median_mean,forcing_action_median_std,forcing_action_q95_mean,forcing_action_q95_std,response_control_action_mean_mean,response_control_action_mean_std,response_control_action_std_mean,response_control_action_std_std,response_control_action_q05_mean,response_control_action_q05_std,response_control_action_median_mean,response_control_action_median_std,response_control_action_q95_mean,response_control_action_q95_std,forcing_response_cross_action_mean_mean,forcing_response_cross_action_mean_std,forcing_response_cross_action_std_mean,forcing_response_cross_action_std_std,forcing_response_cross_action_q05_mean,forcing_response_cross_action_q05_std,forcing_response_cross_action_median_mean,forcing_response_cross_action_median_std,forcing_response_cross_action_q95_mean,forcing_response_cross_action_q95_std,drift_energy_mean_mean,drift_energy_mean_std,drift_energy_std_mean,drift_energy_std_std,drift_energy_q05_mean,drift_energy_q05_std,drift_energy_median_mean,drift_energy_median_std,drift_energy_q95_mean,drift_energy_q95_std,seed_count
factorized_g1_r1p5,factorized,1.0,1.5,0.013242326182858598,5.80333993733464e-05,0.0095478432807318,0.00043784310410809323,0.0033587592357779998,0.0001664133141181912,0.01088775930180415,7.821852592566045e-05,0.0311683170410433,0.0014059243965857682,0.00208371942453945,3.3608186672559254e-05,0.0006681836878868,2.4696683837900953e-05,0.0011399322077104,1.8498218804451304e-05,0.0020013341029879997,5.32957354585993e-05,0.00328934478731385,0.00011532663462979308,0.01125846872520735,7.553812269091962e-05,0.00940570910329025,0.00040827858939537776,0.0019191256558686001,0.0002630076375900808,0.00883371990639955,3.364784902292321e-05,0.02922358692138085,0.0013199638815875145,-9.986196481079947e-05,1.6103466954019307e-05,0.0004434678032902,3.493732056910159e-05,-0.0009061241074361499,9.047181894649753e-05,-1.1143599050278402e-05,1.6856030992351304e-07,0.00043655469187655,6.604026406965117e-07,0.5048911289583892,0.002383607141235918,0.16133753110548077,0.007210386063618246,0.3307801784500479,0.0008591065032818641,0.46342988066375257,0.001488888948169623,0.841140450388193,0.016667049678918223,2
factorized_g1p5_r1p35,factorized,1.5,1.35,0.0102155971400577,8.84863437768285e-06,0.0051003465130017005,0.00018885394689019348,0.00418286868663925,0.00016091018829295095,0.009179083635863151,1.9807061019339296e-05,0.01985069001038205,0.0006849500184939871,0.004688368705093799,7.561842297449777e-05,0.0015034133010647498,5.5567545433118855e-05,0.0025648474010959,4.1620977857424446e-05,0.00450300180447805,0.0001199153625231317,0.00740102578653745,0.0002594849547398747,0.0055735414353460504,4.746070214294318e-05,0.004372854456947701,0.00019571036957371574,0.00110936289286165,9.855221003313395e-05,0.004493149458438751,5.6483282864053294e-05,0.0141603015947577,0.00037900363237571255,-4.63129967831735e-05,1.930908536059881e-05,0.00048353614762495004,3.679090511958583e-05,-0.0009173794927569,8.83204925290117e-05,4.150727890561258e-05,7.054009873432727e-06,0.00054330816433085,3.1275373116052555e-06,0.49360231538571414,0.002804729925881476,0.1512180566074629,0.007603581632621153,0.32907089187949895,0.0008527630759430807,0.45364018671214584,0.0008688205089267328,0.8138016797900196,0.00669841094071609,2
factorized_g2_r1p35,factorized,2.0,1.35,0.01533821582607065,6.388555771187306e-05,0.00669996569228325,8.205751620269388e-05,0.00696895383652005,0.0002716657781070998,0.0141469418819906,9.909297008341618e-05,0.02755542948315265,0.0002294606637389114,0.0083348776981581,0.00013443274669023702,0.00267273475154735,9.878673535153314e-05,0.00455972883084175,7.399287521787545e-05,0.0080053364119521,0.0002131829418343972,0.0131573791492555,0.0004613065385191723,0.00719089901488475,3.686907690137436e-05,0.0052673583073016,0.00010170472380143552,0.0016931965345436,9.795310219804998e-05,0.005924968645800751,2.8410327623559057e-05,0.016686644151685102,0.000594481429951103,-0.00018756087769195,3.3678124018962606e-05,0.0007478317917399,5.716511880690901e-05,-0.0015660624436454,0.00017336258392091367,-5.611704152499899e-05,4.078200735705411e-06,0.000709200544151,3.8665369792412013e-05,0.5143067391703278,0.0023173046462573316,0.1602409453157484,0.006490072006344675,0.3390183041393757,0.0004123718886481325,0.4726594489812851,0.0023939957863219354,0.8500695252716538,0.00182085310030197,2
factorized_g2p5_r1p35,factorized,2.5,1.35,0.021295381786378402,0.00011286395026347165,0.00851565342164755,2.3176204274923426e-07,0.01027234885704815,0.0004222585462235555,0.0199528418245608,0.00036621546366514683,0.03673487460435715,0.0004169979481020713,0.01302324639385825,0.00021005117189728327,0.0041761480478086,0.00015435427767281697,0.00712457603692015,0.00011561369303865097,0.012508338237239451,0.00033309809506382236,0.0205584053311322,0.0007207917812796915,0.00867900024346975,4.820480792667973e-05,0.00609564153190945,3.067089367543274e-05,0.0022901780530252503,0.00012370221786993932,0.0073153979859722496,9.768814616589904e-05,0.01963680633759965,0.0003186547091905296,-0.00040686485918124996,4.8982392987845546e-05,0.00105688961155655,6.650648181161115e-05,-0.0023931647788044998,0.000202304027397611,-0.0002297317255613,7.240766248781405e-06,0.000843361889563,2.527226273903533e-05,0.5351693538532405,0.0019328330438821597,0.16887661855222555,0.005705215008038736,0.34837341460958116,0.0011233287581042229,0.49100068606436253,0.000641076009047539,0.8852000037729739,0.008107591073559005,2
factorized_g3_r1,factorized,3.0,1.0,0.018753474820375197,0.0003024736918979911,0.0060136532042592995,0.00022227018173247542,0.0102593896043836,0.00016648391142969778,0.01801200721791245,0.00047966145009245814,0.02960410314614995,0.00103793981895943,0.018753474820375197,0.0003024736918979911,0.0060136532042592995,0.00022227018173247542,0.0102593896043836,0.00016648391142969778,0.01801200721791245,0.00047966145009245814,0.02960410314614995,0.00103793981895943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48194041345633565,0.003178769371501998,0.1349585160392366,0.007398645153459502,0.33392156063020234,0.000187635799205343,0.4471576308459043,0.0006891940123213237,0.7674042188227175,0.018442922524524303,2
closed_g3,closed,3.0,1.0,0.02039898567117165,0.00036344537790530785,0.00647335494451735,0.0002710036513398891,0.0112899862394697,0.0001678122970564406,0.01965885279016215,0.00021760481703251455,0.032042754566384196,0.000510460487704015,0.02039898567117165,0.00036344537790530785,0.00647335494451735,0.0002710036513398891,0.0112899862394697,0.0001678122970564406,0.01965885279016215,0.00021760481703251455,0.032042754566384196,0.000510460487704015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49216018243655557,0.0031408453720028957,0.13685624198230423,0.007158027921986012,0.33810682557895777,0.0012090670172852903,0.4570674037188291,0.0011915909793326128,0.7916408799290656,0.014811131412179523,2
