condition,fid_mean,fid_std,sfid_mean,sfid_std,inception_score_mean,inception_score_std,fid_improvement_vs_baseline_mean,fid_improvement_vs_baseline_std,sfid_improvement_vs_baseline_mean,sfid_improvement_vs_baseline_std,inception_score_improvement_vs_baseline_mean,inception_score_improvement_vs_baseline_std,control_action_mean_mean,control_action_mean_std,forcing_action_mean_mean,forcing_action_mean_std,response_control_action_mean_mean,response_control_action_mean_std,forcing_response_cross_action_mean_mean,forcing_response_cross_action_mean_std,drift_energy_mean_mean,drift_energy_mean_std,snapshot_path_length_rms_mean_mean,snapshot_path_length_rms_mean_std,endpoint_paired_rms_mean_mean,endpoint_paired_rms_mean_std,seed_count
factorized_g2_r1p35,73.95515130978379,0.21489169338629663,216.37256004608207,1.605994394208813,31.504545211791992,0.7015366536873477,13.903487331318303,0.04567341199110971,3.3202646654704893,0.12899856894537565,2.4246091842651367,0.7638479032250058,0.01533821582607065,6.388555771187306e-05,0.0083348776981581,0.00013443274669023702,0.00719089901488475,3.686907690137436e-05,-0.00018756087769195,3.3678124018962606e-05,0.5143067391703278,0.0023173046462573316,0.9997138238847256,0.0016116867626588898,0.35604450309649105,0.0022980132772632603,2
closed_g3,73.82157072964534,0.7492697818183075,218.41523445230604,1.4992333698921099,32.24858856201172,0.46674161825497845,14.037067911456745,0.48870467644090115,1.277590259246523,0.235759593262079,3.1686525344848633,0.5290528677926365,0.02039898567117165,0.00036344537790530785,0.02039898567117165,0.00036344537790530785,0.0,0.0,0.0,0.0,0.49216018243655557,0.0031408453720028957,0.9788848218917847,0.0024094365371549204,0.3020297169759869,0.00026525208672391077,2
factorized_g1p5_r1p35,74.42862670591754,0.37354576427779873,216.30196867977025,1.1547977641971825,32.05839920043945,0.4972330086912758,13.430011935184552,0.1129806589003924,3.390856031782292,0.5801951989569962,2.9784631729125977,0.5595442582289338,0.0102155971400577,8.84863437768285e-06,0.004688368705093799,7.561842297449777e-05,0.0055735414353460504,4.746070214294318e-05,-4.63129967831735e-05,1.930908536059881e-05,0.49360231538571414,0.002804729925881476,0.9794930725395679,0.0020293477857670733,0.3041264681704342,0.0023590881700732624,2
factorized_g2p5_r1p35,74.83631850199689,0.24899753644873804,216.66710705453204,1.3981852525357938,30.65256404876709,0.4433888924320673,13.022320139105204,0.0115675689286683,3.025717657020536,0.33680771061840487,1.5726280212402344,0.5057001419697253,0.021295381786378402,0.00011286395026347165,0.01302324639385825,0.00021005117189728327,0.00867900024346975,4.820480792667973e-05,-0.00040686485918124996,4.8982392987845546e-05,0.5351693538532405,0.0019328330438821597,1.0195815832912922,0.0012899952094279784,0.40054619002714753,0.00261863971641188,2
factorized_g1_r1p5,74.62889892004335,0.9511755810393911,216.44241740764647,1.5792519270602634,31.77959632873535,0.6046838701588895,13.229739721058735,0.6906104756619849,3.250407303906101,0.15574103609393541,2.699660301208496,0.5423726206212314,0.013242326182858598,5.80333993733464e-05,0.00208371942453945,3.3608186672559254e-05,0.01125846872520735,7.553812269091962e-05,-9.986196481079947e-05,1.6103466954019307e-05,0.5048911289583892,0.002383607141235918,0.9897589215636253,0.001661688814354948,0.3201134411245584,0.0025894985266094,2
factorized_g3_r1,79.80926898956398,0.5672891200666659,219.96655809068625,0.9386881959911949,29.995927810668945,1.0692891489565515,8.049369651538115,0.3067240146892595,-0.273733379133688,0.7963047671629938,0.9159917831420881,1.1316003984942082,0.018753474820375197,0.0003024736918979911,0.018753474820375197,0.0003024736918979911,0.0,0.0,0.0,0.0,0.48194041345633565,0.003178769371501998,0.9684818227291108,0.0024721140428060387,0.25655086512491104,0.0017558909667753596,2
baseline,87.85863864110209,0.26056510537740635,219.69282471155256,1.7349929631541887,29.079936027526855,0.062311249537658084,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,0.9200356759130957,0.004057677514408433,0.0,0.0,2
