condition,fid_mean,fid_std,sfid_mean,sfid_std,inception_score_mean,inception_score_std,fid_improvement_vs_baseline_mean,fid_improvement_vs_baseline_std,sfid_improvement_vs_baseline_mean,sfid_improvement_vs_baseline_std,inception_score_improvement_vs_baseline_mean,inception_score_improvement_vs_baseline_std,seed_count
baseline,87.85863864110209,0.26056510537740635,219.69282471155256,1.7349929631541887,29.079936027526855,0.062311249537658084,0.0,0.0,0.0,0.0,0.0,0.0,2
factorized_g1_r1p5,74.62889892004335,0.9511755810393911,216.44241740764647,1.5792519270602634,31.77959632873535,0.6046838701588895,13.229739721058735,0.6906104756619849,3.250407303906101,0.15574103609393541,2.699660301208496,0.5423726206212314,2
factorized_g1p5_r1p35,74.42862670591754,0.37354576427779873,216.30196867977025,1.1547977641971825,32.05839920043945,0.4972330086912758,13.430011935184552,0.1129806589003924,3.390856031782292,0.5801951989569962,2.9784631729125977,0.5595442582289338,2
factorized_g2_r1p35,73.95515130978379,0.21489169338629663,216.37256004608207,1.605994394208813,31.504545211791992,0.7015366536873477,13.903487331318303,0.04567341199110971,3.3202646654704893,0.12899856894537565,2.4246091842651367,0.7638479032250058,2
factorized_g2p5_r1p35,74.83631850199689,0.24899753644873804,216.66710705453204,1.3981852525357938,30.65256404876709,0.4433888924320673,13.022320139105204,0.0115675689286683,3.025717657020536,0.33680771061840487,1.5726280212402344,0.5057001419697253,2
factorized_g3_r1,79.80926898956398,0.5672891200666659,219.96655809068625,0.9386881959911949,29.995927810668945,1.0692891489565515,8.049369651538115,0.3067240146892595,-0.273733379133688,0.7963047671629938,0.9159917831420881,1.1316003984942082,2
closed_g3,73.82157072964534,0.7492697818183075,218.41523445230604,1.4992333698921099,32.24858856201172,0.46674161825497845,14.037067911456745,0.48870467644090115,1.277590259246523,0.235759593262079,3.1686525344848633,0.5290528677926365,2
