seed,condition,mode,gamma,response_scale,time,state_shift_mse_mean,state_shift_mse_std,state_shift_mse_q05,state_shift_mse_median,state_shift_mse_q95,energy_per_dimension_mean,energy_per_dimension_std,energy_per_dimension_q05,energy_per_dimension_median,energy_per_dimension_q95,nominal_gap_mse_mean,nominal_gap_mse_std,nominal_gap_mse_q05,nominal_gap_mse_median,nominal_gap_mse_q95,state_response_mse_mean,state_response_mse_std,state_response_mse_q05,state_response_mse_median,state_response_mse_q95,forcing_mse_mean,forcing_mse_std,forcing_mse_q05,forcing_mse_median,forcing_mse_q95,response_control_mse_mean,response_control_mse_std,response_control_mse_q05,response_control_mse_median,response_control_mse_q95,forcing_response_cross_mean,forcing_response_cross_std,forcing_response_cross_q05,forcing_response_cross_median,forcing_response_cross_q95,control_mse_mean,control_mse_std,control_mse_q05,control_mse_median,control_mse_q95,drift_mse_mean,drift_mse_std,drift_mse_q05,drift_mse_median,drift_mse_q95,baseline_drift_mse_mean,baseline_drift_mse_std,baseline_drift_mse_q05,baseline_drift_mse_median,baseline_drift_mse_q95,response_work_mean,response_work_std,response_work_q05,response_work_median,response_work_q95,forcing_work_mean,forcing_work_std,forcing_work_q05,forcing_work_median,forcing_work_q95,incremental_rate_q_mean,incremental_rate_q_std,incremental_rate_q_q05,incremental_rate_q_median,incremental_rate_q_q95
0,factorized_g1_r1p5,factorized,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003549541153406,0.0001963733076607,0.0001752684176608,0.0003095350111834,0.0006523268675664,0.0,0.0,0.0,0.0,0.0,0.0003549541153406,0.0001963733076607,0.0001752684176608,0.0003095350111834,0.0006523268675664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003549541153406,0.0001963733076607,0.0001752684176608,0.0003095350111834,0.0006523268675664,1.034337015748024,0.04060538671897,0.980802956223488,1.0277913212776184,1.105960202217102,1.034363343834877,0.0402965743667264,0.982288646697998,1.028035044670105,1.1077610790729522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
0,factorized_g1_r1p5,factorized,1.0,1.5,0.02,1.0968872198446889e-07,9.356357350144933e-08,5.1262217759529e-08,9.077263740664421e-08,2.087432825703672e-07,5.4844360992234445e-08,4.6781786750724665e-08,2.56311088797645e-08,4.53863187033221e-08,1.043716412851836e-07,0.0002868900918256,0.0003044417586075,0.0001275911869015,0.0002246552612632,0.0006178615934913,1.9287978579818342e-06,1.0767726882974744e-05,5.41500984496679e-08,2.2173408353864946e-07,6.95030207680246e-06,0.0002868900918256,0.0003044417586075,0.0001275911869015,0.0002246552612632,0.0006178615934913,4.821994644954586e-07,2.691931720743686e-06,1.3537524612416973e-08,5.5433520884662364e-08,1.737575519200615e-06,4.210135572236595e-06,2.5268830919347917e-05,-1.4731149349245245e-06,-6.710408229082532e-09,1.7802613274398024e-05,0.0002957925621012,0.0003532585904403,0.0001268801701371,0.0002252609701827,0.0006503821408841,1.02592509329319,0.0552110093884325,0.9657687067985534,1.015005350112915,1.122114109992981,1.0240847603082657,0.0537059610287093,0.96543727517128,1.0135804414749146,1.1210263669490814,1.862030073315757e-07,9.014481839779364e-07,-5.59570775493512e-08,8.508102666837658e-09,8.45676336780343e-07,5.054179568219297e-06,4.955159006556952e-06,2.2722265498487106e-06,4.067879217473092e-06,1.0123527908945089e-05,0.6736016637643916,1.7444962914992683,-0.708008062839508,0.0923764035105705,4.641041564941406
0,factorized_g1_r1p5,factorized,1.0,1.5,0.05,8.326244173275655e-07,1.219141607075947e-06,2.827822257245316e-07,5.458493603782699e-07,2.043217716618528e-06,4.1631220866378273e-07,6.095708035379735e-07,1.413911128622658e-07,2.7292468018913496e-07,1.0216088583092638e-06,0.0004617175587409,0.0004647700291416,0.0001502049984992,0.0003120804321952,0.0012621698551811,6.942068457510686e-05,0.0004238747070211,6.138794816479276e-07,5.988364591758e-06,0.0002121598634403,0.0004617175587409,0.0004647700291416,0.0001502049984992,0.0003120804321952,0.0012621698551811,1.7355171143776714e-05,0.0001059686767552,1.534698704119819e-07,1.4970911479395e-06,5.303996586007996e-05,2.8788968720176557e-05,8.131096094190903e-05,-3.0074438996052774e-06,5.209022219787585e-06,0.0001489827831392,0.0005366506673308,0.0006462678197557,0.0001542371006507,0.0003270110755693,0.0016059139044955,1.0345144898295402,0.1105528799006917,0.9495776802301408,1.0011406540870669,1.248840183019638,1.0317131280899048,0.1085974612629392,0.945861428976059,0.9992492496967316,1.22550048828125,4.632055448060335e-06,1.8644990447542795e-05,-9.523023578594803e-08,8.149716279604036e-07,1.6023014723032237e-05,1.5166002201567608e-05,1.5369488464152513e-05,5.081322865407856e-06,1.0640180789778242e-05,4.311732118367216e-05,2.5239130787989126,3.1673718442035765,-0.2784878075122833,1.532999873161316,8.571712398529051
0,factorized_g1_r1p5,factorized,1.0,1.5,0.1,7.529046091860891e-06,1.5679846734493545e-05,1.3012820431868022e-06,3.452809323789552e-06,2.5706549604365136e-05,3.7645230459304455e-06,7.839923367246773e-06,6.506410215934011e-07,1.726404661894776e-06,1.2853274802182568e-05,0.0010230263235862,0.0012587450874095,0.0002213227999163,0.0006170470442157,0.0032211887650191,0.0006075487914779,0.0029641098830667,6.27530682777433e-06,7.796294448780827e-05,0.0022358514484949,0.0010230263235862,0.0012587450874095,0.0002213227999163,0.0006170470442157,0.0032211887650191,0.0001518871978694,0.0007410274707666,1.5688267069435824e-06,1.9490736121952068e-05,0.0005589628621237,0.0001209100109956,0.0003170565676831,-3.4638760666894088e-06,3.294573616585694e-05,0.0005763881432358,0.0014167335418605,0.0020377189022948,0.0002387809312494,0.000728096201783,0.0050791949499398,1.0518584170341492,0.1764736051152135,0.9142603754997254,0.9913752377033234,1.4030770123004903,1.0444269119501113,0.1672162478072305,0.912102735042572,0.987711101770401,1.374424248933792,5.351996368593959e-05,0.0001935301591317,7.313017903243235e-07,1.1218420240766136e-05,0.0001913772190164,5.6696020398703696e-05,7.014858146526845e-05,1.2771372666975369e-05,3.436280894675292e-05,0.0001778382691554,3.767627925686495,2.696559511729967,0.5675489366054536,3.21139657497406,8.817151689529418
0,factorized_g1_r1p5,factorized,1.0,1.5,0.15,3.552114134970452e-05,8.10252484699702e-05,3.89371427900187e-06,1.3534308436646825e-05,0.0001326604324276,1.776057067485226e-05,4.05126242349851e-05,1.946857139500935e-06,6.767154218323412e-06,6.63302162138279e-05,0.0015551685262034,0.0017534892921208,0.0003084416559431,0.0009783619898371,0.0047271549934521,0.0018856112693415,0.0066534850146518,2.934968024419504e-05,0.0003241830854676,0.0080971066839992,0.0015551685262034,0.0017534892921208,0.0003084416559431,0.0009783619898371,0.0047271549934521,0.0004714028173353,0.0016633712536629,7.33742006104876e-06,8.10457713669166e-05,0.0020242766709998,0.0002802341224481,0.0006467231344233,-5.919071281823561e-06,9.37028271437157e-05,0.0011302638915367,0.0025870395973179,0.0039275761772492,0.0003464456371148,0.001331886393018,0.0095562471542507,1.0549157165288925,0.2179092354392182,0.8711691349744797,0.9812994003295898,1.5322760999202722,1.0408447219729424,0.19687766070839,0.8696871101856232,0.9770306050777436,1.4353283107280732,0.0002213443740846,0.0006774876099744,5.271336999612686e-06,4.9551577831152827e-05,0.0009027725143823,0.0001346902506356,0.0001792913755652,2.2951207938604057e-05,7.618643940077163e-05,0.000426647052518,4.056019522175193,2.099308934956731,1.217960637807846,3.775305032730103,7.653975105285644
0,factorized_g1_r1p5,factorized,1.0,1.5,0.2,0.0001123612252772,0.0002502512237413,9.232036018147484e-06,4.081322003912646e-05,0.0004156843031523,5.618061263862728e-05,0.0001251256118706,4.616018009073742e-06,2.040661001956323e-05,0.0002078421515761,0.0020400381875369,0.0019176237315786,0.0004210246974253,0.0014410199946723,0.0056620091665536,0.0043789752255211,0.0117625244035055,7.549813890364022e-05,0.0008882780384737,0.0185648143291473,0.0020400381875369,0.0019176237315786,0.0004210246974253,0.0014410199946723,0.0056620091665536,0.0010947438063802,0.0029406311008763,1.887453472591005e-05,0.0002220695096184,0.0046412035822868,0.0004024379681941,0.000740149565741,-4.739253631669271e-06,0.0001707144401734,0.001760859490605,0.0039396579150343,0.005306649983299,0.0004958373785484,0.0022053110878914,0.013692119019106,1.0479522549510003,0.2445413248107153,0.824472975730896,0.96456977725029,1.5850804209709164,1.026882426917553,0.2164817366478306,0.8231184899806976,0.9587160050868988,1.4749029755592344,0.0006072763573912,0.001543580128309,1.618298647372285e-05,0.0001574531415826,0.0027635067701339,0.0002316916001027,0.0002731269253916,3.801255224971101e-05,0.0001435484664398,0.0007393446256173,3.975596198394895,1.669548548731302,1.5462251245975496,3.842287063598633,7.036599683761595
0,factorized_g1_r1p5,factorized,1.0,1.5,0.3,0.000615471680373,0.0012181195143913,3.9088615631044375e-05,0.0002370087604504,0.0024709857767447,0.0003077358401865,0.0006090597571956,1.9544307815522188e-05,0.0001185043802252,0.0012354928883723,0.0030594164508511,0.0020800850757935,0.000878634667606,0.002536830259487,0.0072319692466408,0.0149024480899279,0.0288066481300831,0.0003658894551335,0.0043638653587549,0.0675106037408112,0.0030594164508511,0.0020800850757935,0.000878634667606,0.002536830259487,0.0072319692466408,0.0037256120224819,0.0072016620325207,9.147236378339584e-05,0.0010909663396887,0.0168776509352028,0.000545587807265,0.0008333405664648,-0.000239955059078,0.000355599244358,0.0020360878086648,0.0078762040520668,0.0089194817691943,0.0011901097022928,0.0049719095695763,0.0253661407157778,1.017934438943863,0.2852599114902262,0.7233240067958832,0.9345329403877258,1.6554501831531525,0.9781841455101968,0.2436546797999886,0.7220698356628418,0.9100767970085144,1.475430369377136,0.0026517538811253,0.0053323628583062,9.041760458785574e-05,0.0008612923556938,0.0112909943331032,0.0004538034595698,0.0004072235902765,7.847474225854968e-05,0.000333061456331,0.0012310071266256,3.7498495051860807,1.2264093603218158,2.072834873199463,3.605158805847168,5.927171134948731
0,factorized_g1_r1p5,factorized,1.0,1.5,0.4,0.0021835975617832,0.0037819319383993,0.0001362854949547,0.0008968500769697,0.0084679530933499,0.0010917987808916,0.0018909659691996,6.814274747739546e-05,0.0004484250384848,0.0042339765466749,0.0041041240168851,0.0020554377408457,0.0015208895958494,0.0036512115038931,0.0078498064540326,0.0356235299696563,0.0509960852460405,0.001443009218201,0.0165242739021778,0.1430036410689354,0.0041041240168851,0.0020554377408457,0.0015208895958494,0.0036512115038931,0.0078498064540326,0.008905882492414,0.0127490213115101,0.0003607523045502,0.0041310684755444,0.0357509102672338,0.0004716034959674,0.0009434139215023,-0.0008601287263445,0.0004262997390469,0.0019262180139776,0.0139532134901965,0.013440171438794,0.0026487351860851,0.0097058499231934,0.0409505428746342,0.989735534608364,0.3277915978529713,0.6278032720088959,0.9045529067516328,1.7119348883628842,0.91638397192955,0.2655689086330333,0.6196899205446244,0.8426989912986755,1.459418386220932,0.0077219523971507,0.0125052416276602,0.0003457627288298,0.003151727374643,0.0320795292034745,0.0006564230644089,0.000474386355765,0.0001644644653424,0.0005531533970497,0.0015374939946923,3.4692889930009843,0.9160822438719898,2.186349654197693,3.386260390281677,5.1391042470932
0,factorized_g1_r1p5,factorized,1.0,1.5,0.5,0.0060207932802441,0.0090393072647162,0.0004364051652373,0.0028413956752046,0.0232506703585385,0.003010396640122,0.0045196536323581,0.0002182025826186,0.0014206978376023,0.0116253351792692,0.0051654448144836,0.0020080973460232,0.0023271548678167,0.0048979280982166,0.0090397207997739,0.0692746491622529,0.0771511771028615,0.0049955708440393,0.0439861286431551,0.2400835089385509,0.0051654448144836,0.0020080973460232,0.0023271548678167,0.0048979280982166,0.0090397207997739,0.0173186622905632,0.0192877942757153,0.0012488927110098,0.0109965321607887,0.0600208772346377,0.0002903827767868,0.0010358008008992,-0.0015646718908101,0.0003821087011601,0.0018190572387538,0.0230648726635845,0.0193637332442442,0.0048544289078563,0.0174678936600685,0.0650819849222898,0.9822980759739876,0.3680671069855088,0.5615764081478118,0.8965753018856049,1.7985323190689078,0.8583424937427044,0.2829201458134446,0.5277069479227066,0.7880848050117493,1.444156318902969,0.0178753419492422,0.023707756231867,0.0012047883938066,0.0097658750601112,0.0661245383322238,0.0008541034895206,0.000543351676967,0.000163099245401,0.0007837378652766,0.0018978637119289,3.135638239741325,0.6336477777146455,2.228301632404327,3.094344973564148,4.23961079120636
0,factorized_g1_r1p5,factorized,1.0,1.5,0.6,0.0139682377645804,0.0182184425658933,0.0012764236540533,0.0077410149388015,0.050159652531147,0.0069841188822902,0.0091092212829466,0.0006382118270266,0.0038705074694007,0.0250798262655735,0.0061000456763431,0.0019563560922874,0.0032788677490316,0.0058719543740153,0.0095876273233443,0.1158885248027509,0.1047090023516816,0.0134417923633009,0.0857628248631954,0.3350324362516403,0.0061000456763431,0.0019563560922874,0.0032788677490316,0.0058719543740153,0.0095876273233443,0.0289721312006877,0.0261772505879204,0.0033604480908252,0.0214407062157988,0.08375810906291,-8.140469817044505e-05,0.0010804487699486,-0.0021616869140416,0.0001252157526323,0.0012870789971202,0.0349093675010371,0.0257278069302269,0.0082705027423799,0.0278223380446434,0.0884990267455577,1.001488651663065,0.3980906827125939,0.5146569848060608,0.9215574860572816,1.8363299489021288,0.813922655671835,0.2928745814255429,0.4561248660087585,0.751677930355072,1.424751091003418,0.0352003121362358,0.0391079623613798,0.0033979201340116,0.0225121835246682,0.1159430209547281,0.0009973503695127,0.0005995342082058,8.664066335768444e-05,0.0009537262958474,0.0020550672896206,2.7715461474657057,0.4721712976286756,2.075951337814331,2.767309069633484,3.5931349277496336
