seed,condition,branch_role,trajectory_rms_difference,endpoint_rms_difference,endpoint_max_abs_difference
0,factorized_g1_r1p5,baseline,0.0005881254910491,0.0009368711616843,0.0291962921619415
0,factorized_g1_r1p5,condition,0.0020188863854855,0.0033792243339121,0.1161329895257949
0,factorized_g1p5_r1p35,baseline,0.0004529184079729,0.0007227302994579,0.0206430200487375
0,factorized_g1p5_r1p35,condition,0.0015576197765767,0.0025704225990921,0.0861532986164093
0,factorized_g2_r1p35,baseline,0.0002270971453981,0.0003605854872148,0.0080482363700866
0,factorized_g2_r1p35,condition,0.0013319205027073,0.0022574169561266,0.1371287107467651
0,factorized_g2p5_r1p35,baseline,0.0003188546979799,0.000504597031977,0.0113283842802047
0,factorized_g2p5_r1p35,condition,0.002268842421472,0.0037292519118636,0.1686299592256546
0,factorized_g3_r1,baseline,0.000338380516041,0.0005347692640498,0.0130892843008041
0,factorized_g3_r1,condition,0.0010530492290854,0.0016591113526374,0.0824993252754211
1,factorized_g1_r1p5,baseline,0.0004335481789894,0.0006839054403826,0.0271050333976745
1,factorized_g1_r1p5,condition,0.0016975523903965,0.0028038034215569,0.2068900465965271
1,factorized_g1p5_r1p35,baseline,0.0005755285383202,0.0009092714753933,0.050804316997528
1,factorized_g1p5_r1p35,condition,0.0017224382609128,0.0028796084225177,0.167245015501976
1,factorized_g2_r1p35,baseline,0.0003160761261824,0.0005263485945761,0.0140360891819
1,factorized_g2_r1p35,condition,0.0010744851315394,0.0017972377827391,0.0896369814872741
1,factorized_g2p5_r1p35,baseline,0.0004428605316206,0.0007076467154547,0.0315146148204803
1,factorized_g2p5_r1p35,condition,0.0016726875910535,0.0028229267336428,0.2068434357643127
1,factorized_g3_r1,baseline,0.0004153508052695,0.0006588729447685,0.0262928009033203
1,factorized_g3_r1,condition,0.0012827350292354,0.0020818829070776,0.0710301399230957
