condition_a,condition_b,feature_paired_rms_mean_mean,feature_paired_rms_mean_std,feature_paired_rms_std_mean,feature_paired_rms_std_std,feature_paired_rms_q05_mean,feature_paired_rms_q05_std,feature_paired_rms_median_mean,feature_paired_rms_median_std,feature_paired_rms_q95_mean,feature_paired_rms_q95_std,seed_count
baseline,factorized_g1_r1p5,0.30147643012764114,0.001995268711678689,0.09062954822131677,0.003828399008904584,0.14629517398505393,0.002825245002558493,0.3085958213351781,0.00613263105116085,0.4408349966558385,0.005766864943030693,2
baseline,factorized_g1p5_r1p35,0.29597702228900225,0.0022370891134734657,0.08804450323863616,0.0035433499521903005,0.1461091799467214,0.003779776590891114,0.3026984921530248,0.004220799024428581,0.42753332468891025,0.0073080251744740855,2
baseline,factorized_g2_r1p35,0.3119542996891959,0.002326555647049594,0.08695626711238345,0.003001176660321133,0.15968769421560716,0.004580568026067259,0.3193101192103741,0.005547983287792052,0.4403324301105388,0.004907624751290498,2
baseline,factorized_g2p5_r1p35,0.3233023228415738,0.001963153996640703,0.0859284626774456,0.0024345316630684597,0.1673067195239794,0.007114910450728901,0.3344928904529,0.005563847505404932,0.4527974825258104,0.006624695337902562,2
baseline,factorized_g3_r1,0.2757608192319305,0.00014418372703849092,0.07873820381467572,0.0018087429927274492,0.1412406482645764,0.0036734313647445254,0.28012106674254966,0.002396487771990868,0.3972593482844162,0.0032614517630079835,2
baseline,closed_g3,0.30184665106039543,0.0016564406890414397,0.0848993134389263,0.003438137064497653,0.15434332440302884,0.00026262580767434006,0.30947370130456775,0.0007729305843142702,0.4303957916727327,0.008898939943808668,2
factorized_g1_r1p5,factorized_g1p5_r1p35,0.11953737113790328,0.0001479739922548344,0.057216684126571396,0.0013144491208909221,0.04501841743326972,0.0021273334111367734,0.11077678251849286,0.0002370186701429241,0.22841338751590595,0.0024245899034542277,2
factorized_g1_r1p5,factorized_g2_r1p35,0.163110821565956,0.0006676980200444106,0.06651197628260173,0.00179756079601,0.0689609700858092,0.00306522763934949,0.1555655225063723,0.0014301461189106315,0.27924895271261846,0.004738500048731294,2
factorized_g1_r1p5,factorized_g2p5_r1p35,0.200851538788452,0.0004719000560364174,0.07366341805885786,0.0015073372948940032,0.08823053460758588,0.001303428066234441,0.19656179076602126,0.0009394480700184609,0.3253977388761782,0.001852481695219302,2
factorized_g1_r1p5,factorized_g3_r1,0.23048839125965676,0.0007707193138943048,0.08276866447510406,0.002980576502315256,0.10152523819585976,0.003172853235677785,0.22933045028292648,0.003645691061550514,0.36909580851265217,0.00425018063512947,2
factorized_g1_r1p5,closed_g3,0.25580222173579714,0.0020532592063585912,0.08386298729162217,0.003161522772597198,0.119485462610404,0.005572829140108711,0.2563666610927231,0.004326224405101634,0.3922399115704648,0.0056241684679015575,2
factorized_g1p5_r1p35,factorized_g2_r1p35,0.12642152128264456,0.00032874008456892885,0.058847579062070804,0.0011983059487246865,0.048035351472211704,0.00011848403944780075,0.11792709549097496,0.0008379411985809893,0.23360202282891596,0.005257909198424625,2
factorized_g1p5_r1p35,factorized_g2p5_r1p35,0.1803087594380104,0.00015667067794846812,0.07106347053914347,0.0018972267852744756,0.07584338150213747,0.0012438791810052735,0.17498848826499996,0.0017860607170278506,0.30605260507331317,0.005454723509452877,2
factorized_g1p5_r1p35,factorized_g3_r1,0.19621816848327892,0.0014451865886003696,0.07700359056155663,0.002073410574293164,0.082720093269183,0.0018065546693398751,0.19192194269563753,0.004974928307446077,0.33279712404150896,0.0003571202629698356,2
factorized_g1p5_r1p35,closed_g3,0.24109965716765105,0.0018090930351793869,0.08164396233371131,0.00312631253722772,0.1094160913758565,0.004071722782849751,0.24130453768221574,0.0019261227967559105,0.37437925985099696,0.008690393902206035,2
factorized_g2_r1p35,factorized_g2p5_r1p35,0.11365926064565725,0.00038301201333119326,0.05571874283536385,0.0006401957972572487,0.043444027967042845,0.00024542825203476205,0.10450099385111528,0.0006270289514240222,0.21397153699950605,0.0007676979224372064,2
factorized_g2_r1p35,factorized_g3_r1,0.21382192527667454,0.00142793418239262,0.08198027766590794,0.0037166235813537378,0.08737559238804797,0.004096455632359713,0.21026522371877193,0.002537557806701232,0.35374662090718645,0.006145595055897349,2
factorized_g2_r1p35,closed_g3,0.24320992210832895,0.0014285052737050446,0.08184552597881672,0.002633450395311094,0.11100743475208771,0.008025284032287187,0.24533947044164917,0.004537001500329798,0.3762240591043008,0.005279332314858184,2
factorized_g2p5_r1p35,factorized_g3_r1,0.23285869291211614,0.0006890833531582548,0.08431435025454921,0.003902512304652651,0.0984836595116214,0.006128863548251566,0.23175718776351595,0.0009794703237892056,0.3698720041065242,0.005767697314868932,2
factorized_g2p5_r1p35,closed_g3,0.249860717376211,0.00040469799491367215,0.08269676192607528,0.0021496670222404886,0.11564900651832855,0.005457626876677436,0.25122704457635103,0.0013471016339620192,0.3837249226413003,0.008450144355334926,2
factorized_g3_r1,closed_g3,0.2352021939891672,0.0021238171045773165,0.08030477366939456,0.004168452985753975,0.1067145738063199,0.005608863144895897,0.23527466111804962,0.0022657624066784164,0.36549292541390876,0.014016213682688747,2
