condition,snapshot_path_length_rms_mean_mean,snapshot_path_length_rms_mean_std,snapshot_path_length_rms_std_mean,snapshot_path_length_rms_std_std,endpoint_paired_rms_mean_mean,endpoint_paired_rms_mean_std,endpoint_paired_rms_std_mean,endpoint_paired_rms_std_std,seed_count
baseline,0.9200356759130957,0.004057677514408433,0.1258149591121287,0.007221595055891047,0.0,0.0,0.0,0.0,2
factorized_g1_r1p5,0.9897589215636253,0.001661688814354948,0.14936838275273923,0.004957985156378892,0.3201134411245584,0.0025894985266094,0.13878554829335327,0.0010535504388494831,2
factorized_g1p5_r1p35,0.9794930725395679,0.0020293477857670733,0.14256888134721865,0.005401169602673183,0.3041264681704342,0.0023590881700732624,0.11953871784041134,0.0017413188805298887,2
factorized_g2_r1p35,0.9997138238847256,0.0016116867626588898,0.14759537294280672,0.0046290646179273694,0.35604450309649105,0.0022980132772632603,0.12964589553318068,0.0008003717664669033,2
factorized_g2p5_r1p35,1.0195815832912922,0.0012899952094279784,0.15218166371187225,0.004037373714306632,0.40054619002714753,0.00261863971641188,0.1381490715494429,0.0005598133677167654,2
factorized_g3_r1,0.9684818227291108,0.0024721140428060387,0.1298418027094172,0.0055884180245407596,0.25655086512491104,0.0017558909667753596,0.07124123453620959,0.0023228780724181435,2
closed_g3,0.9788848218917847,0.0024094365371549204,0.130575000267927,0.005448183741926322,0.3020297169759869,0.00026525208672391077,0.08902101007114621,0.00035813224238093807,2
