seed,time,condition_a,condition_b,comparison,paired_rms,baseline_projection_scale,rbf_bandwidth,swd_mean,swd_std,linear_mmd2_mean,linear_mmd2_std,c2st_auc_mean,c2st_auc_std,swd_mean_excess_over_split_null,linear_mmd2_mean_excess_over_split_null,c2st_auc_mean_excess_over_split_null
0,0.0,baseline,baseline,within_condition_split,0.0,1.0000399351119995,7.99768202958972,0.1087378026527182,0.0034787881003298,0.003798277131527,0.0045406819757653,,,,,
0,0.0,factorized_g1_r1p5,factorized_g1_r1p5,within_condition_split,0.0,1.0000399351119995,7.99768202958972,0.1083862981492192,0.0053553646974326,-0.0001295474872334,0.0026187094740142,,,,,
0,0.0,factorized_g1p5_r1p35,factorized_g1p5_r1p35,within_condition_split,0.0,1.0000399351119995,7.99768202958972,0.109123113606844,0.0051478125049375,0.0032849918610984,0.008472120692866,,,,,
0,0.0,factorized_g2_r1p35,factorized_g2_r1p35,within_condition_split,0.0,1.0000399351119995,7.99768202958972,0.1069425941239593,0.0048769244140064,-0.0017667168457342,0.0043931094385713,,,,,
0,0.0,factorized_g2p5_r1p35,factorized_g2p5_r1p35,within_condition_split,0.0,1.0000399351119995,7.99768202958972,0.1103213487401694,0.0038751419631338,-0.0004307158099848,0.0046845278908983,,,,,
0,0.0,factorized_g3_r1,factorized_g3_r1,within_condition_split,0.0,1.0000399351119995,7.99768202958972,0.109294144621543,0.0037792935192527,0.0010914502366144,0.0069973439734481,,,,,
0,0.0,closed_g3,closed_g3,within_condition_split,0.0,1.0000399351119995,7.99768202958972,0.1081811271234859,0.0042689825575393,0.0026569523140646,0.0041237207177687,,,,,
0,0.0,baseline,factorized_g1_r1p5,cross_condition,0.0,1.0000399351119995,7.99768202958972,0.0810799144008249,0.0022963613208548,-0.003066372241719,0.0054175088699177,,,-0.027482136000143792,-0.004900737063865799,
0,0.0,baseline,factorized_g1p5_r1p35,cross_condition,0.0,1.0000399351119995,7.99768202958972,0.0806293521709355,0.0027501641459151,-0.0024491470643811,0.0084772426019628,,,-0.028301105958845593,-0.0059907815606938,
0,0.0,baseline,factorized_g2_r1p35,cross_condition,0.0,1.0000399351119995,7.99768202958972,0.0803105415671896,0.0024678786462321,0.002218712172259,0.0038307397630819,,,-0.027529656821149148,0.0012029320293626,
0,0.0,baseline,factorized_g2p5_r1p35,cross_condition,0.0,1.0000399351119995,7.99768202958972,0.078718876200966,0.0041147185590966,-0.003057749801037,0.0057639847929139,,,-0.030810699495477795,-0.0047415304618080995,
0,0.0,baseline,factorized_g3_r1,cross_condition,0.0,1.0000399351119995,7.99768202958972,0.0803240904780951,0.0029869489301657,-0.0016627814654384,0.0048298224995935,,,-0.02869188315903548,-0.0041076451495091,
0,0.0,baseline,closed_g3,cross_condition,0.0,1.0000399351119995,7.99768202958972,0.0791907202520807,0.0031575918973385,-0.0007225420860932,0.0065745236619657,,,-0.029268744636021346,-0.003950156808889,
0,0.0,factorized_g1_r1p5,factorized_g1p5_r1p35,cross_condition,0.0,1.0000399351119995,7.99768202958972,0.0804109940326792,0.0022652430970397,-7.758413054031207e-05,0.0072371899890414,,,-0.028343711845352393,-0.001655306317472812,
0,0.0,factorized_g1_r1p5,factorized_g2_r1p35,cross_condition,0.0,1.0000399351119995,7.99768202958972,0.0813465743490577,0.0035612366066576,0.0011670522498253,0.0065778173557631,,,-0.026317871787531547,0.0021151844163091,
0,0.0,factorized_g1_r1p5,factorized_g2p5_r1p35,cross_condition,0.0,1.0000399351119995,7.99768202958972,0.0785909986636284,0.0014861349399585,-0.0011428727609862,0.0033546417333082,,,-0.0307628247810659,-0.0008627411123770999,
0,0.0,factorized_g1_r1p5,factorized_g3_r1,cross_condition,0.0,1.0000399351119995,7.99768202958972,0.0813008966661066,0.0047213991111776,-0.0004630804336552,0.005523293515837,,,-0.027539324719274505,-0.0009440318083457001,
0,0.0,factorized_g1_r1p5,closed_g3,cross_condition,0.0,1.0000399351119995,7.99768202958972,0.079078825573544,0.002976236665609,-0.0001599664538679,0.0082071820219016,,,-0.029204887062808563,-0.0014236688672835,
0,0.0,factorized_g1p5_r1p35,factorized_g2_r1p35,cross_condition,0.0,1.0000399351119995,7.99768202958972,0.0796249963934977,0.0030355339744049,-0.0031473164761175,0.0048608959022289,,,-0.028407857471903955,-0.0039064539837996,
0,0.0,factorized_g1p5_r1p35,factorized_g2p5_r1p35,cross_condition,0.0,1.0000399351119995,7.99768202958972,0.0792368474611224,0.0037866808156078,-0.0003125772174246,0.0041775369816648,,,-0.030485383712384295,-0.0017397152429814,
0,0.0,factorized_g1p5_r1p35,factorized_g3_r1,cross_condition,0.0,1.0000399351119995,7.99768202958972,0.0818410599896519,0.0032848545621251,-0.0004107861884335,0.0041497109274899,,,-0.027367569124541594,-0.0025990072372899,
0,0.0,factorized_g1p5_r1p35,closed_g3,cross_condition,0.0,1.0000399351119995,7.99768202958972,0.0779279536689463,0.0038179539730237,-0.0011841315437458,0.0061294998786039,,,-0.03072416669621865,-0.0041551036313273,
