batch_start,batch_size,inverse_maximum_iterations,inverse_maximum_relative_residual,signal_rms,second_increment_rms,inverse_noise_shift_rms,inverse_noise_shift_to_noise,null_noise_cycle_rms,null_switch_cycle_rms,guided_switch_cycle_rms,guided_cycle_to_signal,guided_cycle_to_second_increment
8,8,3,0.0009967002552002668,0.17173653841018677,0.1181923896074295,0.10693775117397308,0.1069013774394989,0.002016684040427208,0.014256024733185768,0.0037959495093673468,0.02059052512049675,0.03202600032091141
40,8,3,0.0009549313108436763,0.22885361313819885,0.11977829039096832,0.11289751529693604,0.1129128634929657,0.002043765038251877,0.010608986020088196,0.005202496889978647,0.024957742542028427,0.03830038011074066
72,8,3,0.0009970569517463446,0.20102162659168243,0.14769840240478516,0.11203667521476746,0.11200863122940063,0.002035736106336117,0.04657506197690964,0.006309744901955128,0.024664562195539474,0.03526889532804489
104,8,3,0.0009368992177769542,0.22331035137176514,0.13894760608673096,0.11382462084293365,0.11383059620857239,0.002069577109068632,0.019477294757962227,0.0049796802923083305,0.023959774523973465,0.03596292808651924
136,8,3,0.0009881649166345596,0.22275881469249725,0.12394285202026367,0.10207829624414444,0.10203675925731659,0.0020035547204315662,0.05123015120625496,0.002827870426699519,0.014470302499830723,0.024076934903860092
168,8,3,0.0009522202890366316,0.19533580541610718,0.10675936937332153,0.10753876715898514,0.10752366483211517,0.0020063782576471567,0.017943289130926132,0.004230001010000706,0.02264532260596752,0.03837777301669121
200,8,3,0.0009803555440157652,0.23453465104103088,0.11354213953018188,0.10810039937496185,0.10804829746484756,0.0020346837118268013,0.07231505215167999,0.05702611431479454,0.15467967092990875,0.5055569410324097
232,8,3,0.0009365155710838735,0.2209138423204422,0.11513218283653259,0.11361929774284363,0.11355160921812057,0.002032221294939518,0.05593538656830788,0.003862916026264429,0.017223365604877472,0.03152739629149437
264,8,3,0.0009297225042246282,0.2081894725561142,0.1281549036502838,0.10755008459091187,0.107527956366539,0.0020238319411873817,0.03786714747548103,0.004682558588683605,0.020468218252062798,0.03269750624895096
296,8,3,0.0009667403646744788,0.21208468079566956,0.12919685244560242,0.11249856650829315,0.11250993609428406,0.0020587127655744553,0.016243826597929,0.003994716331362724,0.018316615372896194,0.028527025133371353
328,8,3,0.0008958253310993314,0.1777835488319397,0.11259530484676361,0.10763363540172577,0.10750490427017212,0.002019706415012479,0.021169722080230713,0.0026911275926977396,0.01532865222543478,0.023876812309026718
360,8,3,0.0009801312116906047,0.2191876322031021,0.15053890645503998,0.11067096889019012,0.11068208515644073,0.002021966502070427,0.03644387423992157,0.004184262361377478,0.020292896777391434,0.027954719960689545
392,8,3,0.000983524601906538,0.22517132759094238,0.14664879441261292,0.1127779483795166,0.11273537576198578,0.002068546134978533,0.02748388797044754,0.003888290375471115,0.016525093466043472,0.025624606758356094
424,8,3,0.0009645732352510095,0.2583116292953491,0.16597235202789307,0.11397343873977661,0.11402419209480286,0.0020353919826447964,0.033530887216329575,0.006528966594487429,0.027629008516669273,0.041834939271211624
456,8,3,0.0009519346640445292,0.2586366832256317,0.14513546228408813,0.1196170523762703,0.11958923935890198,0.0020129485055804253,0.05718754231929779,0.00471336767077446,0.017104335129261017,0.0342298224568367
488,8,3,0.0009804216679185629,0.21300768852233887,0.15801763534545898,0.11800773441791534,0.11800512671470642,0.0020368467085063457,0.024368394166231155,0.012379145249724388,0.05024974048137665,0.06081654876470566
520,8,3,0.0009271707385778427,0.22227436304092407,0.13847815990447998,0.12065485119819641,0.12062141299247742,0.0020390632562339306,0.02648194320499897,0.002130793873220682,0.0098483357578516,0.01579129882156849
552,8,3,0.0009700171067379415,0.22469083964824677,0.1488780826330185,0.11444112658500671,0.11440355330705643,0.002022806089371443,0.018648505210876465,0.0033173111733049154,0.01564657688140869,0.022840091958642006
584,8,3,0.0009447953780181706,0.20824062824249268,0.15406127274036407,0.11781260371208191,0.11782992631196976,0.0020056082867085934,0.03537660092115402,0.0362318679690361,0.22343359887599945,0.1750190258026123
616,8,3,0.0009821675485000014,0.27739810943603516,0.1604621559381485,0.11758141964673996,0.11763491481542587,0.0020194214303046465,0.05682206153869629,0.017020445317029953,0.04146227985620499,0.09536248445510864
648,8,3,0.0009566523949615657,0.2484847903251648,0.14133980870246887,0.11703373491764069,0.11704227328300476,0.002026303205639124,0.049576595425605774,0.012647856958210468,0.038188621401786804,0.07134930789470673
680,8,3,0.0009238820057362318,0.23521754145622253,0.13992848992347717,0.11955081671476364,0.11956954747438431,0.0020348052494227886,0.02534998580813408,0.002018282189965248,0.009511339478194714,0.015113473869860172
712,8,3,0.0009391627390868962,0.29800331592559814,0.15505456924438477,0.1266922652721405,0.12664438784122467,0.0020639412105083466,0.10763810575008392,0.021902354434132576,0.05921609699726105,0.1201629638671875
744,8,3,0.0009108326630666852,0.25024133920669556,0.13486716151237488,0.12231356650590897,0.12221894413232803,0.00202284287661314,0.010610461235046387,0.002511956263333559,0.010055281221866608,0.01831739768385887
776,8,3,0.0009712170576676726,0.23211944103240967,0.14193420112133026,0.12022020667791367,0.12025763839483261,0.0020201539155095816,0.04159246385097504,0.02147192507982254,0.1141129583120346,0.15174871683120728
808,8,3,0.0009674722678028047,0.2501707971096039,0.15313409268856049,0.11965364217758179,0.11958193778991699,0.0020371940918266773,0.03127153217792511,0.006453466136008501,0.028301279991865158,0.044137634336948395
840,8,3,0.0009193068253807724,0.23356996476650238,0.13958556950092316,0.11892479658126831,0.11890546977519989,0.0020091875921934843,0.02670820616185665,0.004103567451238632,0.018426451832056046,0.03156328946352005
872,8,3,0.0009807897731661797,0.24945026636123657,0.1621597409248352,0.1165153831243515,0.11647884547710419,0.002044589025899768,0.028932809829711914,0.0062188939191401005,0.026408515870571136,0.04112950339913368
904,8,3,0.0009611499262973666,0.2680879831314087,0.14517539739608765,0.12048780173063278,0.12047794461250305,0.002026564674451947,0.03770512714982033,0.0076243700459599495,0.028477884829044342,0.047760121524333954
936,8,3,0.0009256231714971364,0.2246057093143463,0.14109845459461212,0.11473128199577332,0.11474800109863281,0.0020867856219410896,0.04488607496023178,0.005594409536570311,0.023870017379522324,0.037328142672777176
968,8,3,0.000904677202925086,0.21072566509246826,0.13566401600837708,0.11832280457019806,0.1183563843369484,0.0020316261798143387,0.022519918158650398,0.0045323241502046585,0.026581522077322006,0.03688756003975868
