state_id,t,horizon,alpha,gap_norm,gap_transport_error,exact_carrier_endpoint_error,linear_write_endpoint_error
0,0.0,0.2,0.25,1.003766982461889,0.0,4.718447854656915e-15,0.00014445338363794358
0,0.0,0.2,0.5,1.003766982461889,0.0,4.557326905135504e-15,0.0005778135345374524
0,0.0,0.2,1.0,1.003766982461889,0.0,4.501882494110187e-15,0.0023112541381362095
0,0.0,0.2,2.0,1.003766982461889,0.0,5.329070518200751e-15,0.00924501655253307
0,0.0,0.7,0.25,1.003766982461889,0.0,1.554312234475219e-14,0.0010209438156418282
0,0.0,0.7,0.5,1.003766982461889,0.0,1.577142048699166e-14,0.004083775262520684
0,0.0,0.7,1.0,1.003766982461889,0.0,2.065134201172189e-14,0.016335101050040768
0,0.0,0.7,2.0,1.003766982461889,0.0,2.6534562551755798e-14,0.065340404200107
0,0.3,0.2,0.25,0.7881520647223204,7.850462293418876e-17,4.85722573273506e-15,9.491263633262803e-05
0,0.3,0.2,0.5,0.7881520647223204,7.850462293418876e-17,4.6629367034256575e-15,0.0003796505453155241
0,0.3,0.2,1.0,0.7881520647223204,7.850462293418876e-17,4.3298697960381105e-15,0.0015186021812483297
0,0.3,0.2,2.0,0.7881520647223204,7.850462293418876e-17,4.9404924595819466e-15,0.006074408724980718
0,0.3,0.7,0.25,0.7881520647223204,0.0,1.5626389071599078e-14,0.000670807887282604
0,0.3,0.7,0.5,0.7881520647223204,0.0,1.5660442518084414e-14,0.002683231549083953
0,0.3,0.7,1.0,0.7881520647223204,0.0,1.7320902488521377e-14,0.010732926196290737
0,0.3,0.7,2.0,0.7881520647223204,0.0,2.4482683349416484e-14,0.04293170478511771
1,0.0,0.2,0.25,0.7454483246727879,0.0,1.155712306342472e-14,0.00014445338364488247
1,0.0,0.2,0.5,0.7454483246727879,0.0,9.438365007757697e-15,0.0005778135345424484
1,0.0,0.2,1.0,0.7454483246727879,0.0,8.771859752078609e-15,0.002311254138140817
1,0.0,0.2,2.0,0.7454483246727879,0.0,8.21569726651065e-15,0.009245016552535956
