arm,round_index,idea_id,family,role,source,key,reference,solver,strength,theta,parameters,samples,fid,sfid,inception_score,full_calls_per_image,prefix_calls_per_image,auxiliary_full_calls_per_image,sum_batch_gpu_seconds,trajectory_gpu_seconds,decode_gpu_seconds,evaluation_wall_seconds,events_per_image,complete,status,blocked_by_round,gallery_path,contact_sheet_path,noise_sha256,parent_latents_sha256,request_sha256,pixel_mse_previous_mean,latent_delta_rms_previous_mean,latent_cosine_previous_mean,pixel_psnr_previous_mean_db,pixel_psnr_previous_positive_infinity_count,pixel_psnr_previous_from_mean_mse_db,exact_pixel_identity_previous_count,all_images_identical_to_previous,pixel_mse_initial_mean,latent_delta_rms_initial_mean,latent_cosine_initial_mean,pixel_psnr_initial_mean_db,pixel_psnr_initial_positive_infinity_count,pixel_psnr_initial_from_mean_mse_db,exact_pixel_identity_initial_count,all_images_identical_to_initial
ig_mlp_03,4,,ig_mlp,control,ig,native,mlp,heun64,0.8,0.0,{},1000,66.03059063669775,206.91253344642485,40.09510803222656,96.0,0.0,0.0,81.60658276546746,67.26371538592502,14.34286737954244,33.69241742696613,0.0,True,complete,,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/ig_mlp_03/round04/gallery.png,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/ig_mlp_03/rounds.png,1e80c335a772910b0a41b5e8e8f35a0ad4187d8ccbf9bbbb081e9dc9c47bac8c,a412f8ff756ec9d9eb9c354b873bb0628e9b7062738079ce952a101391b935bc,fb1a729e99870d13fde0240d820738565e02b8ba4fe0fe3e779375167f5636e4,2226.4301709391275,0.6915761610907871,0.6670503026211738,15.39845657044611,0,14.654712822636293,0,False,4303.9366501515715,0.9184978740368672,0.40665877259807925,12.359943665997804,0,11.792144905636853,0,False
ig_mlp_03,5,,ig_mlp,control,ig,native,mlp,heun64,0.8,0.0,{},1000,66.45141540547132,208.34820505836592,37.458290100097656,96.0,0.0,0.0,98.39045155979693,83.98201797669753,14.408433583099395,31.11619953904301,0.0,True,complete,,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/ig_mlp_03/round05/gallery.png,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/ig_mlp_03/rounds.png,d8db46b6893fe1ee5240a2a9f2d71f043587e46df6b77cdc22107e911326706c,d6b0071fe7465421136657729f868b12ceb54930f9f4a16b904a4dab68e41999,fb1a729e99870d13fde0240d820738565e02b8ba4fe0fe3e779375167f5636e4,2179.0566210123698,0.6791482117074804,0.6876639131248994,15.509519929178412,0,14.748118456864777,0,False,4714.0728425649,0.9468800736440307,0.3869760486333982,11.94066812004041,0,11.39684071843889,0,False
cfg_native_03,0,,cfg_native,control,cfg,native,native,heun64,1.25,0.0,{},1000,46.5317998489939,207.08372576543252,64.3060302734375,224.0,0.0,0.0,160.55268468800932,146.21131484257057,14.341369845438749,27.924707098398358,0.0,True,complete,,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/cfg_native_03/round00/gallery.png,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/cfg_native_03/rounds.png,e5125ecb169d45483d2e101f8229e29ee2ade22cce620f4d080f85c56fdb17fe,,fb1a729e99870d13fde0240d820738565e02b8ba4fe0fe3e779375167f5636e4,0.0,0.0,1.0,,1000,,1000,True,0.0,0.0,1.0,,1000,,1000,True
cfg_native_03,1,,cfg_native,control,cfg,native,native,heun64,1.25,0.0,{},1000,45.60943557857297,207.95966464941182,64.34829711914062,160.0,0.0,0.0,119.40537880640477,105.07217150786892,14.333207298535854,28.346747108269483,0.0,True,complete,,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/cfg_native_03/round01/gallery.png,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/cfg_native_03/rounds.png,837f3c34e5ad057cf1a6aae5b1016c606d9768ad0bcb70c8c2bcb0d0828c75d8,7b41bc5da8fedb41767a35f67d37193630895898d7f48b48e4e76fdc4066f56c,fb1a729e99870d13fde0240d820738565e02b8ba4fe0fe3e779375167f5636e4,2292.716397216797,0.732351231176635,0.6071218237669936,15.076045259183685,0,14.527300238620022,0,False,2292.716397216797,0.732351231176635,0.6071218237669936,15.076045259183685,0,14.527300238620022,0,False
cfg_native_03,2,,cfg_native,control,cfg,native,native,heun64,1.25,0.0,{},1000,45.49647211031305,207.7688798767291,63.669097900390625,160.0,0.0,0.0,120.2486459352076,105.9120930749923,14.336552860215306,28.91179625876248,0.0,True,complete,,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/cfg_native_03/round02/gallery.png,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/cfg_native_03/rounds.png,aa8f85c0ef6f873e54735d38184cd54cac272bdf286f98318305c2d1a5f85abc,4f1925e88a63e74b79f2433245e2f2748257cf519a91fd9cab0a11bb06eb7810,fb1a729e99870d13fde0240d820738565e02b8ba4fe0fe3e779375167f5636e4,2290.4179301045733,0.7312607379344088,0.6084730056597462,15.09004984075392,0,14.531656260486587,0,False,3055.2280770263674,0.8355283109203631,0.4912419712733987,13.762033183112015,0,13.2803672439189,0,False
cfg_native_03,3,,cfg_native,control,cfg,native,native,heun64,1.25,0.0,{},1000,45.49456211638528,209.4699153345748,63.132102966308594,160.0,0.0,0.0,119.45941885886714,105.12698703771457,14.332431821152568,29.034297162666917,0.0,True,complete,,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/cfg_native_03/round03/gallery.png,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/cfg_native_03/rounds.png,bdbb68033849380079ae24a2df95edc14dbc3e68935aab073ecc267e46f03640,9006818c9fe9672b8ec773568fbe2e4340753aff8e4c41ab19a7bd2851a86263,fb1a729e99870d13fde0240d820738565e02b8ba4fe0fe3e779375167f5636e4,2279.3185732269285,0.7302144383022791,0.6108202018315412,15.089778189641526,0,14.55275331464019,0,False,3571.1266350351966,0.8791669623777711,0.4408929678751675,13.05285983487294,0,12.602751099689193,0,False
cfg_native_03,4,,cfg_native,control,cfg,native,native,heun64,1.25,0.0,{},1000,45.69270176519069,206.84413346299652,64.2430419921875,160.0,0.0,0.0,119.69876756053418,105.36775479931384,14.331012761220336,29.694086328148842,0.0,True,complete,,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/cfg_native_03/round04/gallery.png,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/cfg_native_03/rounds.png,1e80c335a772910b0a41b5e8e8f35a0ad4187d8ccbf9bbbb081e9dc9c47bac8c,ba219c95f146c4808961672fcae77f302d7f7299f8d28fb0a43a237eae66fb1b,fb1a729e99870d13fde0240d820738565e02b8ba4fe0fe3e779375167f5636e4,2310.341361287435,0.7314590235386431,0.6108910265552608,15.040832018754939,0,14.494042076551622,0,False,3928.304494349162,0.9030360391505867,0.41281019935861696,12.638683110526323,0,12.188752170151375,0,False
cfg_native_03,5,,cfg_native,control,cfg,native,native,heun64,1.25,0.0,{},1000,45.608090475281415,208.1095389152714,66.46990203857422,160.0,0.0,0.0,118.77659582719207,104.44631543988362,14.330280387308449,29.5678339949809,0.0,True,complete,,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/cfg_native_03/round05/gallery.png,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/cfg_native_03/rounds.png,d8db46b6893fe1ee5240a2a9f2d71f043587e46df6b77cdc22107e911326706c,e14844fe503b53f6377f124e1b3b4b3c3e0c12312b893d66ad10aa56b8507115,fb1a729e99870d13fde0240d820738565e02b8ba4fe0fe3e779375167f5636e4,2295.41459328715,0.7301883714395201,0.6122464733571957,15.078155856131893,0,14.522192224912658,0,False,4137.777809092204,0.9186183113181955,0.3944586817284916,12.395924070426243,0,11.963131947112187,0,False
ig_native_03,0,,ig_native,control,ig,native,native,heun64,0.8,0.0,{},1000,64.30045117247766,208.2307616504794,36.112701416015625,128.0,0.0,0.0,101.13804774312302,86.80552713479847,14.332520608324558,28.406846133060753,0.0,True,complete,,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/ig_native_03/round00/gallery.png,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/ig_native_03/rounds.png,e5125ecb169d45483d2e101f8229e29ee2ade22cce620f4d080f85c56fdb17fe,,fb1a729e99870d13fde0240d820738565e02b8ba4fe0fe3e779375167f5636e4,0.0,0.0,1.0,,1000,,1000,True,0.0,0.0,1.0,,1000,,1000,True
ig_native_03,1,,ig_native,control,ig,native,native,heun64,0.8,0.0,{},1000,66.10234433452769,208.48847352339726,36.099491119384766,96.0,0.0,0.0,79.7849260661751,65.45391682442278,14.331009241752326,29.16613567294553,0.0,True,complete,,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/ig_native_03/round01/gallery.png,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/ig_native_03/rounds.png,837f3c34e5ad057cf1a6aae5b1016c606d9768ad0bcb70c8c2bcb0d0828c75d8,aabbb7e9f17558ed9eecf3a13fecae0077337a038abc8d756ecfe9436dbda69f,fb1a729e99870d13fde0240d820738565e02b8ba4fe0fe3e779375167f5636e4,2347.88415594991,0.7140385740676707,0.6161286625569111,15.221043043620886,0,14.424036957509568,0,False,2347.88415594991,0.7140385740676707,0.6161286625569111,15.221043043620886,0,14.424036957509568,0,False
ig_native_03,2,,ig_native,control,ig,native,native,heun64,0.8,0.0,{},1000,66.83620141264362,209.13846013776856,34.88758087158203,96.0,0.0,0.0,79.23810868291184,64.90596773475409,14.332140948157758,30.495867478195578,0.0,True,complete,,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/ig_native_03/round02/gallery.png,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/ig_native_03/rounds.png,aa8f85c0ef6f873e54735d38184cd54cac272bdf286f98318305c2d1a5f85abc,dff023bb14368a61574d1d4803c3979fd653253f89fc7e50d1b88de3c91f88ad,fb1a729e99870d13fde0240d820738565e02b8ba4fe0fe3e779375167f5636e4,2303.608091069539,0.6973987888885101,0.6460408122055853,15.387657660186877,0,14.506717656147114,0,False,3198.934722005208,0.8234373730169622,0.506121540494594,13.801714687423612,0,13.08074982978921,0,False
ig_native_03,3,,ig_native,control,ig,native,native,heun64,0.8,0.0,{},1000,67.63336784921762,211.11003430339474,36.43284225463867,96.0,0.0,0.0,79.96144187869504,65.62815798772499,14.333283890970051,30.51884249597788,0.0,True,complete,,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/ig_native_03/round03/gallery.png,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/ig_native_03/rounds.png,bdbb68033849380079ae24a2df95edc14dbc3e68935aab073ecc267e46f03640,44f5712dbd7a4c66e8a41e6ccd66b0f262d18271b3ca7d421d2b366fbcb86c8f,fb1a729e99870d13fde0240d820738565e02b8ba4fe0fe3e779375167f5636e4,2239.458974080404,0.6821982135540985,0.6722271584276179,15.50776979840246,0,14.629372501013576,0,False,3810.8261487833656,0.8766061469825084,0.4597583313914343,12.993501173675172,0,12.32061224309403,0,False
ig_native_03,4,,ig_native,control,ig,native,native,heun64,0.8,0.0,{},1000,71.31487182560346,212.70119285430167,36.571041107177734,96.0,0.0,0.0,80.20581932738423,65.86970875691622,14.336110570468009,32.63061247393489,0.0,True,complete,,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/ig_native_03/round04/gallery.png,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/ig_native_03/rounds.png,1e80c335a772910b0a41b5e8e8f35a0ad4187d8ccbf9bbbb081e9dc9c47bac8c,4d5a17c766d71d4caba4c7338413f28e44c5b56b3ed2bb460ef19e976d25f03e,fb1a729e99870d13fde0240d820738565e02b8ba4fe0fe3e779375167f5636e4,2190.953669606527,0.6681446033742036,0.6950729610992255,15.590226372566711,0,14.724471668977891,0,False,4317.6981226196285,0.9130773484775151,0.4340358123710103,12.416727825971067,0,11.778280860618107,0,False
ig_native_03,5,,ig_native,control,ig,native,native,heun64,0.8,0.0,{},1000,72.32393216470956,213.72873976405538,33.376670837402344,96.0,0.0,0.0,91.32446763757616,76.93999651493505,14.384471122641116,30.65657398896292,0.0,True,complete,,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/ig_native_03/round05/gallery.png,/home/zhoushunyu/data/eqvae/experiments/recursive_guidance_20260913/recursive_screen_1k/ig_native_03/rounds.png,d8db46b6893fe1ee5240a2a9f2d71f043587e46df6b77cdc22107e911326706c,46808a0de0210e316fc77bd021a0c6dd89a89523295321433c1f5e69cd172565,fb1a729e99870d13fde0240d820738565e02b8ba4fe0fe3e779375167f5636e4,2108.838051259359,0.6500232338861162,0.7196832173074476,15.77171332703189,0,14.890371316002017,0,False,4708.376811177573,0.9428809663467498,0.41607900769452044,12.003319626701488,0,11.40209148738435,0,False
