time,model,model_kind,first_branch,second_branch,first_bayes_mse,second_bayes_mse,first_paired_mse,second_paired_mse,branch_error_cosine_mean,branch_error_cosine_negative_fraction,oracle_gate_mean,oracle_bayes_mse,oracle_gain_over_best_branch,learned_gate_mean,learned_bayes_mse,learned_gate_mae_to_oracle
0.01,D0_xeps,x_plus_epsilon,x,epsilon,0.0003297693619970232,7.420060157775879,1.0016186237335205,8.303653717041016,0.16298794746398926,0.389404296875,0.997886061668396,0.0002626396017149091,0.20356578875486964,,,
0.01,D1_scaled,x_plus_epsilon,x,epsilon,0.0002835821360349655,7.478267669677734,1.0012271404266357,8.37791633605957,0.07499687373638153,0.44287109375,0.997321367263794,0.00019634606724139303,0.3076218763752323,0.9549241662025452,0.008712674491107464,0.04274733364582062
0.01,D2_velocity,x_plus_epsilon,x,epsilon,0.0008830292499624193,11.703619003295898,1.0021076202392578,12.695783615112305,-0.3559192419052124,0.70703125,0.9951937198638916,0.00047309708315879107,0.46423396146965057,0.9982894659042358,0.0007977100904099643,0.004363869782537222
0.01,D4_safe,x_plus_epsilon,x,epsilon,0.0004211037012282759,14.12572193145752,1.0016319751739502,14.994077682495117,-0.08036477863788605,0.50830078125,0.9975559711456299,0.00021872542856726795,0.48059010659538426,0.9991771578788757,0.00041003484511747956,0.0024090856313705444
0.01,S0_xv,x_plus_v,x,v,0.0026000430807471275,0.0029103050474077463,1.0027726888656616,1.0045291185379028,0.29804283380508423,0.304931640625,0.6597387790679932,0.0010513287270441651,0.5956494971836914,,,
0.01,S1_xv,x_plus_v,x,v,0.0018036772962659597,0.003040546551346779,1.0020604133605957,1.004365086555481,0.29968398809432983,0.287353515625,0.7310253381729126,0.0006626182585023344,0.6326292625215655,,,
0.03,D0_xeps,x_plus_epsilon,x,epsilon,0.00024875119561329484,0.637795090675354,1.0458106994628906,1.6758100986480713,0.09368531405925751,0.417724609375,0.9928821325302124,0.0001772318355506286,0.28751363339716063,,,
0.03,D1_scaled,x_plus_epsilon,x,epsilon,0.00027930608484894037,0.590053915977478,1.046316385269165,1.6358280181884766,0.057079240679740906,0.449951171875,0.989693284034729,0.00019714173686224967,0.2941731399483416,0.9368752241134644,0.001627146266400814,0.059783466160297394
0.03,D2_velocity,x_plus_epsilon,x,epsilon,0.0007910897256806493,0.6580696105957031,1.0465407371520996,1.6859993934631348,0.05559439957141876,0.486083984375,0.9841123223304749,0.0005442389519885182,0.3120389074447174,0.9937385320663452,0.000854110810905695,0.0187847800552845
0.03,D4_safe,x_plus_epsilon,x,epsilon,0.0003876224800478667,0.6686303019523621,1.0460408926010132,1.713977336883545,-0.12368762493133545,0.5634765625,0.989574134349823,0.00024291567387990654,0.37331892141573064,0.9964747428894043,0.00038057079655118287,0.010443661361932755
