time,condition,paired_velocity_mse,bayes_velocity_mse,irreducible_velocity_mse,gate_mean,gate_std,x_amplification_mean,epsilon_amplification_mean
0.01,D0_x_shared,1.0250520706176758,0.0003433742676861584,1.0247446298599243,,,,
0.01,D0_eps_shared,8.34249496459961,7.391378879547119,1.0247446298599243,,,,
0.01,D3_oracle_bayes_gate,1.0248554944992065,0.00026861432706937194,1.0247446298599243,0.9978538155555725,0.008614621125161648,1.0079330205917358,0.2146199345588684
0.03,D0_x_shared,1.0322279930114746,0.0002940230187959969,1.0319026708602905,,,,
0.03,D0_eps_shared,1.804175853729248,0.7489728927612305,1.0319026708602905,,,,
0.03,D3_oracle_bayes_gate,1.0322129726409912,0.0001919226924655959,1.0319026708602905,0.9933676719665527,0.01468159444630146,1.0240904092788696,0.22107648849487305
0.1,D0_x_shared,1.2300467491149902,0.0002812454476952553,1.2298293113708496,,,,
0.1,D0_eps_shared,1.2825822830200195,0.04338403418660164,1.2298293113708496,,,,
0.1,D3_oracle_bayes_gate,1.2300539016723633,0.000211564009077847,1.2298293113708496,0.9628972411155701,0.09076113253831863,1.0698858499526978,0.37102776765823364
0.3,D0_x_shared,1.7066373825073242,0.0007482044165953994,1.7057660818099976,,,,
0.3,D0_eps_shared,1.7080848217010498,0.004770295694470406,1.7057660818099976,,,,
0.3,D3_oracle_bayes_gate,1.7052280902862549,0.000289797259029001,1.7057660818099976,0.7902487516403198,0.30738046765327454,1.1289267539978027,0.6991708874702454
0.5,D0_x_shared,1.9375929832458496,0.0014912362676113844,1.9374258518218994,,,,
0.5,D0_eps_shared,1.94295072555542,0.0036384575068950653,1.9374258518218994,,,,
0.5,D3_oracle_bayes_gate,1.9383327960968018,0.0009249071008525789,1.9374258518218994,0.5876911282539368,0.3502788841724396,1.1753822565078735,0.8246177434921265
0.7,D0_x_shared,1.5530166625976562,0.00908777303993702,1.5407081842422485,,,,
0.7,D0_eps_shared,1.5471066236495972,0.005441945046186447,1.5407081842422485,,,,
0.7,D3_oracle_bayes_gate,1.5442054271697998,0.0023443573154509068,1.5407081842422485,0.38213977217674255,0.3408059775829315,1.273799180984497,0.882657527923584
0.9,D0_x_shared,0.7964016795158386,0.13928841054439545,0.6525723338127136,,,,
0.9,D0_eps_shared,0.6813100576400757,0.025298841297626495,0.6525723338127136,,,,
0.9,D3_oracle_bayes_gate,0.6734203100204468,0.01729477196931839,0.6525723338127136,0.1327567845582962,0.22244159877300262,1.3275678157806396,0.9636036157608032
0.97,D0_x_shared,2.297870635986328,1.482153296470642,0.8278717994689941,,,,
0.97,D0_eps_shared,0.8611180186271667,0.036567844450473785,0.8278717994689941,,,,
0.97,D3_oracle_bayes_gate,0.843337893486023,0.015657559037208557,0.8278717994689941,0.10911671817302704,0.157486692070961,3.6372241973876953,0.9184362888336182
0.99,D0_x_shared,15.187847137451172,14.031076431274414,0.9733789563179016,,,,
0.99,D0_eps_shared,0.9855401515960693,0.010545657016336918,0.9733789563179016,,,,
0.99,D3_oracle_bayes_gate,0.9853589534759521,0.009273504838347435,0.9733789563179016,0.010807514190673828,0.04254001006484032,1.0807514190673828,0.999184250831604
0.01,D1_x_own,1.0253016948699951,0.00029578752582892776,1.0247446298599243,,,,
0.01,D1_eps_own,8.027364730834961,7.10595703125,1.0247446298599243,,,,
0.01,D1_gate_on_D0,1.0351886749267578,0.008891712874174118,1.0247446298599243,0.9544512629508972,0.03423156589269638,0.9640921354293823,4.554872989654541
0.01,D2_x_own,1.025191307067871,0.0008891844772733748,1.0247446298599243,,,,
0.01,D2_eps_own,13.339126586914062,12.452542304992676,1.0247446298599243,,,,
0.01,D2_gate_on_D0,1.0250487327575684,0.00041269176290370524,1.0247446298599243,0.9982485771179199,0.0018432579236105084,1.0083318948745728,0.17513903975486755
0.01,D4_x_own,1.0251957178115845,0.0004132925532758236,1.0247446298599243,,,,
0.01,D4_eps_own,14.786824226379395,13.912613868713379,1.0247446298599243,,,,
0.01,D4_gate_on_D0,1.025050401687622,0.00035393080906942487,1.0247446298599243,0.9991737604141235,0.00037903484189882874,1.0092663764953613,0.08262120932340622
0.03,D1_x_own,1.032185435295105,0.00031193153699859977,1.0319026708602905,,,,
0.03,D1_eps_own,1.7553489208221436,0.7081119418144226,1.0319026708602905,,,,
0.03,D1_gate_on_D0,1.035351037979126,0.0023362289648503065,1.0319026708602905,0.9375956654548645,0.04502980411052704,0.9665934443473816,2.080143928527832
0.03,D2_x_own,1.0333993434906006,0.0008013342157937586,1.0319026708602905,,,,
0.03,D2_eps_own,1.7237443923950195,0.6681991219520569,1.0319026708602905,,,,
0.03,D2_gate_on_D0,1.032413125038147,0.00033183544292114675,1.0319026708602905,0.9939212799072266,0.005940199363976717,1.0246610641479492,0.20262515544891357
0.03,D4_x_own,1.0327985286712646,0.00045606811181642115,1.0319026708602905,,,,
0.03,D4_eps_own,1.7995526790618896,0.7678556442260742,1.0319026708602905,,,,
0.03,D4_gate_on_D0,1.0323050022125244,0.00030427274759858847,1.0319026708602905,0.9964956045150757,0.001581964548677206,1.0273149013519287,0.1168133094906807
0.1,D1_x_own,1.2301175594329834,0.00029394676676020026,1.2298293113708496,,,,
0.1,D1_eps_own,1.2783265113830566,0.04193027317523956,1.2298293113708496,,,,
0.1,D1_gate_on_D0,1.2308192253112793,0.0004842227208428085,1.2298293113708496,0.92264324426651,0.051818713545799255,1.025159239768982,0.7735671997070312
0.1,D2_x_own,1.231123685836792,0.0006881131557747722,1.2298293113708496,,,,
0.1,D2_eps_own,1.2974926233291626,0.05991951376199722,1.2298293113708496,,,,
0.1,D2_gate_on_D0,1.2303794622421265,0.00035617483081296086,1.2298293113708496,0.9653855562210083,0.03443519026041031,1.072650671005249,0.34614497423171997
0.1,D4_x_own,1.2306172847747803,0.00030411657644435763,1.2298293113708496,,,,
0.1,D4_eps_own,1.2994747161865234,0.06046580523252487,1.2298293113708496,,,,
0.1,D4_gate_on_D0,1.2302027940750122,0.00028663917328231037,1.2298293113708496,0.9831397533416748,0.007336821872740984,1.0923775434494019,0.1686025857925415
0.3,D1_x_own,1.7064497470855713,0.0006784545257687569,1.7057660818099976,,,,
0.3,D1_eps_own,1.7091729640960693,0.00465945852920413,1.7057660818099976,,,,
0.3,D1_gate_on_D0,1.7064459323883057,0.0007764982292428613,1.7057660818099976,0.8586324453353882,0.06559209525585175,1.2266178131103516,0.47122523188591003
0.3,D2_x_own,1.708258867263794,0.0013986672274768353,1.7057660818099976,,,,
0.3,D2_eps_own,1.7120370864868164,0.007936697453260422,1.7057660818099976,,,,
0.3,D2_gate_on_D0,1.7065331935882568,0.0007543668616563082,1.7057660818099976,0.929358720779419,0.042513567954301834,1.32765531539917,0.23547105491161346
0.3,D4_x_own,1.7070060968399048,0.0006125075742602348,1.7057660818099976,,,,
0.3,D4_eps_own,1.7110159397125244,0.005695553962141275,1.7057660818099976,,,,
0.3,D4_gate_on_D0,1.706453561782837,0.0007155440980568528,1.7057660818099976,0.895587146282196,0.034475911408662796,1.2794102430343628,0.3480428457260132
0.5,D1_x_own,1.9370757341384888,0.0014538101386278868,1.9374258518218994,,,,
0.5,D1_eps_own,1.9421486854553223,0.0034471023827791214,1.9374258518218994,,,,
0.5,D1_gate_on_D0,1.9386684894561768,0.001304121920838952,1.9374258518218994,0.6202574968338013,0.07786359637975693,1.2405149936676025,0.7594850063323975
0.5,D2_x_own,1.9372830390930176,0.001893282518722117,1.9374258518218994,,,,
0.5,D2_eps_own,1.9413623809814453,0.00831251684576273,1.9374258518218994,,,,
0.5,D2_gate_on_D0,1.9385733604431152,0.0012798475800082088,1.9374258518218994,0.7028403282165527,0.10203101485967636,1.4056806564331055,0.5943194031715393
0.5,D4_x_own,1.9367725849151611,0.001272575231269002,1.9374258518218994,,,,
0.5,D4_eps_own,1.942082166671753,0.00460023432970047,1.9374258518218994,,,,
0.5,D4_gate_on_D0,1.938514232635498,0.001308945706114173,1.9374258518218994,0.6844429969787598,0.060485970228910446,1.3688859939575195,0.6311140060424805
0.7,D1_x_own,1.5546083450317383,0.008988318033516407,1.5407081842422485,,,,
0.7,D1_eps_own,1.5464503765106201,0.004873661324381828,1.5407081842422485,,,,
0.7,D1_gate_on_D0,1.5456435680389404,0.004031281918287277,1.5407081842422485,0.22877979278564453,0.07385697215795517,0.7625992894172668,1.101743221282959
0.7,D2_x_own,1.5641295909881592,0.016733989119529724,1.5407081842422485,,,,
0.7,D2_eps_own,1.5526988506317139,0.010280012153089046,1.5407081842422485,,,,
0.7,D2_gate_on_D0,1.5471690893173218,0.004519131034612656,1.5407081842422485,0.21094590425491333,0.13130509853363037,0.7031530141830444,1.1272201538085938
0.7,D4_x_own,1.5516115427017212,0.007720458786934614,1.5407081842422485,,,,
0.7,D4_eps_own,1.5474810600280762,0.005175279453396797,1.5407081842422485,,,,
0.7,D4_gate_on_D0,1.546156883239746,0.003953282255679369,1.5407081842422485,0.2943776249885559,0.04603762924671173,0.9812586903572083,1.008031964302063
0.9,D1_x_own,0.789838433265686,0.1318051517009735,0.6525723338127136,,,,
0.9,D1_eps_own,0.6796585321426392,0.025982990860939026,0.6525723338127136,,,,
0.9,D1_gate_on_D0,0.6813551187515259,0.02517808973789215,0.6525723338127136,0.015202753245830536,0.01738922670483589,0.15202754735946655,1.0942192077636719
0.9,D2_x_own,0.9112465977668762,0.23864802718162537,0.6525723338127136,,,,
0.9,D2_eps_own,0.7062143087387085,0.05001126974821091,0.6525723338127136,,,,
