method,w1,w2,mean_error,std_error
static,0.10038801411890518,0.17527273662896592,0.07139233935914692,0.006437567025978197
local-risk,0.05763095669702084,0.12274345366730613,0.048993384742074805,0.0034063426264585583
exact-semigroup,0.0023921327431174135,0.002701427871765625,0.0020298602231991064,3.605625085301156e-05
