model,batch,baseline_seconds,optimized_seconds,speedup,baseline_allocated_gib,optimized_allocated_gib,baseline_reserved_gib,optimized_reserved_gib,reserved_reduction,gradient_relative_error,gradient_cosine
SiT,6,3.0293063861317933,1.6578989592380822,1.8271960237697276,10.053348064422607,4.983766078948975,12.1171875,6.619140625,0.4537395228884591,0.00040469655940015246,0.999999918110355
JiT speed,4,6.608446822036058,1.7508977400138974,3.774319122705364,1.842137336730957,0.8892507553100586,2.076171875,1.859375,0.10442144873000936,0.0022926551540249176,0.9999974093503732
JiT memory,4,6.608446822036058,2.165925628039986,3.0510959085960163,1.842137336730957,0.8876609802246094,2.076171875,1.24609375,0.3998118532455315,0.0024815899332767738,0.9999979295066357
RAEv2,1,11.831706007942557,3.172941619064659,3.72893908190797,7.3588690757751465,2.828864574432373,7.49609375,3.677734375,0.5093798853569568,0.007557124195894774,0.9999714449381292
