model,arm,kind,samples,fid,sfid,inception_score,baseline,delta_fid,full_calls_per_output,seconds,relative_seconds
sit,strong_band_w1,calibrated,1000,80.30914325404564,206.70980237279116,31.523353576660156,,,320,145.1149767478928,
sit,strong_e320,baseline,1000,86.4173341026135,220.46616040402284,28.742618560791016,,,320,146.70985818328336,
