mode,first_id,count,seconds_including_per_step_diagnostics
official,0,8,5.363663821015507
official,8,8,5.082317831926048
official,16,8,5.096413862193003
official,24,8,5.107674093917012
candidate,0,8,5.443918740842491
candidate,8,8,5.392687954008579
candidate,16,8,5.3970768039580435
candidate,24,8,5.4739533241372555
control,0,8,5.393938653869554
control,8,8,5.38942647818476
control,16,8,5.390112328110263
control,24,8,5.520510479109362
